run_accession	sample_accession	sample_alias	scientific_name	library_layout	instrument_model
SRR18595692	SAMN27258457	OSCC81_S015	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595693	SAMN27258456	OSCC81_S014	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595699	SAMN27258451	OSCC81_S009	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595703	SAMN27258447	OSCC81_S005	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595710	SAMN27258522	OSCC81_S080	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595716	SAMN27258516	OSCC81_S074	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595722	SAMN27258482	OSCC81_S040	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595727	SAMN27258477	OSCC81_S035	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595729	SAMN27258475	OSCC81_S033	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595731	SAMN27258473	OSCC81_S031	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595733	SAMN27258472	OSCC81_S030	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595735	SAMN27258470	OSCC81_S028	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595736	SAMN27258469	OSCC81_S027	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595737	SAMN27258468	OSCC81_S026	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595741	SAMN27258464	OSCC81_S022	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595743	SAMN27258445	OSCC81_S003	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595745	SAMN27258461	OSCC81_S019	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595748	SAMN27258522	OSCC81_S080	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595749	SAMN27258459	OSCC81_S017	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595751	SAMN27258491	OSCC81_S049	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595753	SAMN27258489	OSCC81_S047	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595756	SAMN27258486	OSCC81_S044	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595759	SAMN27258483	OSCC81_S041	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595760	SAMN27258482	OSCC81_S040	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595762	SAMN27258481	OSCC81_S039	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595764	SAMN27258479	OSCC81_S037	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595770	SAMN27258473	OSCC81_S031	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595771	SAMN27258472	OSCC81_S030	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595772	SAMN27258454	OSCC81_S012	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595773	SAMN27258471	OSCC81_S029	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595775	SAMN27258469	OSCC81_S027	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595776	SAMN27258468	OSCC81_S026	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595778	SAMN27258466	OSCC81_S024	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595779	SAMN27258465	OSCC81_S023	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595783	SAMN27258520	OSCC81_S078	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595784	SAMN27258519	OSCC81_S077	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595785	SAMN27258518	OSCC81_S076	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595790	SAMN27258513	OSCC81_S071	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595791	SAMN27258512	OSCC81_S070	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595792	SAMN27258458	OSCC81_S016	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595796	SAMN27258508	OSCC81_S066	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595797	SAMN27258507	OSCC81_S065	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595798	SAMN27258506	OSCC81_S064	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595799	SAMN27258505	OSCC81_S063	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595801	SAMN27258503	OSCC81_S061	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595803	SAMN27258457	OSCC81_S015	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595804	SAMN27258501	OSCC81_S059	human oral metagenome	PAIRED	Illumina MiSeq
