run_accession	sample_accession	sample_alias	scientific_name	library_layout	instrument_model
SRR18595808	SAMN27258497	OSCC81_S055	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595811	SAMN27258494	OSCC81_S052	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595814	SAMN27258462	OSCC81_S020	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595819	SAMN27258513	OSCC81_S071	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595820	SAMN27258450	OSCC81_S008	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595821	SAMN27258512	OSCC81_S070	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595822	SAMN27258511	OSCC81_S069	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595824	SAMN27258509	OSCC81_S067	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595829	SAMN27258504	OSCC81_S062	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595830	SAMN27258503	OSCC81_S061	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595831	SAMN27258449	OSCC81_S007	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595834	SAMN27258500	OSCC81_S058	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595838	SAMN27258496	OSCC81_S054	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595839	SAMN27258495	OSCC81_S053	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595840	SAMN27258494	OSCC81_S052	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595849	SAMN27258486	OSCC81_S044	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595689	SAMN27258460	OSCC81_S018	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595690	SAMN27258459	OSCC81_S017	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595691	SAMN27258458	OSCC81_S016	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595694	SAMN27258455	OSCC81_S013	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595696	SAMN27258453	OSCC81_S011	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595697	SAMN27258452	OSCC81_S010	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595698	SAMN27258452	OSCC81_S010	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595701	SAMN27258449	OSCC81_S007	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595706	SAMN27258444	OSCC81_S002	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595707	SAMN27258443	OSCC81_S001	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595708	SAMN27258523	OSCC81_S081	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595713	SAMN27258519	OSCC81_S077	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595714	SAMN27258518	OSCC81_S076	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595717	SAMN27258515	OSCC81_S073	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595718	SAMN27258485	OSCC81_S043	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595719	SAMN27258484	OSCC81_S042	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595720	SAMN27258483	OSCC81_S041	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595721	SAMN27258447	OSCC81_S005	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595725	SAMN27258479	OSCC81_S037	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595732	SAMN27258446	OSCC81_S004	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595738	SAMN27258467	OSCC81_S025	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595742	SAMN27258463	OSCC81_S021	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595744	SAMN27258462	OSCC81_S020	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595747	SAMN27258523	OSCC81_S081	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595752	SAMN27258490	OSCC81_S048	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595755	SAMN27258487	OSCC81_S045	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595757	SAMN27258485	OSCC81_S043	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595761	SAMN27258455	OSCC81_S013	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595765	SAMN27258478	OSCC81_S036	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595768	SAMN27258475	OSCC81_S033	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595774	SAMN27258470	OSCC81_S028	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595777	SAMN27258467	OSCC81_S025	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595782	SAMN27258521	OSCC81_S079	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595786	SAMN27258517	OSCC81_S075	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595787	SAMN27258516	OSCC81_S074	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595788	SAMN27258515	OSCC81_S073	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595789	SAMN27258514	OSCC81_S072	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595793	SAMN27258511	OSCC81_S069	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595794	SAMN27258510	OSCC81_S068	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595795	SAMN27258509	OSCC81_S067	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595805	SAMN27258500	OSCC81_S058	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595806	SAMN27258499	OSCC81_S057	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595807	SAMN27258498	OSCC81_S056	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595812	SAMN27258493	OSCC81_S051	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595813	SAMN27258492	OSCC81_S050	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595815	SAMN27258453	OSCC81_S011	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595826	SAMN27258507	OSCC81_S065	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595827	SAMN27258506	OSCC81_S064	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595832	SAMN27258502	OSCC81_S060	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595843	SAMN27258492	OSCC81_S050	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595846	SAMN27258489	OSCC81_S047	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595847	SAMN27258488	OSCC81_S046	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595688	SAMN27258461	OSCC81_S019	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595695	SAMN27258454	OSCC81_S012	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595700	SAMN27258450	OSCC81_S008	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595702	SAMN27258448	OSCC81_S006	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595704	SAMN27258446	OSCC81_S004	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595705	SAMN27258445	OSCC81_S003	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595709	SAMN27258451	OSCC81_S009	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595711	SAMN27258521	OSCC81_S079	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595712	SAMN27258520	OSCC81_S078	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595715	SAMN27258517	OSCC81_S075	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595723	SAMN27258481	OSCC81_S039	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595724	SAMN27258480	OSCC81_S038	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595726	SAMN27258478	OSCC81_S036	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595728	SAMN27258476	OSCC81_S034	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595730	SAMN27258474	OSCC81_S032	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595734	SAMN27258471	OSCC81_S029	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595739	SAMN27258466	OSCC81_S024	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595740	SAMN27258465	OSCC81_S023	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595746	SAMN27258460	OSCC81_S018	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595750	SAMN27258456	OSCC81_S014	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595754	SAMN27258488	OSCC81_S046	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595758	SAMN27258484	OSCC81_S042	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595763	SAMN27258480	OSCC81_S038	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595766	SAMN27258477	OSCC81_S035	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595767	SAMN27258476	OSCC81_S034	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595769	SAMN27258474	OSCC81_S032	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595780	SAMN27258464	OSCC81_S022	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595781	SAMN27258463	OSCC81_S021	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595800	SAMN27258504	OSCC81_S062	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595802	SAMN27258502	OSCC81_S060	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595809	SAMN27258496	OSCC81_S054	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595810	SAMN27258495	OSCC81_S053	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595816	SAMN27258444	OSCC81_S002	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595817	SAMN27258443	OSCC81_S001	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595818	SAMN27258514	OSCC81_S072	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595823	SAMN27258510	OSCC81_S068	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595825	SAMN27258508	OSCC81_S066	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595828	SAMN27258505	OSCC81_S063	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595833	SAMN27258501	OSCC81_S059	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595835	SAMN27258499	OSCC81_S057	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595836	SAMN27258498	OSCC81_S056	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595837	SAMN27258497	OSCC81_S055	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595841	SAMN27258493	OSCC81_S051	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595842	SAMN27258448	OSCC81_S006	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595844	SAMN27258491	OSCC81_S049	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595845	SAMN27258490	OSCC81_S048	human oral metagenome	PAIRED	Illumina MiSeq
SRR18595848	SAMN27258487	OSCC81_S045	human oral metagenome	PAIRED	Illumina MiSeq
