run_accession	sample_accession	sample_alias	experiment_accession	experiment_title	library_name	library_layout	instrument_model
SRR18595820	SAMN27258450	OSCC81_S008	SRX14725760	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S008_L001	PAIRED	Illumina MiSeq
SRR18595821	SAMN27258512	OSCC81_S070	SRX14725758	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S070_L001	PAIRED	Illumina MiSeq
SRR18595822	SAMN27258511	OSCC81_S069	SRX14725756	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S069_L001	PAIRED	Illumina MiSeq
SRR18595824	SAMN27258509	OSCC81_S067	SRX14725752	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S067_L001	PAIRED	Illumina MiSeq
SRR18595829	SAMN27258504	OSCC81_S062	SRX14725742	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S062_L001	PAIRED	Illumina MiSeq
SRR18595830	SAMN27258503	OSCC81_S061	SRX14725740	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S061_L001	PAIRED	Illumina MiSeq
SRR18595831	SAMN27258449	OSCC81_S007	SRX14725738	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S007_L001	PAIRED	Illumina MiSeq
SRR18595834	SAMN27258500	OSCC81_S058	SRX14725732	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S058_L001	PAIRED	Illumina MiSeq
SRR18595838	SAMN27258496	OSCC81_S054	SRX14725724	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S054_L001	PAIRED	Illumina MiSeq
SRR18595839	SAMN27258495	OSCC81_S053	SRX14725722	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S053_L001	PAIRED	Illumina MiSeq
SRR18595840	SAMN27258494	OSCC81_S052	SRX14725720	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S052_L001	PAIRED	Illumina MiSeq
SRR18595849	SAMN27258486	OSCC81_S044	SRX14725701	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S044_L001	PAIRED	Illumina MiSeq
