genus	genus_name	PRJNA666746_SILVA	PRJNA822685_SILVA	PRJNA813034_Greengenes	n_cohorts	in_both_SILVA	status	note
g__Metabacillus	Metabacillus	1	0	0	1	0	SILVA-only	plain genus name
g__Methylibium	Methylibium	0	0	1	1	0	Greengenes-only	plain genus name
g__Methylobacillus	Methylobacillus	1	0	0	1	0	SILVA-only	plain genus name
g__Methylobacterium	Methylobacterium	1	0	1	2	0	shared	plain genus name
g__Methylocella	Methylocella	1	0	0	1	0	SILVA-only	plain genus name
g__Methylophilus	Methylophilus	1	1	0	2	1	shared	plain genus name
g__Methylopila	Methylopila	1	0	0	1	0	SILVA-only	plain genus name
g__Methylorubrum	Methylorubrum	1	1	0	2	1	shared	plain genus name
g__Methyloversatilis	Methyloversatilis	0	1	0	1	0	SILVA-only	plain genus name
g__Microbacterium	Microbacterium	1	0	1	2	0	shared	plain genus name
g__Microbispora	Microbispora	0	0	1	1	0	Greengenes-only	plain genus name
g__Microcella	Microcella	1	0	0	1	0	SILVA-only	plain genus name
g__Micrococcus	Micrococcus	1	0	1	2	0	shared	plain genus name
g__Microlunatus	Microlunatus	0	0	1	1	0	Greengenes-only	plain genus name
g__Micropruina	Micropruina	1	0	0	1	0	SILVA-only	plain genus name
g__Microvirga	Microvirga	1	0	0	1	0	SILVA-only	plain genus name
g__Mobiluncus	Mobiluncus	1	1	1	3	1	shared	plain genus name
g__Mogibacterium	Mogibacterium	1	1	1	3	1	shared	plain genus name
g__Moraxella	Moraxella	1	1	0	2	1	shared	plain genus name
g__Morganella	Morganella	1	1	1	3	1	shared	plain genus name
g__Moryella	Moryella	1	0	1	2	0	shared	plain genus name
g__Mucilaginibacter	Mucilaginibacter	1	0	0	1	0	SILVA-only	plain genus name
g__Mucispirillum	Mucispirillum	0	0	1	1	0	Greengenes-only	plain genus name
g__Murdochiella	Murdochiella	1	0	0	1	0	SILVA-only	plain genus name
g__Muricoccus	Muricoccus	1	0	0	1	0	SILVA-only	plain genus name
g__Mycobacterium	Mycobacterium	1	1	1	3	1	shared	plain genus name
g__Mycoplana	Mycoplana	0	0	1	1	0	Greengenes-only	plain genus name
g__Mycoplasma	Mycoplasma	1	1	1	3	1	shared	plain genus name
g__Mycoplasmopsis	Mycoplasmopsis	0	1	0	1	0	SILVA-only	plain genus name
g__Myroides	Myroides	0	0	1	1	0	Greengenes-only	plain genus name
g__Myxosarcina_SAG_30.84	Myxosarcina_SAG_30.84	1	0	0	1	0	SILVA-only	plain genus name
g__Nafulsella	Nafulsella	1	0	0	1	0	SILVA-only	plain genus name
g__Nannocystis	Nannocystis	0	0	1	1	0	Greengenes-only	plain genus name
g__Neisseria	Neisseria	1	1	1	3	1	shared	plain genus name
g__Neobacillus	Neobacillus	1	1	0	2	1	shared	plain genus name
g__Neorhizobium	Neorhizobium	1	0	0	1	0	SILVA-only	plain genus name
g__Nesterenkonia	Nesterenkonia	0	0	1	1	0	Greengenes-only	plain genus name
g__Nevskia	Nevskia	1	0	0	1	0	SILVA-only	plain genus name
g__Niabella	Niabella	0	1	0	1	0	SILVA-only	plain genus name
g__Nibribacter	Nibribacter	1	0	0	1	0	SILVA-only	plain genus name
g__Nitrosomonas	Nitrosomonas	0	1	0	1	0	SILVA-only	plain genus name
g__Nitrospira	Nitrospira	0	0	1	1	0	Greengenes-only	plain genus name
g__Niveispirillum	Niveispirillum	1	0	0	1	0	SILVA-only	plain genus name
g__NK4A214_group	NK4A214_group	1	0	0	1	0	SILVA-only	SILVA-style lineage/informative label (no literal Greengenes counterpart)
g__Nocardioides	Nocardioides	1	0	1	2	0	shared	plain genus name
g__Noviherbaspirillum	Noviherbaspirillum	1	0	0	1	0	SILVA-only	plain genus name
g__Novispirillum	Novispirillum	1	0	0	1	0	SILVA-only	plain genus name
g__Novosphingobium	Novosphingobium	1	1	0	2	1	shared	plain genus name
g__Nubsella	Nubsella	0	1	0	1	0	SILVA-only	plain genus name
g__Oceanobacillus	Oceanobacillus	1	0	0	1	0	SILVA-only	plain genus name
g__Ochrobactrum	Ochrobactrum	0	0	1	1	0	Greengenes-only	plain genus name
g__Odoribacter	Odoribacter	1	1	1	3	1	shared	plain genus name
g__OLB12	OLB12	1	0	0	1	0	SILVA-only	plain genus name
g__Oleiharenicola	Oleiharenicola	1	0	0	1	0	SILVA-only	plain genus name
g__Oligella	Oligella	0	0	1	1	0	Greengenes-only	plain genus name
g__Olsenella	Olsenella	1	1	0	2	1	shared	plain genus name
g__Opitutus	Opitutus	0	1	0	1	0	SILVA-only	plain genus name
g__Oribacterium	Oribacterium	1	1	1	3	1	shared	plain genus name
g__Ornithinimicrobium	Ornithinimicrobium	1	0	0	1	0	SILVA-only	plain genus name
g__Ornithobacterium	Ornithobacterium	1	0	0	1	0	SILVA-only	plain genus name
g__Oscillibacter	Oscillibacter	1	0	0	1	0	SILVA-only	plain genus name
g__Oscillospira	Oscillospira	0	0	1	1	0	Greengenes-only	plain genus name
g__Ottowia	Ottowia	1	1	0	2	1	shared	plain genus name
g__Paenarthrobacter	Paenarthrobacter	1	0	0	1	0	SILVA-only	plain genus name
g__Paenibacillus	Paenibacillus	1	0	1	2	0	shared	plain genus name
g__Palleronia-Pseudomaribius	Palleronia-Pseudomaribius	1	0	0	1	0	SILVA-only	plain genus name
g__Paludibacter	Paludibacter	1	0	1	2	0	shared	plain genus name
g__Paludisphaera	Paludisphaera	1	0	0	1	0	SILVA-only	plain genus name
g__Pandoraea	Pandoraea	0	0	1	1	0	Greengenes-only	plain genus name
g__Pantoea	Pantoea	1	0	0	1	0	SILVA-only	plain genus name
g__Parabacteroides	Parabacteroides	1	1	1	3	1	shared	plain genus name
g__Paracoccus	Paracoccus	1	1	1	3	1	shared	plain genus name
g__Paradevosia	Paradevosia	1	0	0	1	0	SILVA-only	plain genus name
g__Parafilimonas	Parafilimonas	1	0	0	1	0	SILVA-only	plain genus name
g__Paraprevotella	Paraprevotella	1	0	0	1	0	SILVA-only	plain genus name
g__Parascardovia	Parascardovia	1	1	0	2	1	shared	plain genus name
g__Parasutterella	Parasutterella	0	1	0	1	0	SILVA-only	plain genus name
g__Parvimonas	Parvimonas	1	1	1	3	1	shared	plain genus name
g__Paucibacter	Paucibacter	1	1	0	2	1	shared	plain genus name
g__Pedobacter	Pedobacter	1	0	1	2	0	shared	plain genus name
g__Pedomicrobium	Pedomicrobium	0	0	1	1	0	Greengenes-only	plain genus name
g__Pelistega	Pelistega	1	0	0	1	0	SILVA-only	plain genus name
g__Pelosinus	Pelosinus	0	1	0	1	0	SILVA-only	plain genus name
g__Pelospora	Pelospora	1	1	0	2	1	shared	plain genus name
g__Peptoanaerobacter	Peptoanaerobacter	1	1	0	2	1	shared	plain genus name
g__Peptococcus	Peptococcus	1	1	1	3	1	shared	plain genus name
g__Peptoniphilus	Peptoniphilus	1	1	1	3	1	shared	plain genus name
g__Peptostreptococcus	Peptostreptococcus	1	1	1	3	1	shared	plain genus name
g__Peredibacter	Peredibacter	1	0	0	1	0	SILVA-only	plain genus name
g__Peribacillus	Peribacillus	1	0	0	1	0	SILVA-only	plain genus name
g__ph2	ph2	0	0	1	1	0	Greengenes-only	plain genus name
g__Phaeospirillum	Phaeospirillum	0	0	1	1	0	Greengenes-only	plain genus name
g__Phascolarctobacterium	Phascolarctobacterium	1	0	1	2	0	shared	plain genus name
g__Phaselicystis	Phaselicystis	1	1	0	2	1	shared	plain genus name
g__Phenylobacterium	Phenylobacterium	1	0	1	2	0	shared	plain genus name
g__Phocaeicola	Phocaeicola	1	1	0	2	1	shared	plain genus name
g__Phormidium	Phormidium	0	0	1	1	0	Greengenes-only	plain genus name
g__Phreatobacter	Phreatobacter	1	0	0	1	0	SILVA-only	plain genus name
g__Pilimelia	Pilimelia	0	0	1	1	0	Greengenes-only	plain genus name
g__Planctomyces	Planctomyces	0	0	1	1	0	Greengenes-only	plain genus name
g__Planifilum	Planifilum	1	0	0	1	0	SILVA-only	plain genus name
g__Planococcus	Planococcus	0	0	1	1	0	Greengenes-only	plain genus name
g__Plesiocystis	Plesiocystis	0	0	1	1	0	Greengenes-only	plain genus name
g__Plesiomonas	Plesiomonas	0	1	0	1	0	SILVA-only	plain genus name
g__Polaribacter	Polaribacter	0	0	1	1	0	Greengenes-only	plain genus name
g__Polynucleobacter	Polynucleobacter	0	1	0	1	0	SILVA-only	plain genus name
g__Pontibacter	Pontibacter	1	0	0	1	0	SILVA-only	plain genus name
g__Porphyromonas	Porphyromonas	1	1	1	3	1	shared	plain genus name
g__Prevotella	Prevotella	1	1	1	3	1	shared	plain genus name
g__Prevotellaceae_NK3B31_group	Prevotellaceae_NK3B31_group	1	0	0	1	0	SILVA-only	SILVA-style lineage/informative label (no literal Greengenes counterpart)
g__Priestia	Priestia	1	0	0	1	0	SILVA-only	plain genus name
g__Propionibacterium	Propionibacterium	1	0	1	2	0	shared	plain genus name
g__Propionicicella	Propionicicella	1	0	0	1	0	SILVA-only	plain genus name
g__Propioniciclava	Propioniciclava	1	0	0	1	0	SILVA-only	plain genus name
g__Propionicimonas	Propionicimonas	0	0	1	1	0	Greengenes-only	plain genus name
g__Propionivibrio	Propionivibrio	1	0	1	2	0	shared	plain genus name
g__Prosthecobacter	Prosthecobacter	1	1	0	2	1	shared	plain genus name
g__Proteiniclasticum	Proteiniclasticum	1	0	0	1	0	SILVA-only	plain genus name
g__Proteiniphilum	Proteiniphilum	1	1	0	2	1	shared	plain genus name
g__Proteus	Proteus	1	0	1	2	0	shared	plain genus name
g__Providencia	Providencia	0	0	1	1	0	Greengenes-only	plain genus name
g__Pseudaeromonas	Pseudaeromonas	1	1	0	2	1	shared	plain genus name
g__Pseudidiomarina	Pseudidiomarina	1	0	0	1	0	SILVA-only	plain genus name
g__Pseudoalteromonas	Pseudoalteromonas	0	0	1	1	0	Greengenes-only	plain genus name
g__Pseudochrobactrum	Pseudochrobactrum	1	0	0	1	0	SILVA-only	plain genus name
g__Pseudoleptotrichia	Pseudoleptotrichia	1	1	0	2	1	shared	plain genus name
g__Pseudolysobacter	Pseudolysobacter	0	1	0	1	0	SILVA-only	plain genus name
g__Pseudomonas	Pseudomonas	1	1	1	3	1	shared	plain genus name
g__Pseudonocardia	Pseudonocardia	1	0	1	2	0	shared	plain genus name
g__Pseudoprevotella	Pseudoprevotella	0	1	0	1	0	SILVA-only	plain genus name
g__Pseudoramibacter	Pseudoramibacter	1	1	0	2	1	shared	plain genus name
g__Pseudoramibacter_Eubacterium	Pseudoramibacter_Eubacterium	0	0	1	1	0	Greengenes-only	plain genus name
g__Pseudorhodoplanes	Pseudorhodoplanes	1	0	0	1	0	SILVA-only	plain genus name
g__Pseudoxanthomonas	Pseudoxanthomonas	1	1	1	3	1	shared	plain genus name
g__Psychrobacter	Psychrobacter	1	0	0	1	0	SILVA-only	plain genus name
g__Puia	Puia	1	0	0	1	0	SILVA-only	plain genus name
g__Pyramidobacter	Pyramidobacter	1	1	1	3	1	shared	plain genus name
g__Qinpengyuania	Qinpengyuania	1	0	0	1	0	SILVA-only	plain genus name
g__Qipengyuania	Qipengyuania	1	0	0	1	0	SILVA-only	plain genus name
g__Ralstonia	Ralstonia	1	1	1	3	1	shared	plain genus name
g__Ramlibacter	Ramlibacter	1	0	1	2	0	shared	plain genus name
g__Reyranella	Reyranella	1	0	0	1	0	SILVA-only	plain genus name
g__RFN20	RFN20	0	0	1	1	0	Greengenes-only	plain genus name
g__Rheinheimera	Rheinheimera	1	0	1	2	0	shared	plain genus name
g__Rhizobacter	Rhizobacter	1	0	0	1	0	SILVA-only	plain genus name
g__Rhizobium	Rhizobium	1	0	0	1	0	SILVA-only	plain genus name
g__Rhizorhabdus	Rhizorhabdus	1	1	0	2	1	shared	plain genus name
g__Rhodanobacter	Rhodanobacter	0	1	0	1	0	SILVA-only	plain genus name
g__Rhodobacter	Rhodobacter	0	0	1	1	0	Greengenes-only	plain genus name
g__Rhodobium	Rhodobium	0	0	1	1	0	Greengenes-only	plain genus name
g__Rhodococcus	Rhodococcus	1	0	1	2	0	shared	plain genus name
g__Rhodocytophaga	Rhodocytophaga	1	0	0	1	0	SILVA-only	plain genus name
g__Rhodoluna	Rhodoluna	0	1	0	1	0	SILVA-only	plain genus name
g__Rhodoplanes	Rhodoplanes	0	0	1	1	0	Greengenes-only	plain genus name
g__Rhodovarius	Rhodovarius	1	0	0	1	0	SILVA-only	plain genus name
g__Rickettsiella	Rickettsiella	0	0	1	1	0	Greengenes-only	plain genus name
g__Rikenellaceae_RC9_gut_group	Rikenellaceae_RC9_gut_group	1	1	0	2	1	shared	SILVA-style lineage/informative label (no literal Greengenes counterpart)
g__Romboutsia	Romboutsia	1	1	0	2	1	shared	plain genus name
g__Roseateles	Roseateles	1	0	1	2	0	shared	plain genus name
g__Roseburia	Roseburia	1	1	0	2	1	shared	plain genus name
g__Roseimarinus	Roseimarinus	1	1	0	2	1	shared	plain genus name
g__Roseomonas	Roseomonas	1	1	1	3	1	shared	plain genus name
g__Rossellomorea	Rossellomorea	1	0	0	1	0	SILVA-only	plain genus name
g__Rothia	Rothia	1	1	1	3	1	shared	plain genus name
g__Rubellimicrobium	Rubellimicrobium	1	0	1	2	0	shared	plain genus name
g__Rubritepida	Rubritepida	1	0	0	1	0	SILVA-only	plain genus name
g__Rubrobacter	Rubrobacter	1	0	1	2	0	shared	plain genus name
g__Rufibacter	Rufibacter	1	0	0	1	0	SILVA-only	plain genus name
g__Ruminococcus	Ruminococcus	1	1	1	3	1	shared	plain genus name
g__Rummeliibacillus	Rummeliibacillus	0	0	1	1	0	Greengenes-only	plain genus name
g__Ruthenibacterium	Ruthenibacterium	1	1	0	2	1	shared	plain genus name
g__S5-A14a	S5-A14a	1	0	0	1	0	SILVA-only	plain genus name
g__Saccharofermentans	Saccharofermentans	1	0	0	1	0	SILVA-only	plain genus name
g__Saccharopolyspora	Saccharopolyspora	1	0	1	2	0	shared	plain genus name
g__Salinicoccus	Salinicoccus	1	0	1	2	0	shared	plain genus name
g__Salinisphaera	Salinisphaera	0	0	1	1	0	Greengenes-only	plain genus name
g__Scardovia	Scardovia	1	1	1	3	1	shared	plain genus name
g__Schaalia	Schaalia	1	1	0	2	1	shared	plain genus name
g__Schinkia	Schinkia	1	0	0	1	0	SILVA-only	plain genus name
g__Schleiferilactobacillus	Schleiferilactobacillus	0	1	0	1	0	SILVA-only	plain genus name
g__Schwartzia	Schwartzia	0	0	1	1	0	Greengenes-only	plain genus name
g__Sedimentibacter	Sedimentibacter	0	0	1	1	0	Greengenes-only	plain genus name
g__Sediminibacterium	Sediminibacterium	1	0	1	2	0	shared	plain genus name
g__Segatella	Segatella	1	1	0	2	1	shared	plain genus name
g__Selenomonas	Selenomonas	1	1	1	3	1	shared	plain genus name
g__Senegalimassilia	Senegalimassilia	1	0	0	1	0	SILVA-only	plain genus name
g__Serinicoccus	Serinicoccus	1	0	0	1	0	SILVA-only	plain genus name
g__Serratia	Serratia	1	1	1	3	1	shared	plain genus name
g__SH3-11	SH3-11	0	1	0	1	0	SILVA-only	plain genus name
g__Sharpea	Sharpea	0	0	1	1	0	Greengenes-only	plain genus name
g__SHD-231	SHD-231	0	0	1	1	0	Greengenes-only	plain genus name
g__Shewanella	Shewanella	1	0	1	2	0	shared	plain genus name
g__Shinella	Shinella	1	0	0	1	0	SILVA-only	plain genus name
g__Shuttleworthia	Shuttleworthia	1	0	1	2	0	shared	plain genus name
g__Simonsiella	Simonsiella	0	1	0	1	0	SILVA-only	plain genus name
g__Simplicispira	Simplicispira	0	0	1	1	0	Greengenes-only	plain genus name
g__Skermanella	Skermanella	1	1	1	3	1	shared	plain genus name
g__SKP-2	SKP-2	1	0	0	1	0	SILVA-only	plain genus name
g__Slackia	Slackia	1	0	1	2	0	shared	plain genus name
g__SM1A02	SM1A02	1	0	0	1	0	SILVA-only	plain genus name
g__Sneathia	Sneathia	1	1	1	3	1	shared	plain genus name
g__Solitalea	Solitalea	1	0	0	1	0	SILVA-only	plain genus name
g__Solobacterium	Solobacterium	1	1	0	2	1	shared	plain genus name
g__Sphaerochaeta	Sphaerochaeta	1	0	1	2	0	shared	plain genus name
g__Sphaerotilus	Sphaerotilus	0	1	0	1	0	SILVA-only	plain genus name
g__Sphingobacterium	Sphingobacterium	1	0	1	2	0	shared	plain genus name
g__Sphingobium	Sphingobium	1	1	1	3	1	shared	plain genus name
g__Sphingomonas	Sphingomonas	1	1	1	3	1	shared	plain genus name
g__Sphingopyxis	Sphingopyxis	0	0	1	1	0	Greengenes-only	plain genus name
g__Spirosoma	Spirosoma	0	0	1	1	0	Greengenes-only	plain genus name
g__Staphylococcus	Staphylococcus	1	1	1	3	1	shared	plain genus name
g__Stenotrophomonas	Stenotrophomonas	1	1	1	3	1	shared	plain genus name
g__Stomatobaculum	Stomatobaculum	1	1	0	2	1	shared	plain genus name
g__Streptobacillus	Streptobacillus	1	1	0	2	1	shared	plain genus name
g__Streptococcus	Streptococcus	1	1	1	3	1	shared	plain genus name
g__Streptomyces	Streptomyces	0	0	1	1	0	Greengenes-only	plain genus name
g__Succiniclasticum	Succiniclasticum	1	0	0	1	0	SILVA-only	plain genus name
g__Succinivibrio	Succinivibrio	1	0	0	1	0	SILVA-only	plain genus name
g__Sulfuricurvum	Sulfuricurvum	0	0	1	1	0	Greengenes-only	plain genus name
g__Sutterella	Sutterella	1	1	1	3	1	shared	plain genus name
g__Tannerella	Tannerella	1	1	1	3	1	shared	plain genus name
g__Tautonia	Tautonia	1	0	0	1	0	SILVA-only	plain genus name
g__Tepidicella	Tepidicella	1	0	0	1	0	SILVA-only	plain genus name
g__Tepidimonas	Tepidimonas	0	1	1	2	0	shared	plain genus name
g__Terrimonas	Terrimonas	1	0	0	1	0	SILVA-only	plain genus name
g__Tessaracoccus	Tessaracoccus	1	0	0	1	0	SILVA-only	plain genus name
g__Tetrasphaera	Tetrasphaera	1	0	0	1	0	SILVA-only	plain genus name
g__TG5	TG5	0	0	1	1	0	Greengenes-only	plain genus name
g__Thauera	Thauera	1	0	0	1	0	SILVA-only	plain genus name
g__Thermicanus	Thermicanus	0	0	1	1	0	Greengenes-only	plain genus name
g__Thermomonas	Thermomonas	1	0	0	1	0	SILVA-only	plain genus name
g__Thermus	Thermus	1	0	1	2	0	shared	plain genus name
g__Thioclava	Thioclava	1	0	0	1	0	SILVA-only	plain genus name
g__Thiomonas	Thiomonas	0	1	0	1	0	SILVA-only	plain genus name
g__Thomasclavelia	Thomasclavelia	1	0	0	1	0	SILVA-only	plain genus name
g__TM7a	TM7a	1	1	0	2	1	shared	plain genus name
g__TM7x	TM7x	1	1	0	2	1	shared	plain genus name
g__Treponema	Treponema	1	1	1	3	1	shared	plain genus name
g__Trichococcus	Trichococcus	0	0	1	1	0	Greengenes-only	plain genus name
g__Truepera	Truepera	1	0	0	1	0	SILVA-only	plain genus name
g__Trueperella	Trueperella	0	0	1	1	0	Greengenes-only	plain genus name
g__Tsuneonella	Tsuneonella	1	1	0	2	1	shared	plain genus name
g__Tumebacillus	Tumebacillus	1	0	0	1	0	SILVA-only	plain genus name
g__Turicibacter	Turicibacter	0	0	1	1	0	Greengenes-only	plain genus name
g__Tyzzerella	Tyzzerella	1	0	0	1	0	SILVA-only	plain genus name
g__UBA12409	UBA12409	1	0	0	1	0	SILVA-only	plain genus name
g__UCG-002	UCG-002	1	1	0	2	1	shared	plain genus name
g__UCG-003	UCG-003	1	0	0	1	0	SILVA-only	plain genus name
g__UCG-004	UCG-004	1	0	0	1	0	SILVA-only	plain genus name
g__UCG-005	UCG-005	1	0	0	1	0	SILVA-only	plain genus name
g__Uliginosibacterium	Uliginosibacterium	1	0	0	1	0	SILVA-only	plain genus name
g__Ureaplasma	Ureaplasma	1	0	0	1	0	SILVA-only	plain genus name
g__Vagococcus	Vagococcus	0	0	1	1	0	Greengenes-only	plain genus name
g__Vampirovibrio	Vampirovibrio	1	0	0	1	0	SILVA-only	plain genus name
g__Varibaculum	Varibaculum	1	0	1	2	0	shared	plain genus name
g__Variovorax	Variovorax	1	1	1	3	1	shared	plain genus name
g__Veillonella	Veillonella	1	1	1	3	1	shared	plain genus name
g__Verruc-01	Verruc-01	1	0	0	1	0	SILVA-only	plain genus name
g__Verticiella	Verticiella	1	0	0	1	0	SILVA-only	plain genus name
g__Vibrio	Vibrio	1	0	1	2	0	shared	plain genus name
g__Vibrionimonas	Vibrionimonas	0	1	0	1	0	SILVA-only	plain genus name
g__Virgisporangium	Virgisporangium	0	0	1	1	0	Greengenes-only	plain genus name
g__Vogesella	Vogesella	0	0	1	1	0	Greengenes-only	plain genus name
g__Vulcaniibacterium	Vulcaniibacterium	1	1	0	2	1	shared	plain genus name
g__W5053	W5053	1	1	0	2	1	shared	plain genus name
g__WAL_1855D	WAL_1855D	0	0	1	1	0	Greengenes-only	plain genus name
g__Weissella	Weissella	1	0	0	1	0	SILVA-only	plain genus name
g__Wolinella	Wolinella	0	1	0	1	0	SILVA-only	plain genus name
g__Xanthobacter	Xanthobacter	1	0	0	1	0	SILVA-only	plain genus name
g__Xanthomonas	Xanthomonas	0	1	0	1	0	SILVA-only	plain genus name
g__Xylanibacter	Xylanibacter	1	1	0	2	1	shared	plain genus name
g__Xylanimicrobium	Xylanimicrobium	0	0	1	1	0	Greengenes-only	plain genus name
g__Yersinia	Yersinia	0	1	0	1	0	SILVA-only	plain genus name
g__Zoogloea	Zoogloea	1	0	1	2	0	shared	plain genus name
Unclassified	Unclassified	1	1	1	3	1	shared	pseudo-label (taxonomy-unclassified reads)
