genus	n_cohorts	n_DADA2_SILVA	in_sensitivity_GG	n_up	n_down	direction	direction_consistent	frac_agree	n_sig_q0.1	n_nominal_p0.05	evidence_hits	min_q	mean_abs_effect	mean_median_effect	mean_prevalence	cohort_effects
g__Enhydrobacter	3	2	1	2	1	up	0	0.666667	1	1	1	0.0388238	0.283564	-0.047019	0.3712	666746(SILVA+0.264);822685(SILVA*+0.0912);813034(GG-0.496)
g__Serratia	3	2	1	2	1	up	0	0.666667	1	2	0.5	5.15977e-05	0.580607	-0.343013	0.3644	666746(SILVA*-1.39);822685(SILVA+0.0746);813034(GG+0.282)
g__Bulleidia	3	2	1	2	1	up	0	0.666667	1	1	1	0.00266903	0.137125	0.0139359	0.3348	666746(SILVA*+0.171);822685(SILVA+0.0553);813034(GG-0.185)
g__Halomonas	3	2	1	2	1	up	0	0.666667	1	1	1	0.0475671	0.0814041	0.0067534	0.323	666746(SILVA*+0.0911);822685(SILVA+0.0412);813034(GG-0.112)
g__Brevundimonas	3	2	1	1	2	down	0	0.666667	1	2	0.5	0.0457011	0.466842	-0.411085	0.2971	666746(SILVA-0.178);822685(SILVA*+0.0836);813034(GG-1.14)
g__Lactobacillus	3	2	1	2	1	up	0	0.666667	1	1	1	0.0104121	0.171506	0.0035063	0.2874	666746(SILVA*+0.171);822685(SILVA+0.0912);813034(GG-0.252)
g__Sphingomonas	3	2	1	2	1	up	0	0.666667	1	0	1	0.089467	0.151211	-0.0290936	0.2862	666746(SILVA+0.109);822685(SILVA*+0.0746);813034(GG-0.27)
g__Sutterella	3	2	1	1	2	down	0	0.666667	1	1	0	0.0388238	0.146542	-0.0907848	0.2704	666746(SILVA-0.349);822685(SILVA*+0.0836);813034(GG-0.00721)
g__Anaerostipes	3	2	1	1	2	down	0	0.666667	1	1	0	0.0388238	0.136079	-0.0803225	0.2704	666746(SILVA-0.275);822685(SILVA*+0.0836);813034(GG-0.0493)
g__Stenotrophomonas	3	2	1	2	1	up	0	0.666667	1	1	1	0.0388238	0.0854189	0.0212491	0.2003	666746(SILVA+0.0688);822685(SILVA*+0.0912);813034(GG-0.0963)
g__Achromobacter	3	2	1	2	1	up	0	0.666667	1	2	1	0.0507519	0.227223	-0.10336	0.1799	666746(SILVA*+0.13);822685(SILVA+0.0553);813034(GG-0.496)
g__Parabacteroides	3	2	1	2	1	up	0	0.666667	1	1	1	0.0457011	0.0672417	0.0343672	0.1595	666746(SILVA+0.0688);822685(SILVA*+0.0836);813034(GG-0.0493)
g__Desulfobulbus	3	2	1	2	1	up	0	0.666667	1	1	1	0.0455351	0.0767656	0.0467998	0.1282	666746(SILVA*+0.111);822685(SILVA+0.0746);813034(GG-0.0449)
g__Leucobacter	3	2	1	2	1	up	0	0.666667	1	1	1	0.00157225	0.0871476	0.0571818	0.0824	666746(SILVA*+0.142);822685(SILVA+0.0746);813034(GG-0.0449)
g__Odoribacter	3	2	1	2	1	up	0	0.666667	1	1	1	0.00157225	0.0573688	0.0525624	0.0656	666746(SILVA*+0.139);822685(SILVA+0.0257);813034(GG-0.00721)
g__Segatella	2	2	0	1	1	up	0	0.5	1	1	0	0.0410865	0.302012	-0.218101	0.811	666746(SILVA+0.0839);822685(SILVA*-0.52);813034(NA)
g__Hoylesella	2	2	0	1	1	up	0	0.5	1	1	0	0.0388238	0.307369	-0.238173	0.7022	666746(SILVA+0.0692);822685(SILVA*-0.546);813034(NA)
g__Alloprevotella	2	2	0	1	1	up	0	0.5	1	1	0	0.0388238	0.109157	-0.0409014	0.4856	666746(SILVA+0.0683);822685(SILVA*-0.15);813034(NA)
g__Atopobium	2	1	1	1	1	up	0	0.5	1	2	1	0.0388238	0.782587	-0.691363	0.4406	666746(NA);822685(SILVA*+0.0912);813034(GG-1.47)
g__Stomatobaculum	2	2	0	1	1	up	0	0.5	1	1	0	0.0455705	0.140818	-0.021382	0.4206	666746(SILVA+0.119);822685(SILVA*-0.162);813034(NA)
g__Shewanella	2	1	1	1	1	up	0	0.5	1	1	1	0.00157225	0.233134	-0.0912395	0.3925	666746(SILVA*+0.142);822685(NA);813034(GG-0.324)
g__Moryella	2	1	1	1	1	up	0	0.5	1	2	1	0.00275741	0.506518	-0.354404	0.3775	666746(SILVA*+0.152);822685(NA);813034(GG-0.861)
g__Propionibacterium	2	1	1	1	1	up	0	0.5	1	2	1	0.0360989	0.558605	-0.423612	0.37	666746(SILVA*+0.135);822685(NA);813034(GG-0.982)
g__Anoxybacillus	2	1	1	1	1	up	0	0.5	1	1	0	8.87297e-05	1.15301	-0.944191	0.3525	666746(SILVA*-2.1);822685(NA);813034(GG+0.209)
g__[Eubacterium]_sulci_group	2	2	0	1	1	up	0	0.5	1	1	0	0.0093789	0.138211	-0.0558927	0.3389	666746(SILVA+0.0823);822685(SILVA*-0.194);813034(NA)
g__Paludibacter	2	1	1	1	1	up	0	0.5	1	1	1	8.87297e-05	0.297976	-0.145863	0.33	666746(SILVA*+0.152);822685(NA);813034(GG-0.444)
g__Brachybacterium	2	1	1	1	1	up	0	0.5	1	1	1	0.0225841	0.180702	0.0176385	0.3225	666746(SILVA*+0.198);822685(NA);813034(GG-0.163)
g__Rhodococcus	2	1	1	1	1	up	0	0.5	1	1	1	5.15977e-05	0.289121	-0.0467725	0.3175	666746(SILVA*+0.242);822685(NA);813034(GG-0.336)
g__Anaerobutyricum	2	2	0	1	1	up	0	0.5	1	1	1	0.0388238	0.193274	-0.109638	0.3162	666746(SILVA-0.303);822685(SILVA*+0.0836);813034(NA)
g__Ammoniphilus	2	1	1	1	1	up	0	0.5	1	2	0.5	8.87297e-05	1.5971	-1.24581	0.3075	666746(SILVA*-2.84);822685(NA);813034(GG+0.351)
g__Exiguobacterium	2	1	1	1	1	up	0	0.5	1	0	1	0.0782	0.0899709	0.0450221	0.3	666746(SILVA*+0.135);822685(NA);813034(GG-0.0449)
g__Enterocloster	2	2	0	1	1	up	0	0.5	1	1	1	0.0388238	0.163297	-0.0796619	0.2631	666746(SILVA-0.243);822685(SILVA*+0.0836);813034(NA)
g__Microbacterium	2	1	1	1	1	up	0	0.5	1	2	1	0.026224	0.364477	-0.225291	0.245	666746(SILVA*+0.139);822685(NA);813034(GG-0.59)
g__TM7x	2	2	0	1	1	up	0	0.5	1	1	0	0.0077474	0.103269	-0.0691376	0.2399	666746(SILVA+0.0341);822685(SILVA*-0.172);813034(NA)
g__Paenibacillus	2	1	1	1	1	up	0	0.5	1	1	0	0.00135728	0.495047	-0.347463	0.23	666746(SILVA*-0.843);822685(NA);813034(GG+0.148)
g__Arthrobacter	2	1	1	1	1	up	0	0.5	1	1	1	0.00030346	0.100713	0.0514011	0.1675	666746(SILVA*+0.152);822685(NA);813034(GG-0.0493)
g__Phocaeicola	2	2	0	1	1	up	0	0.5	1	1	1	0.0193227	0.0817095	0.0574766	0.1357	666746(SILVA*+0.139);822685(SILVA-0.0242);813034(NA)
g__Clostridium	2	1	1	1	1	up	0	0.5	1	1	1	0.00157225	0.120328	0.0215675	0.135	666746(SILVA*+0.142);822685(NA);813034(GG-0.0988)
g__Sphingobacterium	2	1	1	1	1	up	0	0.5	1	1	1	0.00156521	0.0934219	0.0484731	0.1225	666746(SILVA*+0.142);822685(NA);813034(GG-0.0449)
