genus	n_cohorts	n_DADA2_SILVA	in_sensitivity_GG	n_up	n_down	direction	direction_consistent	frac_agree	n_sig_q0.1	n_nominal_p0.05	evidence_hits	min_q	mean_abs_effect	mean_median_effect	mean_prevalence	cohort_effects
g__Aeromonas	2	2	0	2	0	up	1	1	2	2	2	8.87297e-05	0.144782	0.144782	0.0181	666746(SILVA*+0.198);822685(SILVA*+0.0912);813034(NA)
g__Lachnospiraceae_NK3A20_group	2	2	0	2	0	up	1	1	2	2	2	0.00157225	0.104796	0.104796	0.0181	666746(SILVA*+0.135);822685(SILVA*+0.0746);813034(NA)
g__Acholeplasma	2	2	0	2	0	up	1	1	2	1	2	0.00157225	0.104796	0.104796	0.0173	666746(SILVA*+0.135);822685(SILVA*+0.0746);813034(NA)
g__Romboutsia	2	2	0	2	0	up	1	1	2	1	2	0.00157688	0.104796	0.104796	0.0173	666746(SILVA*+0.135);822685(SILVA*+0.0746);813034(NA)
g__Brucella	2	2	0	2	0	up	1	1	2	1	2	0.00157225	0.104796	0.104796	0.0143	666746(SILVA*+0.135);822685(SILVA*+0.0746);813034(NA)
g__Ottowia	2	2	0	2	0	up	1	1	2	1	2	8.87297e-05	0.122947	0.122947	0.0131	666746(SILVA*+0.171);822685(SILVA*+0.0746);813034(NA)
g__Ruthenibacterium	2	2	0	2	0	up	1	1	2	2	2	0.000360936	0.117875	0.117875	0.0131	666746(SILVA*+0.152);822685(SILVA*+0.0836);813034(NA)
g__Fannyhessea	2	2	0	2	0	up	1	1	2	2	2	0.00140447	0.112765	0.112765	0.0131	666746(SILVA*+0.142);822685(SILVA*+0.0836);813034(NA)
g__Phaselicystis	2	2	0	2	0	up	1	1	2	2	2	0.000403338	0.112765	0.112765	0.0131	666746(SILVA*+0.142);822685(SILVA*+0.0836);813034(NA)
g__Caulobacter	2	2	0	2	0	up	1	1	2	2	2	0.00588081	0.109314	0.109314	0.0131	666746(SILVA*+0.135);822685(SILVA*+0.0836);813034(NA)
g__Prosthecobacter	2	2	0	2	0	up	1	1	2	2	2	0.00157225	0.109314	0.109314	0.0131	666746(SILVA*+0.135);822685(SILVA*+0.0836);813034(NA)
g__Rhizorhabdus	2	2	0	2	0	up	1	1	2	2	2	0.00664124	0.107067	0.107067	0.0131	666746(SILVA*+0.13);822685(SILVA*+0.0836);813034(NA)
g__Fuscovulum	2	2	0	2	0	up	1	1	2	2	2	8.87297e-05	0.113357	0.113357	0.0112	666746(SILVA*+0.152);822685(SILVA*+0.0746);813034(NA)
g__Neobacillus	2	2	0	2	0	up	1	1	2	2	2	0.000166401	0.121669	0.121669	0.0081	666746(SILVA*+0.152);822685(SILVA*+0.0912);813034(NA)
g__Paucibacter	2	2	0	2	0	up	1	1	2	2	2	0.000390308	0.121669	0.121669	0.0081	666746(SILVA*+0.152);822685(SILVA*+0.0912);813034(NA)
g__Pseudaeromonas	2	2	0	2	0	up	1	1	2	2	2	8.87297e-05	0.117875	0.117875	0.0081	666746(SILVA*+0.152);822685(SILVA*+0.0836);813034(NA)
g__Roseimarinus	2	2	0	2	0	up	1	1	2	2	2	8.87297e-05	0.117875	0.117875	0.0081	666746(SILVA*+0.152);822685(SILVA*+0.0836);813034(NA)
g__Leifsonia	2	2	0	2	0	up	1	1	2	2	2	8.87297e-05	0.113357	0.113357	0.0081	666746(SILVA*+0.152);822685(SILVA*+0.0746);813034(NA)
g__Dolosigranulum	2	2	0	2	0	up	1	1	2	2	2	0.00157225	0.112765	0.112765	0.0081	666746(SILVA*+0.142);822685(SILVA*+0.0836);813034(NA)
g__Intestinibacter	2	2	0	2	0	up	1	1	2	2	2	0.00154972	0.112765	0.112765	0.0081	666746(SILVA*+0.142);822685(SILVA*+0.0836);813034(NA)
g__Gemmiger	2	2	0	2	0	up	1	1	2	2	2	0.00157688	0.109314	0.109314	0.0081	666746(SILVA*+0.135);822685(SILVA*+0.0836);813034(NA)
g__Proteiniphilum	2	2	0	2	0	up	1	1	2	2	2	0.00157225	0.109314	0.109314	0.0081	666746(SILVA*+0.135);822685(SILVA*+0.0836);813034(NA)
g__Parascardovia	2	2	0	2	0	up	1	1	2	1	2	0.00157225	0.104796	0.104796	0.0081	666746(SILVA*+0.135);822685(SILVA*+0.0746);813034(NA)
g__Streptococcus	3	2	1	0	3	down	1	1	1	1	1	0.000109322	0.874726	-0.874726	0.978	666746(SILVA-0.23);822685(SILVA*-0.927);813034(GG-1.47)
g__Neisseria	3	2	1	0	3	down	1	1	1	2	1.5	0.0114911	1.28739	-1.28739	0.8802	666746(SILVA-0.211);822685(SILVA*-1.55);813034(GG-2.1)
g__Veillonella	3	2	1	0	3	down	1	1	1	2	1.5	2.04004e-05	1.17036	-1.17036	0.8374	666746(SILVA-0.275);822685(SILVA*-2.07);813034(GG-1.17)
g__Fusobacterium	3	2	1	3	0	up	1	1	1	1	1	0.0093789	0.611101	0.611101	0.8185	666746(SILVA+0.299);822685(SILVA*+1.1);813034(GG+0.439)
g__Granulicatella	3	2	1	0	3	down	1	1	1	1	1	9.18705e-06	0.672887	-0.672887	0.7974	666746(SILVA-0.473);822685(SILVA*-1.45);813034(GG-0.0963)
g__Parvimonas	3	2	1	3	0	up	1	1	1	2	1.5	0.0388238	0.937794	0.937794	0.7419	666746(SILVA+0.0828);822685(SILVA*+0.575);813034(GG+2.16)
g__Rothia	3	2	1	0	3	down	1	1	1	2	1.5	0.00410632	1.27412	-1.27412	0.7214	666746(SILVA-0.412);822685(SILVA*-0.775);813034(GG-2.64)
g__Oribacterium	3	2	1	0	3	down	1	1	1	1	1	0.0388238	0.275595	-0.275595	0.6945	666746(SILVA-0.28);822685(SILVA*-0.427);813034(GG-0.12)
g__Treponema	3	2	1	3	0	up	1	1	1	1	1	0.0308664	0.52447	0.52447	0.6512	666746(SILVA+0.152);822685(SILVA*+0.576);813034(GG+0.845)
g__Corynebacterium	3	2	1	0	3	down	1	1	1	1	1	0.0230813	0.478198	-0.478198	0.6065	666746(SILVA*-0.971);822685(SILVA-0.0319);813034(GG-0.432)
g__Peptococcus	3	2	1	3	0	up	1	1	1	1	1	0.0180647	0.335763	0.335763	0.5116	666746(SILVA+0.0889);822685(SILVA*+0.31);813034(GG+0.609)
g__Kingella	3	2	1	3	0	up	1	1	1	0	1	0.0795398	0.128968	0.128968	0.2848	666746(SILVA*+0.242);822685(SILVA+0.0553);813034(GG+0.0893)
g__Peptoniphilus	3	2	1	3	0	up	1	1	1	1	1	0.0440381	0.111452	0.111452	0.2765	666746(SILVA+0.0704);822685(SILVA*+0.101);813034(GG+0.163)
g__Pyramidobacter	3	2	1	3	0	up	1	1	1	0	1	0.0649479	0.126829	0.126829	0.1507	666746(SILVA*+0.13);822685(SILVA+0.0746);813034(GG+0.175)
g__Enterobacter	3	2	1	3	0	up	1	1	1	1	1	0.0605615	0.191194	0.191194	0.1085	666746(SILVA+0.133);822685(SILVA*+0.0891);813034(GG+0.351)
g__Flavobacterium	3	2	1	3	0	up	1	1	1	1	1	0.00588081	0.0970345	0.0970345	0.0865	666746(SILVA*+0.142);822685(SILVA+0.0746);813034(GG+0.0746)
g__Faecalibacterium	3	2	1	3	0	up	1	1	1	2	1.5	0.0388238	0.181894	0.181894	0.0778	666746(SILVA+0.111);822685(SILVA*+0.0836);813034(GG+0.351)
g__Sneathia	3	2	1	3	0	up	1	1	1	1	1	0.00135728	0.145177	0.145177	0.0685	666746(SILVA*+0.152);822685(SILVA+0.0746);813034(GG+0.209)
g__Pseudoxanthomonas	3	2	1	3	0	up	1	1	1	1	1	0.0388238	0.13505	0.13505	0.0537	666746(SILVA+0.0889);822685(SILVA*+0.0912);813034(GG+0.225)
g__Mobiluncus	3	2	1	3	0	up	1	1	1	2	1.5	0.00323962	0.185135	0.185135	0.0486	666746(SILVA*+0.139);822685(SILVA+0.0649);813034(GG+0.351)
g__Bergeyella	2	2	0	2	0	up	1	1	1	1	1	0.0179546	0.769624	0.769624	0.5172	666746(SILVA*+1.53);822685(SILVA+0.00621);813034(NA)
g__Johnsonella	2	2	0	2	0	up	1	1	1	1	1	0.0552776	0.125515	0.125515	0.4322	666746(SILVA+0.0823);822685(SILVA*+0.169);813034(NA)
g__Slackia	2	1	1	2	0	up	1	1	1	1	1	0.00145315	0.270108	0.270108	0.425	666746(SILVA*+0.226);822685(NA);813034(GG+0.315)
g__Methylobacterium	2	1	1	0	2	down	1	1	1	0	1	0.0766755	0.124322	-0.124322	0.415	666746(SILVA*-0.143);822685(NA);813034(GG-0.106)
g__Agrobacterium	2	1	1	2	0	up	1	1	1	0	1	0.0795398	0.1081	0.1081	0.235	666746(SILVA*+0.13);822685(NA);813034(GG+0.0857)
g__Alistipes	2	2	0	2	0	up	1	1	1	1	1	0.0388238	0.108422	0.108422	0.1731	666746(SILVA+0.133);822685(SILVA*+0.0836);813034(NA)
g__Fretibacterium	2	2	0	2	0	up	1	1	1	0	1	0.0649479	0.0725733	0.0725733	0.1429	666746(SILVA*+0.119);822685(SILVA+0.0257);813034(NA)
g__Howardella	2	2	0	2	0	up	1	1	1	1	1	0.000150882	0.137543	0.137543	0.1359	666746(SILVA*+0.198);822685(SILVA+0.0767);813034(NA)
g__Akkermansia	2	1	1	2	0	up	1	1	1	1	1	0.0388238	0.0790888	0.0790888	0.1281	666746(NA);822685(SILVA*+0.0836);813034(GG+0.0745)
g__Mediterraneibacter	2	2	0	2	0	up	1	1	1	1	1	0.0388238	0.0862599	0.0862599	0.1181	666746(SILVA+0.0889);822685(SILVA*+0.0836);813034(NA)
g__Anaeroglobus	2	2	0	2	0	up	1	1	1	1	1	0.0101273	0.0951444	0.0951444	0.1172	666746(SILVA*+0.135);822685(SILVA+0.0553);813034(NA)
g__Hornefia	2	2	0	2	0	up	1	1	1	1	1	0.000774805	0.121029	0.121029	0.1117	666746(SILVA*+0.216);822685(SILVA+0.0257);813034(NA)
g__Pseudonocardia	2	1	1	2	0	up	1	1	1	1	1	0.00692726	0.177769	0.177769	0.11	666746(SILVA*+0.13);822685(NA);813034(GG+0.225)
g__Shuttleworthia	2	1	1	2	0	up	1	1	1	2	1.5	0.0475671	0.206145	0.206145	0.105	666746(SILVA*+0.13);822685(NA);813034(GG+0.282)
g__Limnobacter	2	1	1	2	0	up	1	1	1	1	1	0.000499371	0.166999	0.166999	0.105	666746(SILVA*+0.142);822685(NA);813034(GG+0.192)
g__Delftia	2	1	1	2	0	up	1	1	1	1	1	0.00148434	0.183468	0.183468	0.1025	666746(SILVA*+0.142);822685(NA);813034(GG+0.225)
g__Limosilactobacillus	2	2	0	2	0	up	1	1	1	1	1	0.00367787	0.104796	0.104796	0.0948	666746(SILVA*+0.135);822685(SILVA+0.0746);813034(NA)
g__Moraxella	2	2	0	2	0	up	1	1	1	0	1	0.0755559	0.0817419	0.0817419	0.0931	666746(SILVA+0.0889);822685(SILVA*+0.0746);813034(NA)
g__W5053	2	2	0	2	0	up	1	1	1	1	1	0.0113786	0.090569	0.090569	0.0882	666746(SILVA*+0.142);822685(SILVA+0.0392);813034(NA)
g__Nocardioides	2	1	1	2	0	up	1	1	1	1	1	0.0137866	0.22353	0.22353	0.085	666746(SILVA*+0.165);822685(NA);813034(GG+0.282)
g__Thermus	2	1	1	2	0	up	1	1	1	1	1	0.00157225	0.235034	0.235034	0.08	666746(SILVA*+0.135);822685(NA);813034(GG+0.335)
g__TM7a	2	2	0	2	0	up	1	1	1	1	1	0.000747484	0.117875	0.117875	0.079	666746(SILVA*+0.152);822685(SILVA+0.0836);813034(NA)
g__Varibaculum	2	1	1	2	0	up	1	1	1	2	1.5	0.00109547	0.28642	0.28642	0.0725	666746(SILVA*+0.152);822685(NA);813034(GG+0.421)
g__Erysipelotrichaceae_UCG-006	2	2	0	2	0	up	1	1	1	0	1	0.0993913	0.0878358	0.0878358	0.0723	666746(SILVA*+0.111);822685(SILVA+0.0649);813034(NA)
g__Actinomycetospora	2	1	1	2	0	up	1	1	1	1	1	0.00157225	0.104801	0.104801	0.0675	666746(SILVA*+0.135);822685(NA);813034(GG+0.0746)
g__Rheinheimera	2	1	1	2	0	up	1	1	1	2	1.5	0.00157225	0.240066	0.240066	0.065	666746(SILVA*+0.198);822685(NA);813034(GG+0.282)
g__Janibacter	2	2	0	2	0	up	1	1	1	1	1	0.0420188	0.112765	0.112765	0.0581	666746(SILVA+0.142);822685(SILVA*+0.0836);813034(NA)
g__Aminipila	2	2	0	2	0	up	1	1	1	1	1	0.00156521	0.103403	0.103403	0.0563	666746(SILVA*+0.135);822685(SILVA+0.0718);813034(NA)
g__Proteus	2	1	1	2	0	up	1	1	1	2	1.5	0.00157225	0.208392	0.208392	0.055	666746(SILVA*+0.135);822685(NA);813034(GG+0.282)
g__Salinicoccus	2	1	1	2	0	up	1	1	1	1	1	0.000417316	0.183468	0.183468	0.055	666746(SILVA*+0.142);822685(NA);813034(GG+0.225)
g__Rubellimicrobium	2	1	1	2	0	up	1	1	1	2	1.5	0.00122372	0.251706	0.251706	0.0525	666746(SILVA*+0.152);822685(NA);813034(GG+0.351)
g__Flavisolibacter	2	1	1	2	0	up	1	1	1	1	1	0.00201692	0.243145	0.243145	0.0525	666746(SILVA*+0.135);822685(NA);813034(GG+0.351)
g__Methylorubrum	2	2	0	2	0	up	1	1	1	1	1	0.0388238	0.110861	0.110861	0.0512	666746(SILVA+0.13);822685(SILVA*+0.0912);813034(NA)
g__Alkanindiges	2	1	1	2	0	up	1	1	1	2	1.5	0.00039812	0.211843	0.211843	0.04	666746(SILVA*+0.142);822685(NA);813034(GG+0.282)
g__Sphaerochaeta	2	1	1	2	0	up	1	1	1	1	1	0.00664124	0.206145	0.206145	0.04	666746(SILVA*+0.13);822685(NA);813034(GG+0.282)
g__Marinobacter	2	1	1	2	0	up	1	1	1	1	1	0.024242	0.129166	0.129166	0.04	666746(SILVA*+0.111);822685(NA);813034(GG+0.148)
g__Hydrogenophaga	2	1	1	2	0	up	1	1	1	1	1	0.000296231	0.198167	0.198167	0.0375	666746(SILVA*+0.171);822685(NA);813034(GG+0.225)
g__Devosia	2	1	1	2	0	up	1	1	1	1	1	0.00664124	0.206145	0.206145	0.035	666746(SILVA*+0.13);822685(NA);813034(GG+0.282)
g__Zoogloea	2	1	1	2	0	up	1	1	1	1	1	0.000411826	0.108252	0.108252	0.035	666746(SILVA*+0.142);822685(NA);813034(GG+0.0746)
g__Dyadobacter	2	1	1	2	0	up	1	1	1	1	1	0.00541194	0.177769	0.177769	0.0325	666746(SILVA*+0.13);822685(NA);813034(GG+0.225)
g__Gemmata	2	1	1	2	0	up	1	1	1	1	1	0.00030346	0.180466	0.180466	0.03	666746(SILVA*+0.152);822685(NA);813034(GG+0.209)
g__Vibrio	2	1	1	2	0	up	1	1	1	1	1	0.00154972	0.175356	0.175356	0.03	666746(SILVA*+0.142);822685(NA);813034(GG+0.209)
g__Dermabacter	2	1	1	2	0	up	1	1	1	1	1	0.0198173	0.19627	0.19627	0.0275	666746(SILVA*+0.111);822685(NA);813034(GG+0.282)
g__Lacticaseibacillus	2	2	0	2	0	up	1	1	1	1	1	0.00157225	0.0965378	0.0965378	0.0266	666746(SILVA*+0.135);822685(SILVA+0.0581);813034(NA)
g__Cupriavidus	2	2	0	2	0	up	1	1	1	1	1	0.00157225	0.0951444	0.0951444	0.0266	666746(SILVA*+0.135);822685(SILVA+0.0553);813034(NA)
g__Desulfomicrobium	2	2	0	2	0	up	1	1	1	1	1	0.00157225	0.0951444	0.0951444	0.0266	666746(SILVA*+0.135);822685(SILVA+0.0553);813034(NA)
g__Roseateles	2	1	1	2	0	up	1	1	1	1	1	0.0024998	0.208392	0.208392	0.0225	666746(SILVA*+0.135);822685(NA);813034(GG+0.282)
g__Methylophilus	2	2	0	2	0	up	1	1	1	1	1	0.00677161	0.0977108	0.0977108	0.0223	666746(SILVA*+0.13);822685(SILVA+0.0649);813034(NA)
g__Tepidimonas	2	1	1	2	0	up	1	1	1	0	1	0.0784982	0.14982	0.14982	0.0187	666746(NA);822685(SILVA*+0.0746);813034(GG+0.225)
g__Alloiococcus	2	1	1	2	0	up	1	1	1	2	1.5	0.00157688	0.243145	0.243145	0.0175	666746(SILVA*+0.135);822685(NA);813034(GG+0.351)
g__Butyricimonas	2	1	1	2	0	up	1	1	1	1	1	0.00157225	0.208392	0.208392	0.0175	666746(SILVA*+0.135);822685(NA);813034(GG+0.282)
g__Gemmatimonas	2	1	1	2	0	up	1	1	1	1	1	0.000166401	0.180466	0.180466	0.0175	666746(SILVA*+0.152);822685(NA);813034(GG+0.209)
g__Cohnella	2	1	1	2	0	up	1	1	1	1	1	0.00157225	0.180016	0.180016	0.0175	666746(SILVA*+0.135);822685(NA);813034(GG+0.225)
g__Cellulomonas	2	1	1	2	0	up	1	1	1	1	1	0.000391488	0.17837	0.17837	0.0175	666746(SILVA*+0.148);822685(NA);813034(GG+0.209)
g__Sediminibacterium	2	1	1	2	0	up	1	1	1	1	1	0.00157225	0.171905	0.171905	0.0175	666746(SILVA*+0.135);822685(NA);813034(GG+0.209)
g__Tsuneonella	2	2	0	2	0	up	1	1	1	1	1	0.00157225	0.0999578	0.0999578	0.0143	666746(SILVA*+0.135);822685(SILVA+0.0649);813034(NA)
g__Pelospora	2	2	0	2	0	up	1	1	1	1	1	0.00157688	0.105869	0.105869	0.0112	666746(SILVA*+0.135);822685(SILVA+0.0767);813034(NA)
g__Gemella	3	2	1	3	0	up	1	1	0	0	0	0.187167	0.171493	0.171493	0.9045	666746(SILVA+0.0217);822685(SILVA+0.272);813034(GG+0.221)
g__Aggregatibacter	3	2	1	3	0	up	1	1	0	0	0	0.523218	0.163844	0.163844	0.5693	666746(SILVA+0.0889);822685(SILVA+0.00621);813034(GG+0.396)
g__Eikenella	3	2	1	3	0	up	1	1	0	0	0	0.143488	0.0860677	0.0860677	0.5479	666746(SILVA+0.143);822685(SILVA+0.0891);813034(GG+0.0257)
g__Cardiobacterium	3	2	1	3	0	up	1	1	0	0	0	0.240412	0.06328	0.06328	0.2409	666746(SILVA+0.109);822685(SILVA+0.00621);813034(GG+0.0746)
g__Scardovia	3	2	1	3	0	up	1	1	0	0	0	0.183969	0.0835531	0.0835531	0.1898	666746(SILVA+0.152);822685(SILVA+0.0412);813034(GG+0.0574)
g__Klebsiella	3	2	1	3	0	up	1	1	0	0	0	0.239373	0.0960932	0.0960932	0.1222	666746(SILVA+0.0823);822685(SILVA+0.0746);813034(GG+0.131)
g__Incertae_Sedis	2	2	0	2	0	up	1	1	0	0	0	0.174069	0.0959437	0.0959437	0.9117	666746(SILVA+0.0202);822685(SILVA+0.172);813034(NA)
g__Lachnoanaerobaculum	2	2	0	2	0	up	1	1	0	0	0	0.41777	0.119187	0.119187	0.6772	666746(SILVA+0.134);822685(SILVA+0.104);813034(NA)
g__Schaalia	2	2	0	0	2	down	1	1	0	0	0	0.226949	0.317603	-0.317603	0.5867	666746(SILVA-0.558);822685(SILVA-0.077);813034(NA)
g__Pseudoleptotrichia	2	2	0	2	0	up	1	1	0	0	0	0.396235	0.157521	0.157521	0.4477	666746(SILVA+0.25);822685(SILVA+0.0649);813034(NA)
g__Lancefieldella	2	2	0	2	0	up	1	1	0	0	0	0.537572	0.0534458	0.0534458	0.338	666746(SILVA+0.0889);822685(SILVA+0.018);813034(NA)
g__Rikenellaceae_RC9_gut_group	2	2	0	2	0	up	1	1	0	0	0	0.165917	0.0977108	0.0977108	0.218	666746(SILVA+0.13);822685(SILVA+0.0649);813034(NA)
g__Brevibacillus	2	1	1	2	0	up	1	1	0	0	0	0.230302	0.0499568	0.0499568	0.1775	666746(SILVA+0.0587);822685(NA);813034(GG+0.0412)
g__Phenylobacterium	2	1	1	2	0	up	1	1	0	0	0	0.393386	0.0950473	0.0950473	0.1575	666746(SILVA+0.0587);822685(NA);813034(GG+0.131)
g__Escherichia-Shigella	2	2	0	2	0	up	1	1	0	0	0	0.240552	0.0704942	0.0704942	0.1522	666746(SILVA+0.109);822685(SILVA+0.032);813034(NA)
g__[Eubacterium]_brachy_group	2	2	0	2	0	up	1	1	0	0	0	0.240552	0.0566921	0.0566921	0.1472	666746(SILVA+0.0911);822685(SILVA+0.0223);813034(NA)
g__Candidatus_Saccharimonas	2	2	0	2	0	up	1	1	0	0	0	0.200288	0.0615118	0.0615118	0.1451	666746(SILVA+0.0911);822685(SILVA+0.032);813034(NA)
g__Olsenella	2	2	0	2	0	up	1	1	0	0	0	0.189076	0.0736206	0.0736206	0.1235	666746(SILVA+0.0823);822685(SILVA+0.0649);813034(NA)
