genus	n_cohorts	n_DADA2_SILVA	in_sensitivity_GG	n_up	n_down	direction	direction_consistent	frac_agree	n_sig_q0.1	n_nominal_p0.05	evidence_hits	min_q	mean_abs_effect	mean_median_effect	mean_prevalence	cohort_effects	score	tier	rank
g__Mycobacterium	3	2	1	3	0	up	1	1	2	2	2	0.0057271	0.0962479	0.0962479	0.0871	666746(SILVA*+0.13);822685(SILVA*+0.0836);813034(GG+0.0746)	1.17105	A_all3_consistent	39
g__Methylobacterium	2	1	1	0	2	down	1	1	1	0	1	0.0766755	0.124322	-0.124322	0.415	666746(SILVA*-0.143);822685(NA);813034(GG-0.106)	1.16321	E_SILVA+GG_consistent	40
g__Dietzia	3	2	1	3	0	up	1	1	2	2	2	0.000566597	0.156978	0.156978	0.0691	666746(SILVA*+0.171);822685(SILVA*+0.0746);813034(GG+0.225)	1.15561	A_all3_consistent	41
g__Aerococcus	3	2	1	3	0	up	1	1	2	2	2	0.0230813	0.165309	0.165309	0.0571	666746(SILVA*+0.13);822685(SILVA*+0.0836);813034(GG+0.282)	1.11837	A_all3_consistent	42
g__Ralstonia	3	2	1	3	0	up	1	1	2	2	2	0.0179546	0.13693	0.13693	0.0486	666746(SILVA*+0.111);822685(SILVA*+0.0912);813034(GG+0.209)	1.06682	A_all3_consistent	43
g__Sphingobium	3	2	1	3	0	up	1	1	2	2	2	0.0179546	0.147889	0.147889	0.0391	666746(SILVA*+0.135);822685(SILVA*+0.0836);813034(GG+0.225)	1.04058	A_all3_consistent	44
g__Legionella	3	2	1	3	0	up	1	1	2	2	2	0.000286364	0.175043	0.175043	0.0303	666746(SILVA*+0.152);822685(SILVA*+0.0912);813034(GG+0.282)	1.0274	A_all3_consistent	45
g__Gordonia	3	2	1	3	0	up	1	1	2	2	2	0.000609771	0.100047	0.100047	0.0421	666746(SILVA*+0.142);822685(SILVA*+0.0836);813034(GG+0.0746)	1.01742	A_all3_consistent	46
g__Faecalibacterium	3	2	1	3	0	up	1	1	1	2	1.5	0.0388238	0.181894	0.181894	0.0778	666746(SILVA+0.111);822685(SILVA*+0.0836);813034(GG+0.351)	1.0058	A_all3_consistent	47
g__Incertae_Sedis	2	2	0	2	0	up	1	1	0	0	0	0.174069	0.0959437	0.0959437	0.9117	666746(SILVA+0.0202);822685(SILVA+0.172);813034(NA)	0.996235	C_DADA2_consistent_GGnotdetected	48
