genus	n_cohorts	n_DADA2_SILVA	in_sensitivity_GG	n_up	n_down	direction	direction_consistent	frac_agree	n_sig_q0.1	n_nominal_p0.05	evidence_hits	min_q	mean_abs_effect	mean_median_effect	mean_prevalence	cohort_effects	score	tier	rank
g__Erysipelotrichaceae_UCG-006	2	2	0	2	0	up	1	1	1	0	1	0.0993913	0.0878358	0.0878358	0.0723	666746(SILVA*+0.111);822685(SILVA+0.0649);813034(NA)	0.549651	C_DADA2_consistent_GGnotdetected	129
g__Actinomycetospora	2	1	1	2	0	up	1	1	1	1	1	0.00157225	0.104801	0.104801	0.0675	666746(SILVA*+0.135);822685(NA);813034(GG+0.0746)	0.547929	E_SILVA+GG_consistent	130
g__Sphaerochaeta	2	1	1	2	0	up	1	1	1	1	1	0.00664124	0.206145	0.206145	0.04	666746(SILVA*+0.13);822685(NA);813034(GG+0.282)	0.535739	E_SILVA+GG_consistent	131
g__Janibacter	2	2	0	2	0	up	1	1	1	1	1	0.0420188	0.112765	0.112765	0.0581	666746(SILVA+0.142);822685(SILVA*+0.0836);813034(NA)	0.534652	C_DADA2_consistent_GGnotdetected	132
g__Hydrogenophaga	2	1	1	2	0	up	1	1	1	1	1	0.000296231	0.198167	0.198167	0.0375	666746(SILVA*+0.171);822685(NA);813034(GG+0.225)	0.528368	E_SILVA+GG_consistent	133
g__Aminipila	2	2	0	2	0	up	1	1	1	1	1	0.00156521	0.103403	0.103403	0.0563	666746(SILVA*+0.135);822685(SILVA+0.0718);813034(NA)	0.528087	C_DADA2_consistent_GGnotdetected	134
g__Devosia	2	1	1	2	0	up	1	1	1	1	1	0.00664124	0.206145	0.206145	0.035	666746(SILVA*+0.13);822685(NA);813034(GG+0.282)	0.526502	E_SILVA+GG_consistent	135
g__Methylorubrum	2	2	0	2	0	up	1	1	1	1	1	0.0388238	0.110861	0.110861	0.0512	666746(SILVA+0.13);822685(SILVA*+0.0912);813034(NA)	0.52199	C_DADA2_consistent_GGnotdetected	136
g__Dyadobacter	2	1	1	2	0	up	1	1	1	1	1	0.00541194	0.177769	0.177769	0.0325	666746(SILVA*+0.13);822685(NA);813034(GG+0.225)	0.512264	E_SILVA+GG_consistent	137
g__Dermabacter	2	1	1	2	0	up	1	1	1	1	1	0.0198173	0.19627	0.19627	0.0275	666746(SILVA*+0.111);822685(NA);813034(GG+0.282)	0.509358	E_SILVA+GG_consistent	138
g__Marinobacter	2	1	1	2	0	up	1	1	1	1	1	0.024242	0.129166	0.129166	0.04	666746(SILVA*+0.111);822685(NA);813034(GG+0.148)	0.50895	E_SILVA+GG_consistent	139
g__Gemmata	2	1	1	2	0	up	1	1	1	1	1	0.00030346	0.180466	0.180466	0.03	666746(SILVA*+0.152);822685(NA);813034(GG+0.209)	0.508637	E_SILVA+GG_consistent	140
g__Vibrio	2	1	1	2	0	up	1	1	1	1	1	0.00154972	0.175356	0.175356	0.03	666746(SILVA*+0.142);822685(NA);813034(GG+0.209)	0.50692	E_SILVA+GG_consistent	141
g__Scardovia	3	2	1	3	0	up	1	1	0	0	0	0.183969	0.0835531	0.0835531	0.1898	666746(SILVA+0.152);822685(SILVA+0.0412);813034(GG+0.0574)	0.504749	A_all3_consistent	142
g__Roseateles	2	1	1	2	0	up	1	1	1	1	1	0.0024998	0.208392	0.208392	0.0225	666746(SILVA*+0.135);822685(NA);813034(GG+0.282)	0.504144	E_SILVA+GG_consistent	143
g__Butyricimonas	2	1	1	2	0	up	1	1	1	1	1	0.00157225	0.208392	0.208392	0.0175	666746(SILVA*+0.135);822685(NA);813034(GG+0.282)	0.494894	E_SILVA+GG_consistent	144
g__Zoogloea	2	1	1	2	0	up	1	1	1	1	1	0.000411826	0.108252	0.108252	0.035	666746(SILVA*+0.142);822685(NA);813034(GG+0.0746)	0.493022	E_SILVA+GG_consistent	145
g__Lancefieldella	2	2	0	2	0	up	1	1	0	0	0	0.537572	0.0534458	0.0534458	0.338	666746(SILVA+0.0889);822685(SILVA+0.018);813034(NA)	0.489256	C_DADA2_consistent_GGnotdetected	146
g__Gemmatimonas	2	1	1	2	0	up	1	1	1	1	1	0.000166401	0.180466	0.180466	0.0175	666746(SILVA*+0.152);822685(NA);813034(GG+0.209)	0.48593	E_SILVA+GG_consistent	147
g__Cohnella	2	1	1	2	0	up	1	1	1	1	1	0.00157225	0.180016	0.180016	0.0175	666746(SILVA*+0.135);822685(NA);813034(GG+0.225)	0.485785	E_SILVA+GG_consistent	148
g__Cellulomonas	2	1	1	2	0	up	1	1	1	1	1	0.000391488	0.17837	0.17837	0.0175	666746(SILVA*+0.148);822685(NA);813034(GG+0.209)	0.485257	E_SILVA+GG_consistent	149
g__Sediminibacterium	2	1	1	2	0	up	1	1	1	1	1	0.00157225	0.171905	0.171905	0.0175	666746(SILVA*+0.135);822685(NA);813034(GG+0.209)	0.483182	E_SILVA+GG_consistent	150
g__Tepidimonas	2	1	1	2	0	up	1	1	1	0	1	0.0784982	0.14982	0.14982	0.0187	666746(NA);822685(SILVA*+0.0746);813034(GG+0.225)	0.478228	E_SILVA+GG_consistent	151
g__Lacticaseibacillus	2	2	0	2	0	up	1	1	1	1	1	0.00157225	0.0965378	0.0965378	0.0266	666746(SILVA*+0.135);822685(SILVA+0.0581);813034(NA)	0.474603	C_DADA2_consistent_GGnotdetected	152
g__Cupriavidus	2	2	0	2	0	up	1	1	1	1	1	0.00157225	0.0951444	0.0951444	0.0266	666746(SILVA*+0.135);822685(SILVA+0.0553);813034(NA)	0.47414	C_DADA2_consistent_GGnotdetected	153
g__Desulfomicrobium	2	2	0	2	0	up	1	1	1	1	1	0.00157225	0.0951444	0.0951444	0.0266	666746(SILVA*+0.135);822685(SILVA+0.0553);813034(NA)	0.47414	C_DADA2_consistent_GGnotdetected	154
g__Methylophilus	2	2	0	2	0	up	1	1	1	1	1	0.00677161	0.0977108	0.0977108	0.0223	666746(SILVA*+0.13);822685(SILVA+0.0649);813034(NA)	0.467608	C_DADA2_consistent_GGnotdetected	155
g__Tsuneonella	2	2	0	2	0	up	1	1	1	1	1	0.00157225	0.0999578	0.0999578	0.0143	666746(SILVA*+0.135);822685(SILVA+0.0649);813034(NA)	0.454583	C_DADA2_consistent_GGnotdetected	156
g__Pedobacter	2	1	1	2	0	up	1	1	0	1	0.5	0.165917	0.231023	0.231023	0.0725	666746(SILVA+0.111);822685(NA);813034(GG+0.351)	0.454054	E_SILVA+GG_consistent	157
g__Pelospora	2	2	0	2	0	up	1	1	1	1	1	0.00157688	0.105869	0.105869	0.0112	666746(SILVA*+0.135);822685(SILVA+0.0767);813034(NA)	0.451104	C_DADA2_consistent_GGnotdetected	158
g__Klebsiella	3	2	1	3	0	up	1	1	0	0	0	0.239373	0.0960932	0.0960932	0.1222	666746(SILVA+0.0823);822685(SILVA+0.0746);813034(GG+0.131)	0.430946	A_all3_consistent	159
g__Ramlibacter	2	1	1	2	0	up	1	1	0	1	0.5	0.136387	0.220091	0.220091	0.0525	666746(SILVA+0.0889);822685(NA);813034(GG+0.351)	0.42292	E_SILVA+GG_consistent	160
g__Rikenellaceae_RC9_gut_group	2	2	0	2	0	up	1	1	0	0	0	0.165917	0.0977108	0.0977108	0.218	666746(SILVA+0.13);822685(SILVA+0.0649);813034(NA)	0.401837	C_DADA2_consistent_GGnotdetected	161
g__Brevibacillus	2	1	1	2	0	up	1	1	0	0	0	0.230302	0.0499568	0.0499568	0.1775	666746(SILVA+0.0587);822685(NA);813034(GG+0.0412)	0.354814	E_SILVA+GG_consistent	162
g__Phenylobacterium	2	1	1	2	0	up	1	1	0	0	0	0.393386	0.0950473	0.0950473	0.1575	666746(SILVA+0.0587);822685(NA);813034(GG+0.131)	0.349239	E_SILVA+GG_consistent	163
g__Escherichia-Shigella	2	2	0	2	0	up	1	1	0	0	0	0.240552	0.0704942	0.0704942	0.1522	666746(SILVA+0.109);822685(SILVA+0.032);813034(NA)	0.338772	C_DADA2_consistent_GGnotdetected	164
g__[Eubacterium]_brachy_group	2	2	0	2	0	up	1	1	0	0	0	0.240552	0.0566921	0.0566921	0.1472	666746(SILVA+0.0911);822685(SILVA+0.0223);813034(NA)	0.331271	C_DADA2_consistent_GGnotdetected	165
g__Candidatus_Saccharimonas	2	2	0	2	0	up	1	1	0	0	0	0.200288	0.0615118	0.0615118	0.1451	666746(SILVA+0.0911);822685(SILVA+0.032);813034(NA)	0.330662	C_DADA2_consistent_GGnotdetected	166
g__Lysobacter	2	1	1	2	0	up	1	1	0	0	0	0.298108	0.136219	0.136219	0.1225	666746(SILVA+0.0474);822685(NA);813034(GG+0.225)	0.328445	E_SILVA+GG_consistent	167
g__Olsenella	2	2	0	2	0	up	1	1	0	0	0	0.189076	0.0736206	0.0736206	0.1235	666746(SILVA+0.0823);822685(SILVA+0.0649);813034(NA)	0.315298	C_DADA2_consistent_GGnotdetected	168
g__Geobacillus	2	1	1	2	0	up	1	1	0	0	0	0.12505	0.130931	0.130931	0.0925	666746(SILVA+0.13);822685(NA);813034(GG+0.131)	0.300906	E_SILVA+GG_consistent	169
g__Lawsonella	2	2	0	2	0	up	1	1	0	0	0	0.160988	0.0878358	0.0878358	0.0873	666746(SILVA+0.111);822685(SILVA+0.0649);813034(NA)	0.287616	C_DADA2_consistent_GGnotdetected	170
g__Ligilactobacillus	2	2	0	2	0	up	1	1	0	0	0	0.186881	0.0704942	0.0704942	0.0897	666746(SILVA+0.109);822685(SILVA+0.032);813034(NA)	0.286128	C_DADA2_consistent_GGnotdetected	171
g__[Eubacterium]_saphenum_group	2	2	0	2	0	up	1	1	0	0	0	0.12694	0.0650317	0.0650317	0.0844	666746(SILVA+0.0889);822685(SILVA+0.0412);813034(NA)	0.280568	C_DADA2_consistent_GGnotdetected	172
g__F0332	2	2	0	2	0	up	1	1	0	0	0	0.134398	0.07799	0.07799	0.0562	666746(SILVA+0.0911);822685(SILVA+0.0649);813034(NA)	0.259288	C_DADA2_consistent_GGnotdetected	173
g__Capnocytophaga	3	2	1	2	1	up	0	0.666667	1	1	1	0.0623349	0.332081	0.319745	0.8601	666746(SILVA*+0.82);822685(SILVA-0.0185);813034(GG+0.157)	0.798671	B_all3_discordant	174
g__Bacillus	3	2	1	1	2	down	0	0.666667	2	2	1	8.87297e-05	1.22929	-1.17353	0.4678	666746(SILVA*-2.37);822685(SILVA*+0.0836);813034(GG-1.24)	0.794641	B_all3_discordant	175
g__Lautropia	3	2	1	1	2	down	0	0.666667	1	2	1.5	0.0388238	0.540215	-0.384799	0.5041	666746(SILVA+0.233);822685(SILVA*-0.111);813034(GG-1.28)	0.762935	B_all3_discordant	176
g__Staphylococcus	3	2	1	1	2	down	0	0.666667	1	1	1	0.0353807	0.578153	-0.541289	0.6121	666746(SILVA*-1.12);822685(SILVA+0.0553);813034(GG-0.561)	0.711889	B_all3_discordant	177
g__Pseudomonas	3	2	1	2	1	up	0	0.666667	2	2	1	0.01331	0.504257	-0.25301	0.5778	666746(SILVA*-1.14);822685(SILVA*+0.131);813034(GG+0.246)	0.65714	B_all3_discordant	178
g__Enterococcus	3	2	1	2	1	up	0	0.666667	2	2	2	0.00464946	0.367809	-0.201873	0.2924	666746(SILVA*+0.165);822685(SILVA*+0.0836);813034(GG-0.855)	0.597909	B_all3_discordant	179
g__Butyrivibrio	3	2	1	2	1	up	0	0.666667	2	2	2	0.00157225	0.190146	0.00984173	0.3293	666746(SILVA*+0.216);822685(SILVA*+0.0836);813034(GG-0.27)	0.571894	B_all3_discordant	180
g__Bacteroides	3	2	1	1	2	down	0	0.666667	1	1	1	0.0377809	0.216005	-0.180326	0.5802	666746(SILVA*-0.48);822685(SILVA+0.0535);813034(GG-0.115)	0.555665	B_all3_discordant	181
g__Bifidobacterium	3	2	1	2	1	up	0	0.666667	1	1	1	0.0479035	0.326072	-0.0253533	0.5223	666746(SILVA-0.527);822685(SILVA*+0.0836);813034(GG+0.367)	0.553633	B_all3_discordant	182
g__Tannerella	3	2	1	2	1	up	0	0.666667	1	0	1	0.0692121	0.252765	0.0710527	0.5392	666746(SILVA*+0.185);822685(SILVA-0.273);813034(GG+0.301)	0.540755	B_all3_discordant	183
g__Prevotella	3	2	1	1	2	down	0	0.666667	1	1	0	0.0225841	0.658694	-0.13366	0.9237	666746(SILVA*+0.788);822685(SILVA-0.325);813034(GG-0.863)	0.505017	B_all3_discordant	184
g__Paracoccus	3	2	1	2	1	up	0	0.666667	1	2	1	0.0388238	0.334737	-0.083416	0.4308	666746(SILVA+0.286);822685(SILVA*+0.0912);813034(GG-0.627)	0.490589	B_all3_discordant	185
g__Cloacibacterium	3	2	1	2	1	up	0	0.666667	2	2	2	0.00168911	0.243874	-0.0867083	0.2095	666746(SILVA*+0.152);822685(SILVA*+0.0836);813034(GG-0.496)	0.469623	B_all3_discordant	186
g__Blautia	3	2	1	2	1	up	0	0.666667	2	2	1	0.00828974	0.385796	-0.242465	0.3441	666746(SILVA*-0.942);822685(SILVA*+0.0836);813034(GG+0.131)	0.441217	B_all3_discordant	187
g__Enhydrobacter	3	2	1	2	1	up	0	0.666667	1	1	1	0.0388238	0.283564	-0.047019	0.3712	666746(SILVA+0.264);822685(SILVA*+0.0912);813034(GG-0.496)	0.433908	B_all3_discordant	188
g__Haemophilus	3	2	1	1	2	down	0	0.666667	0	0	0	0.159095	0.34017	-0.245192	0.8752	666746(SILVA+0.142);822685(SILVA-0.196);813034(GG-0.682)	0.406734	B_all3_discordant	189
g__Serratia	3	2	1	2	1	up	0	0.666667	1	2	0.5	5.15977e-05	0.580607	-0.343013	0.3644	666746(SILVA*-1.39);822685(SILVA+0.0746);813034(GG+0.282)	0.381	B_all3_discordant	190
g__Bulleidia	3	2	1	2	1	up	0	0.666667	1	1	1	0.00266903	0.137125	0.0139359	0.3348	666746(SILVA*+0.171);822685(SILVA+0.0553);813034(GG-0.185)	0.371487	B_all3_discordant	191
g__Selenomonas	3	2	1	2	1	up	0	0.666667	0	0	0	0.377363	0.294804	0.243597	0.7772	666746(SILVA+0.0889);822685(SILVA-0.0768);813034(GG+0.719)	0.361243	B_all3_discordant	192
g__Porphyromonas	3	2	1	2	1	up	0	0.666667	0	0	0	0.333622	0.180027	0.086892	0.8471	666746(SILVA+0.144);822685(SILVA-0.14);813034(GG+0.256)	0.358627	B_all3_discordant	193
g__Chryseobacterium	3	2	1	2	1	up	0	0.666667	2	2	2	0.00477742	0.126648	0.0483646	0.1274	666746(SILVA*+0.171);822685(SILVA*+0.0912);813034(GG-0.117)	0.357046	B_all3_discordant	194
g__Atopobium	2	1	1	1	1	up	0	0.5	1	2	1	0.0388238	0.782587	-0.691363	0.4406	666746(NA);822685(SILVA*+0.0912);813034(GG-1.47)	0.350701	Z_discordant_or_partial	195
g__Halomonas	3	2	1	2	1	up	0	0.666667	1	1	1	0.0475671	0.0814041	0.0067534	0.323	666746(SILVA*+0.0911);822685(SILVA+0.0412);813034(GG-0.112)	0.350198	B_all3_discordant	196
g__Lactobacillus	3	2	1	2	1	up	0	0.666667	1	1	1	0.0104121	0.171506	0.0035063	0.2874	666746(SILVA*+0.171);822685(SILVA+0.0912);813034(GG-0.252)	0.349359	B_all3_discordant	197
g__Roseomonas	3	2	1	2	1	up	0	0.666667	2	2	2	0.0345764	0.0920083	0.0591338	0.1254	666746(SILVA*+0.152);822685(SILVA*+0.0746);813034(GG-0.0493)	0.346727	B_all3_discordant	198
g__Sphingomonas	3	2	1	2	1	up	0	0.666667	1	0	1	0.089467	0.151211	-0.0290936	0.2862	666746(SILVA+0.109);822685(SILVA*+0.0746);813034(GG-0.27)	0.343877	B_all3_discordant	199
g__Coprococcus	3	2	1	2	1	up	0	0.666667	2	2	2	0.00039812	0.111165	0.0391887	0.1004	666746(SILVA*+0.142);822685(SILVA*+0.0836);813034(GG-0.108)	0.327987	B_all3_discordant	200
g__Megamonas	2	2	0	1	1	up	0	0.5	2	2	1	0.0137866	0.452671	-0.361447	0.4993	666746(SILVA*-0.814);822685(SILVA*+0.0912);813034(NA)	0.321181	D_DADA2_discordant_GGnotdetected	201
g__Brevundimonas	3	2	1	1	2	down	0	0.666667	1	2	0.5	0.0457011	0.466842	-0.411085	0.2971	666746(SILVA-0.178);822685(SILVA*+0.0836);813034(GG-1.14)	0.3191	B_all3_discordant	202
g__Roseburia	2	2	0	1	1	up	0	0.5	2	2	1	0.0188944	0.445804	-0.344568	0.4816	666746(SILVA*-0.79);822685(SILVA*+0.101);813034(NA)	0.312388	D_DADA2_discordant_GGnotdetected	203
g__Dialister	3	2	1	2	1	up	0	0.666667	0	0	0	0.15826	0.218369	0.212187	0.6538	666746(SILVA+0.556);822685(SILVA+0.0894);813034(GG-0.00927)	0.302925	B_all3_discordant	204
g__Ammoniphilus	2	1	1	1	1	up	0	0.5	1	2	0.5	8.87297e-05	1.5971	-1.24581	0.3075	666746(SILVA*-2.84);822685(NA);813034(GG+0.351)	0.294069	Z_discordant_or_partial	205
g__Luteimonas	3	2	1	2	1	up	0	0.666667	2	2	2	0.000276844	0.0873799	0.0825735	0.0654	666746(SILVA*+0.171);822685(SILVA*+0.0836);813034(GG-0.00721)	0.290364	B_all3_discordant	206
g__Achromobacter	3	2	1	2	1	up	0	0.666667	1	2	1	0.0507519	0.227223	-0.10336	0.1799	666746(SILVA*+0.13);822685(SILVA+0.0553);813034(GG-0.496)	0.289822	B_all3_discordant	207
g__Leptotrichia	3	2	1	2	1	up	0	0.666667	0	0	0	0.263973	0.116697	-0.0267408	0.6706	666746(SILVA+0.0575);822685(SILVA+0.0774);813034(GG-0.215)	0.288338	B_all3_discordant	208
g__Skermanella	3	2	1	2	1	up	0	0.666667	2	2	2	0.0039021	0.0752793	0.0704729	0.0591	666746(SILVA*+0.135);822685(SILVA*+0.0836);813034(GG-0.00721)	0.282141	B_all3_discordant	209
g__Propionibacterium	2	1	1	1	1	up	0	0.5	1	2	1	0.0360989	0.558605	-0.423612	0.37	666746(SILVA*+0.135);822685(NA);813034(GG-0.982)	0.28152	Z_discordant_or_partial	210
g__Ruminococcus	3	2	1	2	1	up	0	0.666667	2	2	2	0.000390308	0.0860247	0.0711414	0.0537	666746(SILVA*+0.152);822685(SILVA*+0.0836);813034(GG-0.0223)	0.279326	B_all3_discordant	211
g__Moryella	2	1	1	1	1	up	0	0.5	1	2	1	0.00275741	0.506518	-0.354404	0.3775	666746(SILVA*+0.152);822685(NA);813034(GG-0.861)	0.277082	Z_discordant_or_partial	212
g__Stenotrophomonas	3	2	1	2	1	up	0	0.666667	1	1	1	0.0388238	0.0854189	0.0212491	0.2003	666746(SILVA+0.0688);822685(SILVA*+0.0912);813034(GG-0.0963)	0.275989	B_all3_discordant	213
g__Comamonas	3	2	1	1	2	down	0	0.666667	2	1	1	0.0290238	0.0906158	-0.000620467	0.1905	666746(SILVA*+0.135);822685(SILVA*-0.0381);813034(GG-0.0988)	0.270972	B_all3_discordant	214
g__Abiotrophia	3	2	1	2	1	up	0	0.666667	0	0	0	0.223939	0.332507	-0.263136	0.4429	666746(SILVA+0.0391);822685(SILVA+0.0649);813034(GG-0.893)	0.24932	B_all3_discordant	215
g__Parabacteroides	3	2	1	2	1	up	0	0.666667	1	1	1	0.0457011	0.0672417	0.0343672	0.1595	666746(SILVA+0.0688);822685(SILVA*+0.0836);813034(GG-0.0493)	0.247767	B_all3_discordant	216
g__Shewanella	2	1	1	1	1	up	0	0.5	1	1	1	0.00157225	0.233134	-0.0912395	0.3925	666746(SILVA*+0.142);822685(NA);813034(GG-0.324)	0.241549	Z_discordant_or_partial	217
g__Mogibacterium	3	2	1	1	2	down	0	0.666667	0	0	0	0.462762	0.141731	-0.114697	0.4881	666746(SILVA+0.0406);822685(SILVA-0.114);813034(GG-0.27)	0.235169	B_all3_discordant	218
g__Desulfobulbus	3	2	1	2	1	up	0	0.666667	1	1	1	0.0455351	0.0767656	0.0467998	0.1282	666746(SILVA*+0.111);822685(SILVA+0.0746);813034(GG-0.0449)	0.230385	B_all3_discordant	219
g__Acinetobacter	3	2	1	2	1	up	0	0.666667	0	0	0	0.218567	0.151672	-0.0682989	0.4633	666746(SILVA+0.0338);822685(SILVA+0.0912);813034(GG-0.33)	0.228799	B_all3_discordant	220
g__Paludibacter	2	1	1	1	1	up	0	0.5	1	1	1	8.87297e-05	0.297976	-0.145863	0.33	666746(SILVA*+0.152);822685(NA);813034(GG-0.444)	0.227078	Z_discordant_or_partial	221
g__Rhodococcus	2	1	1	1	1	up	0	0.5	1	1	1	5.15977e-05	0.289121	-0.0467725	0.3175	666746(SILVA*+0.242);822685(NA);813034(GG-0.336)	0.220978	Z_discordant_or_partial	222
g__Mycoplasma	3	2	1	2	1	up	0	0.666667	0	0	0	0.131983	0.147973	-0.0155505	0.4099	666746(SILVA+0.0823);822685(SILVA+0.116);813034(GG-0.245)	0.211143	B_all3_discordant	223
g__Segatella	2	2	0	1	1	up	0	0.5	1	1	0	0.0410865	0.302012	-0.218101	0.811	666746(SILVA+0.0839);822685(SILVA*-0.52);813034(NA)	0.208212	D_DADA2_discordant_GGnotdetected	224
g__Brachybacterium	2	1	1	1	1	up	0	0.5	1	1	1	0.0225841	0.180702	0.0176385	0.3225	666746(SILVA*+0.198);822685(NA);813034(GG-0.163)	0.208029	Z_discordant_or_partial	225
g__Anaerobutyricum	2	2	0	1	1	up	0	0.5	1	1	1	0.0388238	0.193274	-0.109638	0.3162	666746(SILVA-0.303);822685(SILVA*+0.0836);813034(NA)	0.207448	D_DADA2_discordant_GGnotdetected	226
g__Leucobacter	3	2	1	2	1	up	0	0.666667	1	1	1	0.00157225	0.0871476	0.0571818	0.0824	666746(SILVA*+0.142);822685(SILVA+0.0746);813034(GG-0.0449)	0.203977	B_all3_discordant	227
g__Microbacterium	2	1	1	1	1	up	0	0.5	1	2	1	0.026224	0.364477	-0.225291	0.245	666746(SILVA*+0.139);822685(NA);813034(GG-0.59)	0.2017	Z_discordant_or_partial	228
g__Burkholderia-Caballeronia-Paraburkholderia	2	2	0	1	1	up	0	0.5	2	1	1	0.0388238	0.284675	-0.20104	0.2481	666746(SILVA*-0.486);822685(SILVA*+0.0836);813034(NA)	0.193423	D_DADA2_discordant_GGnotdetected	229
g__Odoribacter	3	2	1	2	1	up	0	0.666667	1	1	1	0.00157225	0.0573688	0.0525624	0.0656	666746(SILVA*+0.139);822685(SILVA+0.0257);813034(GG-0.00721)	0.189607	B_all3_discordant	230
g__Exiguobacterium	2	1	1	1	1	up	0	0.5	1	0	1	0.0782	0.0899709	0.0450221	0.3	666746(SILVA*+0.135);822685(NA);813034(GG-0.0449)	0.187876	Z_discordant_or_partial	231
g__Hoylesella	2	2	0	1	1	up	0	0.5	1	1	0	0.0388238	0.307369	-0.238173	0.7022	666746(SILVA+0.0692);822685(SILVA*-0.546);813034(NA)	0.187473	D_DADA2_discordant_GGnotdetected	232
g__Enterocloster	2	2	0	1	1	up	0	0.5	1	1	1	0.0388238	0.163297	-0.0796619	0.2631	666746(SILVA-0.243);822685(SILVA*+0.0836);813034(NA)	0.184301	D_DADA2_discordant_GGnotdetected	233
g__Anoxybacillus	2	1	1	1	1	up	0	0.5	1	1	0	8.87297e-05	1.15301	-0.944191	0.3525	666746(SILVA*-2.1);822685(NA);813034(GG+0.209)	0.179763	Z_discordant_or_partial	234
g__Actinobacillus	3	2	1	2	1	up	0	0.666667	0	0	0	0.396235	0.127233	-0.0493563	0.3155	666746(SILVA+0.0587);822685(SILVA+0.0581);813034(GG-0.265)	0.178405	B_all3_discordant	235
g__F0058	2	2	0	1	1	up	0	0.5	2	2	1	0.0077474	0.199761	-0.064768	0.2201	666746(SILVA*+0.135);822685(SILVA*-0.265);813034(NA)	0.17297	D_DADA2_discordant_GGnotdetected	236
g__Sutterella	3	2	1	1	2	down	0	0.666667	1	1	0	0.0388238	0.146542	-0.0907848	0.2704	666746(SILVA-0.349);822685(SILVA*+0.0836);813034(GG-0.00721)	0.166347	B_all3_discordant	237
g__Anaerostipes	3	2	1	1	2	down	0	0.666667	1	1	0	0.0388238	0.136079	-0.0803225	0.2704	666746(SILVA-0.275);822685(SILVA*+0.0836);813034(GG-0.0493)	0.165171	B_all3_discordant	238
g__Micrococcus	2	1	1	1	1	up	0	0.5	0	0	0	0.478607	0.271063	-0.086917	0.5525	666746(SILVA+0.184);822685(NA);813034(GG-0.358)	0.154503	Z_discordant_or_partial	239
g__Arthrobacter	2	1	1	1	1	up	0	0.5	1	1	1	0.00030346	0.100713	0.0514011	0.1675	666746(SILVA*+0.152);822685(NA);813034(GG-0.0493)	0.143691	Z_discordant_or_partial	240
g__Clostridium	2	1	1	1	1	up	0	0.5	1	1	1	0.00157225	0.120328	0.0215675	0.135	666746(SILVA*+0.142);822685(NA);813034(GG-0.0988)	0.134318	Z_discordant_or_partial	241
g__Solobacterium	2	2	0	1	1	up	0	0.5	0	0	0	0.342181	0.0785353	0.0103494	0.53	666746(SILVA+0.0889);822685(SILVA-0.0682);813034(NA)	0.132151	D_DADA2_discordant_GGnotdetected	242
g__Phocaeicola	2	2	0	1	1	up	0	0.5	1	1	1	0.0193227	0.0817095	0.0574766	0.1357	666746(SILVA*+0.139);822685(SILVA-0.0242);813034(NA)	0.130988	D_DADA2_discordant_GGnotdetected	243
g__Sphingobacterium	2	1	1	1	1	up	0	0.5	1	1	1	0.00156521	0.0934219	0.0484731	0.1225	666746(SILVA*+0.142);822685(NA);813034(GG-0.0449)	0.127552	Z_discordant_or_partial	244
g__Alloprevotella	2	2	0	1	1	up	0	0.5	1	1	0	0.0388238	0.109157	-0.0409014	0.4856	666746(SILVA+0.0683);822685(SILVA*-0.15);813034(NA)	0.127331	D_DADA2_discordant_GGnotdetected	245
g__Propionivibrio	2	1	1	1	1	up	0	0.5	1	1	1	0.00157225	0.0934219	0.0484731	0.115	666746(SILVA*+0.142);822685(NA);813034(GG-0.0449)	0.124984	Z_discordant_or_partial	246
g__Kocuria	2	1	1	1	1	up	0	0.5	0	0	0	0.269742	0.312009	-0.202987	0.38	666746(SILVA+0.109);822685(NA);813034(GG-0.515)	0.124388	Z_discordant_or_partial	247
g__Saccharopolyspora	2	1	1	1	1	up	0	0.5	1	1	1	0.00850208	0.0934219	0.0484731	0.1075	666746(SILVA*+0.142);822685(NA);813034(GG-0.0449)	0.122416	Z_discordant_or_partial	248
g__Rubrobacter	2	1	1	1	1	up	0	0.5	1	1	1	0.0116935	0.0899054	0.0405936	0.1	666746(SILVA*+0.13);822685(NA);813034(GG-0.0493)	0.119552	Z_discordant_or_partial	249
g__Xylanibacter	2	2	0	1	1	up	0	0.5	1	1	1	0.0582566	0.0713492	0.0393998	0.1022	666746(SILVA*+0.111);822685(SILVA-0.0319);813034(NA)	0.118735	D_DADA2_discordant_GGnotdetected	250
g__Stomatobaculum	2	2	0	1	1	up	0	0.5	1	1	0	0.0455705	0.140818	-0.021382	0.4206	666746(SILVA+0.119);822685(SILVA*-0.162);813034(NA)	0.118628	D_DADA2_discordant_GGnotdetected	251
g__Dorea	2	1	1	1	1	up	0	0.5	1	1	1	0.00148434	0.0745523	0.0673427	0.0725	666746(SILVA*+0.142);822685(NA);813034(GG-0.00721)	0.10897	Z_discordant_or_partial	252
g__Coprobacillus	2	1	1	1	1	up	0	0.5	1	1	1	0.000114079	0.0796618	0.0724522	0.0675	666746(SILVA*+0.152);822685(NA);813034(GG-0.00721)	0.10767	Z_discordant_or_partial	253
g__Paenibacillus	2	1	1	1	1	up	0	0.5	1	1	0	0.00135728	0.495047	-0.347463	0.23	666746(SILVA*-0.843);822685(NA);813034(GG+0.148)	0.105315	Z_discordant_or_partial	254
g__Phascolarctobacterium	2	1	1	1	1	up	0	0.5	0	0	0	0.617361	0.130122	0.122912	0.3475	666746(SILVA+0.253);822685(NA);813034(GG-0.00721)	0.10493	Z_discordant_or_partial	255
