cohort	analysis_route	taxonomy	design	genus	complete_pairs	median_tumor_relabund	median_normal_relabund	median_paired_clr_effect	wilcoxon_p	bh_fdr_q
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	Unclassified	50	0.000325897	0.00130685	-0.458762	0.22601	0.254659
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Abiotrophia	50	0	0	0.039133	0.409704	0.43995
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Acholeplasma	50	0	0	0.134993	0.000754934	0.00157225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Achromobacter	50	0	0	0.130499	0.0390155	0.0507519
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Acidibacter	50	0	0	0.134993	0.000784737	0.00157225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Acidovorax	50	0	0	0.141895	0.0248477	0.0338832
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Acinetobacter	50	0	0.000282417	0.0338365	0.215052	0.243456
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Actinobacillus	50	0	0	0.0587326	0.367343	0.396235
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Actinomyces	50	0.000172632	0.00242523	-1.03647	0.00243994	0.00412384
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Actinomycetospora	50	0	0	0.134993	0.000815605	0.00157225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Actinotalea	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Aeribacillus	50	0	0	0.134993	0.000698391	0.00157225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Aerococcus	50	0	0	0.130499	0.0166377	0.0230813
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Aeromonas	50	0	0	0.198341	3.38235e-06	8.87297e-05
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Aestuariimicrobium	50	0	0	0.134993	0.000784737	0.00157225
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Afipia	50	0	0	0.134993	0.00354364	0.0057271
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Agathobacter	50	0	0	0.198341	1.87591e-05	0.000166401
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Agathobaculum	50	0	0	0.216347	0.028257	0.0377809
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Aggregatibacter	50	0	0.000501754	0.0888846	0.788753	0.807252
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Agrobacterium	50	0	0	0.130499	0.0634661	0.0795398
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Ahniella	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Alcaligenes	50	0	0	0.152114	7.50077e-05	0.000391488
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Algoriphagus	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Alishewanella	50	0	0	0.134993	0.00279936	0.00464946
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Alistipes	50	0	0	0.133208	0.701837	0.727606
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Alkanindiges	50	0	0	0.141895	8.63048e-05	0.00039812
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Allisonella	50	0	0	0.141895	0.000136287	0.000499371
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Alloiococcus	50	0	0	0.134993	0.000847571	0.00157688
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Alloprevotella	50	9.62251e-05	0.000439641	0.0682552	0.484303	0.515445
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Alloscardovia	50	0	0	0.141895	7.15565e-05	0.000390308
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Alteraurantiacibacter	50	0	0	0.152114	8.87297e-06	8.87297e-05
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Altererythrobacter	50	0	0	0.171295	9.97976e-07	8.87297e-05
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Alysiella	50	0	0	0.171295	0.00184253	0.00323962
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Aminipila	50	0	0	0.134993	0.000551083	0.00156521
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Ammoniphilus	50	0	0.00144128	-2.84291	6.35862e-06	8.87297e-05
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Amphiplicatus	50	0	0	0.152114	1.97602e-05	0.000166401
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Anaerobacterium	50	0	0	0.152114	2.82831e-05	0.000222555
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Anaerobutyricum	50	0.000216456	0.000495642	-0.302912	0.265338	0.29482
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Anaerococcus	50	0	0	0.134993	0.0118672	0.0172614
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Anaeroglobus	50	0	0	0.134993	0.00673046	0.0101273
PRJNA666746	DADA2_ASV	SILVA_138.2	primary	g__Anaerolinea	50	0	0	0.141895	9.9154e-05	0.000403338
