genus	genus_name	status	detected_in	note
g__Tautonia	Tautonia	SILVA-only	PRJNA666746	plain genus name
g__Tepidicella	Tepidicella	SILVA-only	PRJNA666746	plain genus name
g__Terrimonas	Terrimonas	SILVA-only	PRJNA666746	plain genus name
g__Tessaracoccus	Tessaracoccus	SILVA-only	PRJNA666746	plain genus name
g__Tetrasphaera	Tetrasphaera	SILVA-only	PRJNA666746	plain genus name
g__TG5	TG5	Greengenes-only	PRJNA813034	plain genus name
g__Thauera	Thauera	SILVA-only	PRJNA666746	plain genus name
g__Thermicanus	Thermicanus	Greengenes-only	PRJNA813034	plain genus name
g__Thermomonas	Thermomonas	SILVA-only	PRJNA666746	plain genus name
g__Thioclava	Thioclava	SILVA-only	PRJNA666746	plain genus name
g__Thiomonas	Thiomonas	SILVA-only	PRJNA822685	plain genus name
g__Thomasclavelia	Thomasclavelia	SILVA-only	PRJNA666746	plain genus name
g__Trichococcus	Trichococcus	Greengenes-only	PRJNA813034	plain genus name
g__Truepera	Truepera	SILVA-only	PRJNA666746	plain genus name
g__Trueperella	Trueperella	Greengenes-only	PRJNA813034	plain genus name
g__Tumebacillus	Tumebacillus	SILVA-only	PRJNA666746	plain genus name
g__Turicibacter	Turicibacter	Greengenes-only	PRJNA813034	plain genus name
g__Tyzzerella	Tyzzerella	SILVA-only	PRJNA666746	plain genus name
g__UBA12409	UBA12409	SILVA-only	PRJNA666746	plain genus name
g__UCG-003	UCG-003	SILVA-only	PRJNA666746	plain genus name
g__UCG-004	UCG-004	SILVA-only	PRJNA666746	plain genus name
g__UCG-005	UCG-005	SILVA-only	PRJNA666746	plain genus name
g__Uliginosibacterium	Uliginosibacterium	SILVA-only	PRJNA666746	plain genus name
g__Ureaplasma	Ureaplasma	SILVA-only	PRJNA666746	plain genus name
g__Vagococcus	Vagococcus	Greengenes-only	PRJNA813034	plain genus name
g__Vampirovibrio	Vampirovibrio	SILVA-only	PRJNA666746	plain genus name
g__Verruc-01	Verruc-01	SILVA-only	PRJNA666746	plain genus name
g__Verticiella	Verticiella	SILVA-only	PRJNA666746	plain genus name
g__Vibrionimonas	Vibrionimonas	SILVA-only	PRJNA822685	plain genus name
g__Virgisporangium	Virgisporangium	Greengenes-only	PRJNA813034	plain genus name
g__Vogesella	Vogesella	Greengenes-only	PRJNA813034	plain genus name
g__WAL_1855D	WAL_1855D	Greengenes-only	PRJNA813034	plain genus name
g__Weissella	Weissella	SILVA-only	PRJNA666746	plain genus name
g__Wolinella	Wolinella	SILVA-only	PRJNA822685	plain genus name
g__Xanthobacter	Xanthobacter	SILVA-only	PRJNA666746	plain genus name
g__Xanthomonas	Xanthomonas	SILVA-only	PRJNA822685	plain genus name
g__Xylanimicrobium	Xylanimicrobium	Greengenes-only	PRJNA813034	plain genus name
g__Yersinia	Yersinia	SILVA-only	PRJNA822685	plain genus name
