genus	SRR12750669	SRR12750670	SRR12750671	SRR12750672	SRR12750673	SRR12750674	SRR12750675	SRR12750676	SRR12750677	SRR12750678	SRR12750679	SRR12750680	SRR12750681	SRR12750682	SRR12750683	SRR12750684	SRR12750685	SRR12750686	SRR12750687	SRR12750688	SRR12750689	SRR12750690	SRR12750691	SRR12750692	SRR12750693	SRR12750694	SRR12750695	SRR12750696	SRR12750697	SRR12750698	SRR12750699	SRR12750700	SRR12750701	SRR12750702	SRR12750703	SRR12750704	SRR12750705	SRR12750706	SRR12750707	SRR12750708	SRR12750709	SRR12750710	SRR12750711	SRR12750712	SRR12750713	SRR12750714	SRR12750715	SRR12750716	SRR12750717	SRR12750718	SRR12750719	SRR12750720	SRR12750721	SRR12750722	SRR12750723	SRR12750724	SRR12750725	SRR12750726	SRR12750727	SRR12750728	SRR12750729	SRR12750730	SRR12750731	SRR12750732	SRR12750733	SRR12750734	SRR12750735	SRR12750736	SRR12750737	SRR12750738	SRR12750739	SRR12750740	SRR12750741	SRR12750742	SRR12750743	SRR12750744	SRR12750745	SRR12750746	SRR12750747	SRR12750748	SRR12750749	SRR12750750	SRR12750751	SRR12750752	SRR12750753	SRR12750754	SRR12750755	SRR12750756	SRR12750757	SRR12750758	SRR12750759	SRR12750760	SRR12750761	SRR12750762	SRR12750763	SRR12750764	SRR12750765	SRR12750766	SRR12750767	SRR12750768
g__Actinotalea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011218981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Aeribacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0022012171	0.0012288472
g__Aerococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00019390701	0	0	0	0	0	0	0	0	0	0.00030688967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012733226	0	0	0	0	0	0	0.00033606856	0	0	0	0	0	0	0	0	0	0	0
g__Aeromonas	0	0	0	0.0060404712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0017336173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012427677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Aestuariimicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0025277234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Afipia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016781397	0	0	0	0	0	0	0	0.00077709367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Agathobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.1265678e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.8558271e-05	0	0	0	0	0	0	0	5.8508615e-05	0	0	0	0	0	0.0013143368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Agathobaculum	0	0	0	0	0	0	0.00020712868	0	0.00021502073	0.00035795908	0	0.0025472091	0	0.0092788905	0	0	0	0	0	0	0.00033643022	0	0	0	0	0	0	0.00013708332	0.0014998771	0	0	0	0	0	0	0	0.0026005689	0	0	0.00019157088	0	0	0	0	0	0.00066198861	0	0	0	0.00055245227	0	0	0	0	0	0	0	0	0	0	0	0.00065740643	3.9342198e-05	0	0	0	0.0017814885	0	0.0054413012	0	0	0.0011778563	0	0	0.0022080858	0	0	0	0	0	0	0	0.00024667672	0.00044800506	0	4.2030935e-05	0.00025541969	0.043658843	0	0	0.0025304638	0	0	0	0	0	0	0	0	0
g__Aggregatibacter	0.024429614	0	0	0	0	0	0	0	0.085854707	0.0021752898	0	0.0079845208	0.0040280877	0	0	0	0.0034313725	0.0023682964	0.063524706	0	0.0017339096	0	0.0018291524	0.0034065463	0	0.005994096	0	0.01002993	0.010351611	0	0	0	0	0	0	0.037540127	0	0	0	0.0017241379	0	0	0	0.011882017	0	0	0.0053050398	0	0	0.00070591124	0	0.18522915	0.00053951217	0.0011575682	0	0	0.00040021011	0.0053751881	0.16506223	0.0025168341	0	0.0012511929	0.0021638209	0	0.0010729614	0.0015171178	0	0.00028969553	0.0024281075	0	0	0	0.0015772871	0	0	0	0.0059195964	0.0043933203	0.0029423252	0	0	0.0056649862	0.00090448129	0.042349655	0.00044981875	0.0021856086	0.0022349223	0	0.0019884056	0.00046399675	0	0.0011979167	0.0037721408	0.020414236	0.00065320496	0	0.0012226119	0.0022510775	0	0
g__Agrobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00017509192	0.00031056643	0	0	0	0	9.8355496e-05	0	0	0	0	0	0	0.00011050945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001596373	0	0	0	0	0.0011979167	0	0	0	0.00097847358	0	0	0	0
