genus	complete_pairs	median_tumor_relabund	median_normal_relabund	median_paired_clr_effect	wilcoxon_p	bh_fdr_q
g__Desulfovibrio	50	0	0	0.152114	0.000488595	0.00148434
g__Devosia	50	0	0	0.130499	0.00417845	0.00664124
g__Dialister	50	0.000576229	0.000813237	0.55646	0.132961	0.158365
g__Diaphorobacter	50	0	0	0.134993	0.000698391	0.00157225
g__Dietzia	50	0	0	0.171295	0.000155814	0.000566597
g__Dolosigranulum	50	0	0	0.141895	0.000671589	0.00157225
g__Dorea	50	0	0	0.141895	0.000488595	0.00148434
g__Dyadobacter	50	0	0	0.130499	0.00331482	0.00541194
g__Effusibacillus	50	0	0	0.134993	0.000815605	0.00157225
g__Eggerthella	50	0	0	0.133208	0.0212237	0.0290238
g__Eggerthia	50	0	0	0.130499	0.0133048	0.0188944
g__Eikenella	50	4.56963e-05	0.000235748	0.143427	0.954225	0.954225
g__Empedobacter	50	0	0	0.141895	0.000415324	0.00132023
g__Endomicrobium	50	0	0	0.141895	9.9154e-05	0.000403338
g__Enhydrobacter	50	0	0	0.263593	0.204476	0.233687
g__Ensifer	50	0	0	0.198341	2.19128e-05	0.000181348
g__Enterobacter	50	0	0	0.133208	0.178101	0.206494
g__Enterocloster	50	0	0.000452558	-0.242959	0.103166	0.12505
g__Enterococcus	50	0	0	0.165269	0.00279936	0.00464946
g__Ercella	50	0	0	0.152114	7.50077e-05	0.000391488
g__Erysipelothrix	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Erysipelotrichaceae_UCG-006	50	0	0	0.110749	0.0805483	0.0993913
g__Erysipelotrichaceae_UCG-008	50	0	0	0.139186	0.000987122	0.00180847
g__Erythrobacter	50	0	0	0.216347	5.36725e-06	8.87297e-05
g__Escherichia-Shigella	50	0	0	0.109022	0.211485	0.240552
g__Exiguobacterium	50	0	0	0.134993	0.0620713	0.0782
g__Extibacter	50	0	0	0.134993	0.00557949	0.00850208
g__Ezakiella	50	0	0	0.110749	0.0122133	0.0176579
g__F0058	50	0	0	0.134993	0.0419321	0.0543984
g__F0332	50	0	0	0.0910573	0.111718	0.134398
g__Faecalibacterium	50	0	0	0.110749	0.123169	0.147067
g__Faecalimonas	50	0	0	0.169977	0.0693016	0.0861782
g__Family_XIII_AD3011_group	50	0	0	0.141895	0.00219812	0.00379532
g__Family_XIII_UCG-001	50	0	0	0.185186	0.0161853	0.0225841
g__Fannyhessea	50	0	0	0.141895	0.000450602	0.00140447
g__Fastidiosipila	50	0	0	0.152114	0.000398648	0.00130171
g__Fenollaria	50	0	0	0.141895	0.000415324	0.00132023
g__Fermentibacillus	50	0	0	0.141895	0.000108676	0.000417316
g__Ferruginibacter	50	0	0	0.141895	9.04064e-05	0.00039812
g__Fibrella	50	0	0	0.134993	0.000784737	0.00157225
g__Filifactor	50	0	0	0.250486	7.15565e-05	0.000390308
g__Finegoldia	50	0	0	0.0910573	0.0390155	0.0507519
g__Flaviaestuariibacter	50	0	0	0.130499	0.0043169	0.00677161
g__Flavihumibacter	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Flavimobilis	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Flavisolibacter	50	0	0	0.134993	0.0011051	0.00201692
g__Flavobacterium	50	0	0	0.141895	0.00366325	0.00588081
g__Flavonifractor	50	0	0	0.152114	0.0593562	0.0751741
g__Flexilinea	50	0	0	0.130499	0.0320535	0.042738
g__Fluviicola	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Fretibacterium	50	0	0	0.119436	0.0506052	0.0649479
g__Fuscovulum	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Fusicatenibacter	50	0	0.000434868	-1.24727	0.178101	0.206494
g__Fusobacterium	50	0.0468905	0.018395	0.298553	0.11394	0.136387
g__Gardnerella	50	0	0	0.141895	0.000698391	0.00157225
g__Gemella	50	0.0148613	0.0142453	0.0216863	0.931384	0.935281
g__Gemmata	50	0	0	0.152114	4.42546e-05	0.00030346
g__Gemmatimonas	50	0	0	0.152114	1.97602e-05	0.000166401
g__Gemmiger	50	0	0	0.134993	0.000847571	0.00157688
g__Gemmobacter	50	0	0	0.141895	0.00261412	0.00440274
g__Geobacillus	50	0	0	0.130499	0.103166	0.12505
g__Georgenia	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Glutamicibacter	50	0	0	0.141895	0.000671589	0.00157225
g__Gordonia	50	0	0	0.141895	0.000170228	0.000609771
g__Gordonibacter	50	0	0	0.134993	0.00289631	0.00477742
g__Granulicatella	50	0.00350808	0.00746273	-0.472995	0.140684	0.165917
g__HN-HF0106	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Haemophilus	50	0.0187811	0.0214213	0.142467	0.730448	0.754011
g__Halobacillus	50	0	0	0.134993	0.000754934	0.00157225
g__Halomonas	50	0	0	0.0910573	0.0362699	0.0475671
g__Haoranjiania	50	0	0	0.152114	1.68966e-05	0.000155969
g__Hassallia	50	0	0	0.141895	0.000671589	0.00157225
g__Herbaspirillum	50	0	0	0.141895	0.000285701	0.000986592
g__Holdemanella	50	0	0	0.152114	4.42546e-05	0.00030346
g__Hornefia	50	0	0	0.216347	0.000221142	0.000774805
g__Howardella	50	0	0	0.198341	1.60312e-05	0.000150882
g__Hoylesella	50	0.00194223	0.00259967	0.069196	0.659698	0.686887
g__Hungatella	50	0	0	0.130499	0.0136869	0.0193227
g__Hydrogenophaga	50	0	0	0.171295	4.01146e-05	0.000296231
g__Hymenobacter	50	0	0	0.134993	0.000815605	0.00157225
g__Ideonella	50	0	0	0.141895	0.000551083	0.00156521
g__Incertae_Sedis	50	0.0107975	0.0168272	0.0201734	0.443267	0.473871
g__Intestinibacter	50	0	0	0.141895	0.000529488	0.00154972
g__Janibacter	50	0	0	0.141895	0.0951333	0.115898
g__Jeotgalicoccus	50	0	0	0.134993	0.000698391	0.00157225
g__Johnsonella	50	0	0	0.0823185	0.878334	0.891333
g__Jonesia	50	0	0	0.141895	0.000671589	0.00157225
g__Kineosphaera	50	0	0	0.152114	7.8612e-05	0.000391488
g__Kingella	50	0	0	0.242348	0.0634661	0.0795398
g__Kinneretia	50	0	0	0.134993	0.000815605	0.00157225
g__Klebsiella	50	0	0	0.0823185	0.367343	0.396235
g__Knoellia	50	0	0	0.141895	0.00270532	0.00452458
g__Kocuria	50	0	0	0.109022	0.253083	0.283831
g__Kytococcus	50	0	0	0.152114	0.000754934	0.00157225
g__Lachnoanaerobaculum	50	0.00163082	0.00131225	0.134329	0.388178	0.41777
g__Lachnoclostridium	50	0	0	0.275456	0.215052	0.243456
g__Lachnospira	50	0	0	0.141895	0.00270532	0.00452458
g__Lachnospiraceae_FE2018_group	50	0	0	0.141895	8.23756e-05	0.000391488
g__Lachnospiraceae_NK3A20_group	50	0	0	0.134993	0.000784737	0.00157225
g__Lachnospiraceae_NK4A136_group	50	0	0	0.152114	7.8612e-05	0.000391488
g__Lachnospiraceae_UCG-008	50	0	0	0.130499	0.00445942	0.00692726
g__Lacibacter	50	0	0	0.134993	0.000815605	0.00157225
g__Lacrimispora	50	0	0	0.141895	0.000645726	0.00157225
g__Lacticaseibacillus	50	0	0	0.134993	0.000754934	0.00157225
g__Lactobacillus	50	0	0	0.171295	0.00694138	0.0104121
g__Lancefieldella	50	0	0	0.0888846	0.559105	0.591124
g__Lautropia	50	1.72607e-05	0	0.233123	0.931384	0.935281
g__Lawsonella	50	0	0	0.110749	0.135498	0.160988
g__Legionella	50	0	0	0.152114	3.81819e-05	0.000286364
g__Leifsonia	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Lentibacillus	50	0	0	0.141895	0.000620771	0.00157225
g__Lentimicrobium	50	0	0	0.171295	0.0371666	0.0486103
g__Leptotrichia	50	0.00327826	0.00580013	0.0575467	0.81094	0.828194
g__Leucobacter	50	0	0	0.141895	0.000671589	0.00157225
g__Leuconostoc	50	0	0	0.134993	0.000815605	0.00157225
g__Leyella	50	0	0	0.233123	0.0043169	0.00677161
g__Lichenibacterium	50	0	0	0.141895	9.9154e-05	0.000403338
g__Ligilactobacillus	50	0	0	0.109022	0.160017	0.186881
g__Limibaculum	50	0	0	0.134993	0.000784737	0.00157225
g__Limnobacter	50	0	0	0.141895	0.000136287	0.000499371
g__Limosilactobacillus	50	0	0	0.134993	0.00212243	0.00367787
g__Litorilinea	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Luteimonas	50	0	0	0.171295	3.63358e-05	0.000276844
g__Luteococcus	50	0	0	0.152114	4.42546e-05	0.00030346
g__Luteolibacter	50	0	0	0.152114	1.97602e-05	0.000166401
g__Lysinibacillus	50	0	0	0.134993	0.00331482	0.00541194
g__Lysobacter	50	0	0	0.0473978	0.552667	0.585607
g__Mannheimia	50	0	0	0.141895	0.000103814	0.000411826
g__Marinobacter	50	0	0	0.110749	0.0175754	0.024242
g__Marinococcus	50	0	0	0.134993	0.000784737	0.00157225
g__Marmoricola	50	0	0	0.152114	3.2889e-05	0.000254624
g__Massilia	50	0	0	0.0473978	0.257124	0.287022
g__Mediterraneibacter	50	0	0	0.0888846	0.885886	0.897099
g__Megamonas	50	0.00200823	0.00508438	-0.814118	0.00939212	0.0137866
g__Megasphaera	50	0.000398899	0.00144115	-0.931012	0.0345308	0.0455351
g__Mesobacillus	50	0	0	0.0341317	0.313666	0.342181
g__Metabacillus	50	0	0	0.152114	0.00652521	0.00984937
g__Methylobacillus	50	0	0	0.152114	7.8612e-05	0.000391488
g__Methylobacterium	50	0	0.000148447	-0.142928	0.0607014	0.0766755
g__Methylocella	50	0	0	0.134993	0.000754934	0.00157225
g__Methylophilus	50	0	0	0.130499	0.0043169	0.00677161
g__Methylopila	50	0	0	0.134993	0.000754934	0.00157225
g__Methylorubrum	50	0	0	0.130499	0.295473	0.325291
g__Microbacterium	50	0	0	0.139186	0.019067	0.026224
g__Microcella	50	0	0	0.134993	0.000815605	0.00157225
g__Micrococcus	50	0	0	0.184146	0.893447	0.902852
g__Micropruina	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Microvirga	50	0	0	0.0888846	0.0788579	0.0975562
g__Mobiluncus	50	0	0	0.139186	0.00184253	0.00323962
g__Mogibacterium	50	0	0	0.0405512	0.431911	0.462762
g__Moraxella	50	0	0	0.0888846	0.954225	0.954225
g__Morganella	50	0	0	0.139186	0.000551083	0.00156521
g__Moryella	50	0	0	0.152114	0.00153956	0.00275741
g__Mucilaginibacter	50	0	0	0.152114	2.82831e-05	0.000222555
g__Murdochiella	50	0	0	0.134993	0.000847571	0.00157688
g__Muricoccus	50	0	0	0.141895	0.000136287	0.000499371
g__Mycobacterium	50	0	0	0.130499	0.00354364	0.0057271
g__Mycoplasma	50	0	0	0.0823185	0.347207	0.377912
g__Myxosarcina_SAG_30.84	50	0	0	0.130499	0.00632549	0.00957803
g__NK4A214_group	50	0	0	0.141895	9.9154e-05	0.000403338
g__Nafulsella	50	0	0	0.134993	0.000815605	0.00157225
g__Neisseria	50	0.0193873	0.01777	-0.210802	0.774053	0.795601
g__Neobacillus	50	0	0	0.152114	1.97602e-05	0.000166401
g__Neorhizobium	50	0	0	0.141895	0.000671589	0.00157225
g__Nevskia	50	0	0	0.134993	0.00227623	0.0039021
g__Nibribacter	50	0	0	0.141895	0.000671589	0.00157225
g__Niveispirillum	50	0	0	0.141895	9.04064e-05	0.00039812
g__Nocardioides	50	0	0	0.165269	0.00939212	0.0137866
g__Noviherbaspirillum	50	0	0	0.0687781	0.863265	0.877897
g__Novispirillum	50	0	0	0.152114	7.15565e-05	0.000390308
g__Novosphingobium	50	0	0	0.152114	0.00299625	0.00492534
g__OLB12	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Oceanobacillus	50	0	0	0.141895	0.000645726	0.00157225
g__Odoribacter	50	0	0	0.139186	0.000698391	0.00157225
g__Oleiharenicola	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Olsenella	50	0	0	0.0823185	0.611851	0.642644
g__Oribacterium	50	0.000624002	0.00128065	-0.279994	0.197635	0.226949
g__Ornithinimicrobium	50	0	0	0.152114	0.000298004	0.00101448
g__Ornithobacterium	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Oscillibacter	50	0	0	0.171295	0.000298004	0.00101448
g__Ottowia	50	0	0	0.171295	1.85997e-06	8.87297e-05
g__Paenarthrobacter	50	0	0	0.141895	0.000671589	0.00157225
g__Paenibacillus	50	0	0.000300096	-0.84251	0.000432634	0.00135728
g__Palleronia-Pseudomaribius	50	0	0	0.152114	5.63962e-05	0.000360936
g__Paludibacter	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Paludisphaera	50	0	0	0.134993	0.000847571	0.00157688
g__Pantoea	50	0	0	0.152114	5.63962e-05	0.000360936
g__Parabacteroides	50	0	0	0.0687781	0.273727	0.303439
g__Paracoccus	50	0.000691255	0.000756244	0.285758	0.181255	0.209644
g__Paradevosia	50	0	0	0.152114	2.82831e-05	0.000222555
g__Parafilimonas	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Paraprevotella	50	0	0	0.189301	0.744896	0.767275
g__Parascardovia	50	0	0	0.134993	0.000815605	0.00157225
g__Parvimonas	50	0.00109545	0.000888115	0.0827636	0.521025	0.553301
g__Paucibacter	50	0	0	0.152114	7.15565e-05	0.000390308
g__Pedobacter	50	0	0	0.110749	0.140684	0.165917
g__Pelistega	50	0	0	0.141895	0.000108676	0.000417316
g__Pelospora	50	0	0	0.134993	0.000847571	0.00157688
g__Peptoanaerobacter	50	0	0	0.185186	0.00184253	0.00323962
g__Peptococcus	50	0	0	0.0888846	0.282293	0.312213
g__Peptoniphilus	50	0	0	0.070381	0.645876	0.673958
g__Peptostreptococcus	50	0.00193862	0.00188981	0.22524	0.0723775	0.0897705
g__Peredibacter	50	0	0	0.134993	0.000185858	0.000660829
g__Peribacillus	50	0	0	0.152114	6.50899e-05	0.000385718
g__Phascolarctobacterium	50	0.000109663	0.000218616	0.253034	0.585207	0.617361
g__Phaselicystis	50	0	0	0.141895	9.9154e-05	0.000403338
g__Phenylobacterium	50	0	0	0.0587326	0.362243	0.393386
g__Phocaeicola	50	0	0	0.139186	0.0136869	0.0193227
g__Phreatobacter	50	0	0	0.152114	7.8612e-05	0.000391488
g__Planifilum	50	0	0	0.152114	6.50899e-05	0.000385718
g__Pontibacter	50	0	0	0.152114	0.00204909	0.0035766
g__Porphyromonas	50	0.00199038	0.00378319	0.14437	0.901018	0.90859
g__Prevotella	50	0.0206631	0.0097472	0.78755	0.0161853	0.0225841
g__Prevotellaceae_NK3B31_group	50	0	0	0.141895	9.9154e-05	0.000403338
g__Priestia	50	0	0	0.130499	0.0105666	0.0154164
g__Propionibacterium	50	0	0	0.134993	0.0268486	0.0360989
g__Propionicicella	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Propioniciclava	50	0	0	0.216347	1.36759e-05	0.000131288
g__Propionivibrio	50	0	0	0.141895	0.000671589	0.00157225
g__Prosthecobacter	50	0	0	0.134993	0.000726163	0.00157225
g__Proteiniclasticum	50	0	0	0.141895	0.000162874	0.000587818
g__Proteiniphilum	50	0	0	0.134993	0.000815605	0.00157225
g__Proteus	50	0	0	0.134993	0.000698391	0.00157225
g__Pseudaeromonas	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Pseudidiomarina	50	0	0	0.141895	0.0054056	0.00828974
g__Pseudochrobactrum	50	0	0	0.152114	7.8612e-05	0.000391488
g__Pseudoleptotrichia	50	0.00135156	0.00149377	0.250119	0.367343	0.396235
g__Pseudomonas	50	0.000285342	0.00155788	-1.1359	0.0175754	0.024242
g__Pseudonocardia	50	0	0	0.130499	0.00445942	0.00692726
g__Pseudoramibacter	50	0	0	0.130499	0.0122133	0.0176579
g__Pseudorhodoplanes	50	0	0	0.134993	0.000815605	0.00157225
g__Pseudoxanthomonas	50	0	0	0.0888846	0.245131	0.275557
g__Psychrobacter	50	0	0	0.134993	0.000698391	0.00157225
g__Puia	50	0	0	0.141895	0.000914937	0.00168911
g__Pyramidobacter	50	0	0	0.130499	0.0506052	0.0649479
g__Qinpengyuania	50	0	0	0.134993	0.000784737	0.00157225
g__Qipengyuania	50	0	0	0.165269	0.0046061	0.0071091
g__Ralstonia	50	0	0	0.110749	0.0125682	0.0179546
g__Ramlibacter	50	0	0	0.0888846	0.11394	0.136387
g__Reyranella	50	0	0	0.141895	0.000551083	0.00156521
g__Rheinheimera	50	0	0	0.198341	0.000726163	0.00157225
g__Rhizobacter	50	0	0	0.152114	5.9167e-05	0.000364105
g__Rhizobium	50	0	0	0.130499	0.0678037	0.0845345
g__Rhizorhabdus	50	0	0	0.130499	0.00417845	0.00664124
g__Rhodococcus	50	0	0	0.242348	2.1499e-07	5.15977e-05
g__Rhodocytophaga	50	0	0	0.152114	6.20632e-05	0.000377093
g__Rhodovarius	50	0	0	0.152114	7.51849e-06	8.87297e-05
g__Rikenellaceae_RC9_gut_group	50	0	0	0.130499	0.140684	0.165917
g__Romboutsia	50	0	0	0.134993	0.000847571	0.00157688
g__Roseateles	50	0	0	0.134993	0.0013801	0.0024998
g__Roseburia	50	0.00144402	0.00438286	-0.790372	0.0133048	0.0188944
g__Roseimarinus	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Roseomonas	50	0	0	0.152114	0.0255001	0.0345764
g__Rossellomorea	50	0	0	0.134993	0.000847571	0.00157688
g__Rothia	50	0.00141556	0.00630268	-0.411597	0.143333	0.168214
g__Rubellimicrobium	50	0	0	0.152114	0.000367117	0.00122372
g__Rubritepida	50	0	0	0.134993	0.000815605	0.00157225
g__Rubrobacter	50	0	0	0.130499	0.00784437	0.0116935
g__Rufibacter	50	0	0	0.141895	0.00235681	0.00401159
g__Ruminococcus	50	0	0	0.152114	6.82525e-05	0.000390308
g__Ruthenibacterium	50	0	0	0.152114	5.63962e-05	0.000360936
g__S5-A14a	50	0	0	0.152114	5.63962e-05	0.000360936
g__SKP-2	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__SM1A02	50	0	0	0.141895	0.000573477	0.00157225
