genus	complete_pairs	median_tumor_relabund	median_normal_relabund	median_paired_clr_effect	wilcoxon_p	bh_fdr_q
Unclassified	50	0.000325897	0.00130685	-0.458762	0.22601	0.254659
g__Abiotrophia	50	0	0	0.039133	0.409704	0.43995
g__Acholeplasma	50	0	0	0.134993	0.000754934	0.00157225
g__Achromobacter	50	0	0	0.130499	0.0390155	0.0507519
g__Acidibacter	50	0	0	0.134993	0.000784737	0.00157225
g__Acidovorax	50	0	0	0.141895	0.0248477	0.0338832
g__Acinetobacter	50	0	0.000282417	0.0338365	0.215052	0.243456
g__Actinobacillus	50	0	0	0.0587326	0.367343	0.396235
g__Actinomyces	50	0.000172632	0.00242523	-1.03647	0.00243994	0.00412384
g__Actinomycetospora	50	0	0	0.134993	0.000815605	0.00157225
g__Actinotalea	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Aeribacillus	50	0	0	0.134993	0.000698391	0.00157225
g__Aerococcus	50	0	0	0.130499	0.0166377	0.0230813
g__Aeromonas	50	0	0	0.198341	3.38235e-06	8.87297e-05
g__Aestuariimicrobium	50	0	0	0.134993	0.000784737	0.00157225
g__Afipia	50	0	0	0.134993	0.00354364	0.0057271
g__Agathobacter	50	0	0	0.198341	1.87591e-05	0.000166401
g__Agathobaculum	50	0	0	0.216347	0.028257	0.0377809
g__Aggregatibacter	50	0	0.000501754	0.0888846	0.788753	0.807252
g__Agrobacterium	50	0	0	0.130499	0.0634661	0.0795398
g__Ahniella	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Alcaligenes	50	0	0	0.152114	7.50077e-05	0.000391488
g__Algoriphagus	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Alishewanella	50	0	0	0.134993	0.00279936	0.00464946
g__Alistipes	50	0	0	0.133208	0.701837	0.727606
g__Alkanindiges	50	0	0	0.141895	8.63048e-05	0.00039812
g__Allisonella	50	0	0	0.141895	0.000136287	0.000499371
g__Alloiococcus	50	0	0	0.134993	0.000847571	0.00157688
g__Alloprevotella	50	9.62251e-05	0.000439641	0.0682552	0.484303	0.515445
g__Alloscardovia	50	0	0	0.141895	7.15565e-05	0.000390308
g__Alteraurantiacibacter	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Altererythrobacter	50	0	0	0.171295	9.97976e-07	8.87297e-05
g__Alysiella	50	0	0	0.171295	0.00184253	0.00323962
g__Aminipila	50	0	0	0.134993	0.000551083	0.00156521
g__Ammoniphilus	50	0	0.00144128	-2.84291	6.35862e-06	8.87297e-05
g__Amphiplicatus	50	0	0	0.152114	1.97602e-05	0.000166401
g__Anaerobacterium	50	0	0	0.152114	2.82831e-05	0.000222555
g__Anaerobutyricum	50	0.000216456	0.000495642	-0.302912	0.265338	0.29482
g__Anaerococcus	50	0	0	0.134993	0.0118672	0.0172614
g__Anaeroglobus	50	0	0	0.134993	0.00673046	0.0101273
g__Anaerolinea	50	0	0	0.141895	9.9154e-05	0.000403338
g__Anaerostipes	50	0.000135585	0.000694035	-0.275291	0.0857934	0.105592
g__Anaerovorax	50	0	0	0.152114	8.23756e-05	0.000391488
g__Anoxybacillus	50	0.000329471	0.00749422	-2.0972	1.74968e-06	8.87297e-05
g__Aquabacterium	50	0	0	0.141895	0.00594216	0.00902606
g__Aquimonas	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Arachnia	50	0	0	2.36903e-05	0.194277	0.224165
g__Arcobacter	50	0	0	0.141895	0.000415324	0.00132023
g__Arcticibacter	50	0	0	0.152114	0.000508667	0.00151652
g__Arenimonas	50	0	0	0.141895	9.46871e-05	0.000403338
g__Arthrobacter	50	0	0	0.152114	4.42546e-05	0.00030346
g__Asteroleplasma	50	0	0	0.141895	0.000950408	0.00174788
g__Asticcacaulis	50	0	0	0.171295	4.21376e-05	0.00030346
g__Aurantisolimonas	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Aureimonas	50	0	0	0.134993	0.000815605	0.00157225
g__Auricoccus-Abyssicoccus	50	0	0	0.134993	0.000698391	0.00157225
g__Azohydromonas	50	0	0	0.152114	0.000136287	0.000499371
g__Azospirillum	50	0	0	0.134993	0.000726163	0.00157225
g__Bacillus	50	0	0.00175653	-2.36884	3.38235e-06	8.87297e-05
g__Bacteriovorax	50	0	0	0.171295	9.97976e-07	8.87297e-05
g__Bacteroides	50	0.00366073	0.0105146	-0.479576	0.028257	0.0377809
g__Barrientosiimonas	50	0	0	0.152114	8.39809e-06	8.87297e-05
g__Bergeriella	50	0	0	0.141895	0.000645726	0.00157225
g__Bergeyella	50	0.000305176	2.47297e-05	1.53304	0.0125682	0.0179546
g__Berryella	50	0	0	0.134993	0.00177796	0.00316082
g__Bifidobacterium	50	0.0041921	0.00845155	-0.527138	0.0894381	0.109796
g__Bilophila	50	0	0	0.139186	0.000130296	0.000496365
g__Blautia	50	0.0012525	0.0043853	-0.942391	0.0054056	0.00828974
g__Blvii28_wastewater-sludge_group	50	0	0	0.152114	0.000230875	0.000803043
g__Bosea	50	0	0	0.141895	0.00243994	0.00412384
g__Brachybacterium	50	0	0	0.198341	0.0161853	0.0225841
g__Bradyrhizobium	50	0	0	0.141895	9.9154e-05	0.000403338
g__Brevibacillus	50	0	0	0.0587326	0.201035	0.230302
g__Brevibacterium	50	0	0	0.139186	0.0125682	0.0179546
g__Brevundimonas	50	0	9.45696e-05	-0.17782	0.105255	0.12694
g__Breznakibacter	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Brooklawnia	50	0	0	0.141895	0.000415324	0.00132023
g__Brucella	50	0	0	0.134993	0.000754934	0.00157225
g__Bulleidia	50	0	0	0.171295	0.00148465	0.00266903
g__Burkholderia-Caballeronia-Paraburkholderia	50	0	0.000239186	-0.485715	0.0554657	0.0706195
g__Butyribacter	50	0	0	0.134993	0.000815605	0.00157225
g__Butyricimonas	50	0	0	0.134993	0.000815605	0.00157225
g__Butyrivibrio	50	0	0	0.216347	0.000573477	0.00157225
g__Caldimonas	50	0	0	0.110749	0.0345308	0.0455351
g__Calidithermus	50	0	0	0.141895	0.000108676	0.000417316
g__Campylobacter	50	0.00640325	0.00217554	0.993259	0.0105666	0.0154164
g__Candidatus_Accumulibacter	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Candidatus_Berkiella	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Candidatus_Saccharimonas	50	0	0	0.0910573	0.171914	0.200288
g__Candidatus_Udaeobacter	50	0	0	0.141895	0.000508667	0.00151652
g__Capnocytophaga	50	0.010054	0.0080338	0.820464	0.0483095	0.0623349
g__Caproiciproducens	50	0	0	0.141895	9.04064e-05	0.00039812
g__Cardiobacterium	50	0	0	0.109022	0.618594	0.648308
g__Carnobacterium	50	0	0	0.134993	0.000698391	0.00157225
g__Castellaniella	50	0	0	0.134993	0.000698391	0.00157225
g__Catenibacillus	50	0	0	0.134993	0.00342753	0.00557699
g__Catenibacterium	50	0	0	0.198341	3.58616e-06	8.87297e-05
g__Catenisphaera	50	0	0	0.134993	0.000136287	0.000499371
g__Catonella	50	0.00107533	0.000320284	0.666111	0.00911696	0.013465
g__Caulobacter	50	0	0	0.134993	0.00366325	0.00588081
g__Cellulomonas	50	0	0	0.147921	8.23756e-05	0.000391488
g__Cellvibrio	50	0	0	0.134993	0.000596698	0.00157225
g__Cereibacter	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Christensenellaceae_R-7_group	50	0	0	0.152114	0.00212243	0.00367787
g__Chroococcidiopsis_PCC_7203	50	0	0	0.130499	0.00445942	0.00692726
g__Chroococcidiopsis_SAG_2023	50	0	0	0.152114	7.8612e-05	0.000391488
g__Chryseobacterium	50	0	0	0.171295	0.00289631	0.00477742
g__Chryseomicrobium	50	0	0	0.141895	0.0268486	0.0360989
g__Chthonobacter	50	0	0	0.152114	5.9167e-05	0.000364105
g__Cloacibacterium	50	0	0	0.152114	0.000914937	0.00168911
g__Clostridium	50	0	0	0.141895	0.000620771	0.00157225
g__Cnuella	50	0	0	0.141895	0.0046061	0.0071091
g__Cohnella	50	0	0	0.134993	0.000754934	0.00157225
g__Colidextribacter	50	0	0	0.139186	0.0328621	0.0436948
g__Collinsella	50	0.00160974	0.00535381	-0.949622	0.00143151	0.00258318
g__Comamonas	50	0	0	0.134993	0.0212237	0.0290238
g__Conexibacter	50	0	0	0.141895	9.04064e-05	0.00039812
g__Coprobacillus	50	0	0	0.152114	1.16456e-05	0.000114079
g__Coprococcus	50	0	0	0.141895	8.63048e-05	0.00039812
g__Corynebacterium	50	0.000551108	0.00215988	-0.97053	0.0166377	0.0230813
g__Croceibacterium	50	0	0	0.141895	0.000671589	0.00157225
g__Cryptobacterium	50	0	0	0.141895	0.0012357	0.00224673
g__Cupriavidus	50	0	0	0.134993	0.000815605	0.00157225
g__Curtobacterium	50	0	0	0.134993	0.000784737	0.00157225
g__Curvibacter	50	0	0	0.152114	8.23756e-05	0.000391488
g__Cutibacterium	50	0.000526656	0.00186811	-0.160529	0.0648862	0.0811078
g__DEV114	50	0	0	0.134993	0.000815605	0.00157225
g__Daejeonella	50	0	0	0.152114	8.87297e-06	8.87297e-05
g__Dechlorobacter	50	0	0	0.152114	7.15565e-05	0.000390308
g__Defluviitaleaceae_UCG-011	50	0	0	0.0910573	0.0951333	0.115898
g__Deinococcus	50	0	0	0.216347	0.00884888	0.01315
g__Delftia	50	0	0	0.141895	0.000488595	0.00148434
g__Demequina	50	0	0	0.171295	4.52151e-06	8.87297e-05
g__Dermabacter	50	0	0	0.110749	0.0140785	0.0198173
g__Dermatophilus	50	0	0	0.141895	0.000645726	0.00157225
g__Desulfobulbus	50	0	0	0.110749	0.0345308	0.0455351
g__Desulfomicrobium	50	0	0	0.134993	0.000815605	0.00157225
