sample	non_chimeric_reads	status	reason
SRR18595688	8716	excluded	pair_member_excluded
SRR18595689	7977	included	
SRR18595690	9734	included	
SRR18595691	2478	excluded	pair_member_excluded
SRR18595692	4617	included	
SRR18595693	4688	included	
SRR18595694	793	excluded	LOW_DEPTH (793 < 2000)
SRR18595695	7207	included	
SRR18595696	1850	excluded	LOW_DEPTH (1850 < 2000)
SRR18595697	13882	included	
SRR18595698	11571	included	
SRR18595699	1385	excluded	LOW_DEPTH (1385 < 2000)
SRR18595700	948	excluded	LOW_DEPTH (948 < 2000)
SRR18595701	2481	included	
SRR18595702	1685	excluded	LOW_DEPTH (1685 < 2000)
SRR18595703	4747	included	
SRR18595704	6187	included	
SRR18595705	3187	included	
SRR18595706	2318	excluded	pair_member_excluded
SRR18595707	15741	included	
SRR18595708	9597	included	
SRR18595709	3947	excluded	pair_member_excluded
SRR18595710	7519	included	
SRR18595711	9535	excluded	pair_member_excluded
SRR18595712	6060	included	
SRR18595713	10300	included	
SRR18595714	651	excluded	LOW_DEPTH (651 < 2000)
SRR18595715	822	excluded	LOW_DEPTH (822 < 2000)
SRR18595716	7383	included	
SRR18595717	19641	included	
SRR18595718	6961	excluded	pair_member_excluded
SRR18595719	200	excluded	LOW_DEPTH (200 < 2000)
SRR18595720	5371	included	
SRR18595721	7897	included	
SRR18595722	4460	included	
SRR18595723	796	excluded	LOW_DEPTH (796 < 2000)
SRR18595724	4522	included	
SRR18595725	9984	included	
SRR18595726	1994	excluded	LOW_DEPTH (1994 < 2000)
SRR18595727	5516	included	
SRR18595728	8161	excluded	pair_member_excluded
SRR18595729	6640	included	
SRR18595730	8446	included	
SRR18595731	7205	included	
SRR18595732	7369	included	
SRR18595733	4923	included	
SRR18595734	2149	included	
SRR18595735	9384	included	
SRR18595736	7872	included	
SRR18595737	7746	included	
SRR18595738	7966	included	
SRR18595739	9742	included	
SRR18595740	9199	included	
SRR18595741	7847	excluded	pair_member_excluded
SRR18595742	2178	included	
SRR18595743	3602	included	
SRR18595744	9470	included	
SRR18595745	211	excluded	LOW_DEPTH (211 < 2000)
SRR18595746	7843	included	
SRR18595747	13786	included	
SRR18595748	10863	included	
SRR18595749	22987	included	
SRR18595750	5241	included	
SRR18595751	7792	included	
SRR18595752	5528	included	
SRR18595753	496	excluded	LOW_DEPTH (496 < 2000)
SRR18595754	5317	included	
SRR18595755	1895	excluded	LOW_DEPTH (1895 < 2000)
SRR18595756	596	excluded	LOW_DEPTH (596 < 2000)
SRR18595757	1124	excluded	LOW_DEPTH (1124 < 2000)
SRR18595758	1824	excluded	LOW_DEPTH (1824 < 2000)
SRR18595759	6061	included	
SRR18595760	4491	included	
SRR18595761	6886	excluded	pair_member_excluded
SRR18595762	7878	excluded	pair_member_excluded
SRR18595763	6218	included	
SRR18595764	9785	included	
SRR18595765	2613	excluded	pair_member_excluded
SRR18595766	3218	included	
SRR18595767	1670	excluded	LOW_DEPTH (1670 < 2000)
SRR18595768	3030	included	
SRR18595769	3088	included	
SRR18595770	7278	included	
SRR18595771	2981	included	
SRR18595772	7641	included	
SRR18595773	8215	included	
SRR18595774	3847	included	
SRR18595775	4041	included	
SRR18595776	3453	included	
SRR18595777	2586	included	
SRR18595778	10808	included	
SRR18595779	7768	included	
SRR18595780	1339	excluded	LOW_DEPTH (1339 < 2000)
SRR18595781	5773	included	
SRR18595782	1476	excluded	LOW_DEPTH (1476 < 2000)
SRR18595783	2749	included	
SRR18595784	2964	included	
SRR18595785	21810	excluded	pair_member_excluded
SRR18595786	15544	excluded	pair_member_excluded
SRR18595787	16140	included	
SRR18595788	26324	included	
SRR18595789	7684	included	
SRR18595790	1269	excluded	LOW_DEPTH (1269 < 2000)
SRR18595791	16314	included	
SRR18595792	967	excluded	LOW_DEPTH (967 < 2000)
SRR18595793	1908	excluded	LOW_DEPTH (1908 < 2000)
SRR18595794	14077	included	
SRR18595795	14546	included	
SRR18595796	24049	included	
SRR18595797	4532	included	
SRR18595798	20628	included	
SRR18595799	17128	included	
SRR18595800	2209	included	
SRR18595801	15395	included	
SRR18595802	26173	included	
SRR18595803	8097	included	
SRR18595804	3290	included	
SRR18595805	12491	included	
SRR18595806	13122	included	
SRR18595807	2271	included	
SRR18595808	7348	included	
SRR18595809	5943	included	
SRR18595810	5881	included	
SRR18595811	1148	excluded	LOW_DEPTH (1148 < 2000)
SRR18595812	5820	excluded	pair_member_excluded
SRR18595813	1239	excluded	LOW_DEPTH (1239 < 2000)
SRR18595814	9690	included	
SRR18595815	8845	excluded	pair_member_excluded
SRR18595816	823	excluded	LOW_DEPTH (823 < 2000)
SRR18595817	6731	included	
SRR18595818	7426	included	
SRR18595819	8625	excluded	pair_member_excluded
SRR18595820	6215	excluded	pair_member_excluded
SRR18595821	11210	included	
SRR18595822	15653	excluded	pair_member_excluded
SRR18595823	8217	included	
SRR18595824	6805	included	
SRR18595825	8890	included	
SRR18595826	13515	included	
SRR18595827	16150	included	
SRR18595828	12524	included	
SRR18595829	12847	included	
SRR18595830	14353	included	
SRR18595831	5917	included	
SRR18595832	12120	included	
SRR18595833	8223	included	
SRR18595834	23398	included	
SRR18595835	10958	included	
SRR18595836	3485	included	
SRR18595837	4721	included	
SRR18595838	2132	included	
SRR18595839	5553	included	
SRR18595840	3709	excluded	pair_member_excluded
SRR18595841	223	excluded	LOW_DEPTH (223 < 2000)
SRR18595842	6450	excluded	pair_member_excluded
SRR18595843	880	excluded	LOW_DEPTH (880 < 2000)
SRR18595844	7832	included	
SRR18595845	5538	included	
SRR18595846	5380	excluded	pair_member_excluded
SRR18595847	6266	included	
SRR18595848	6199	excluded	pair_member_excluded
SRR18595849	7879	excluded	pair_member_excluded
