sample-id	input_reads	filtered_reads	denoised_reads	merged_reads	non_chimeric_reads	depth_status
SRR18595688	31707	10344	10178	8742	8716	OK
SRR18595689	27720	9093	8855	7978	7977	OK
SRR18595690	21734	10968	10921	9734	9734	OK
SRR18595691	12788	3412	3324	2478	2478	OK
SRR18595692	14943	5369	5255	5005	4617	OK
SRR18595693	16810	5622	5438	4689	4688	OK
SRR18595694	3790	1146	1112	793	793	LOW_DEPTH
SRR18595695	26046	8339	8224	7207	7207	OK
SRR18595696	8061	2341	2268	1850	1850	LOW_DEPTH
SRR18595697	40392	21651	21442	13899	13882	OK
SRR18595698	29892	15653	15421	11628	11571	OK
SRR18595699	6213	2019	1945	1385	1385	LOW_DEPTH
SRR18595700	5728	1322	1249	948	948	LOW_DEPTH
SRR18595701	8314	2796	2710	2481	2481	OK
SRR18595702	8452	2648	2574	1685	1685	LOW_DEPTH
SRR18595703	18756	5816	5676	4747	4747	OK
SRR18595704	28988	9017	8658	6311	6187	OK
SRR18595705	10989	3709	3625	3187	3187	OK
SRR18595706	9636	3127	2991	2318	2318	OK
SRR18595707	38299	19092	18537	16139	15741	OK
SRR18595708	41369	13382	12897	10783	9597	OK
SRR18595709	16123	5067	4953	3947	3947	OK
SRR18595710	46492	16537	15557	8264	7519	OK
SRR18595711	48009	17291	16770	10261	9535	OK
SRR18595712	32212	10582	10143	7767	6060	OK
SRR18595713	48315	15523	15041	10952	10300	OK
SRR18595714	30209	1542	1233	651	651	LOW_DEPTH
SRR18595715	81028	2151	2102	822	822	LOW_DEPTH
SRR18595716	79876	30113	29622	10661	7383	OK
SRR18595717	77117	21937	21708	19771	19641	OK
SRR18595718	34491	9770	9472	7064	6961	OK
SRR18595719	2577	274	228	200	200	LOW_DEPTH
SRR18595720	21556	6182	6101	5373	5371	OK
SRR18595721	28711	9957	9592	7955	7897	OK
SRR18595722	20226	6104	6029	4462	4460	OK
SRR18595723	22237	2538	2428	796	796	LOW_DEPTH
SRR18595724	23911	6518	6474	4522	4522	OK
SRR18595725	45478	14453	14002	10109	9984	OK
SRR18595726	40638	3809	3717	2005	1994	LOW_DEPTH
SRR18595727	31907	9032	8936	5518	5516	OK
SRR18595728	38033	9075	8883	8221	8161	OK
SRR18595729	26483	7279	7158	6657	6640	OK
SRR18595730	40790	11638	11323	8493	8446	OK
SRR18595731	31638	8690	8518	7217	7205	OK
SRR18595732	30977	9507	9279	7369	7369	OK
SRR18595733	27108	8052	7206	4960	4923	OK
SRR18595734	9212	2952	2894	2149	2149	OK
SRR18595735	43364	13604	13121	9650	9384	OK
SRR18595736	38969	13548	12939	8238	7872	OK
SRR18595737	38786	13034	12598	8083	7746	OK
SRR18595738	32036	10542	10228	8137	7966	OK
SRR18595739	28825	10232	10130	9754	9742	OK
SRR18595740	34111	11481	11236	9329	9199	OK
SRR18595741	34191	10804	10435	7889	7847	OK
SRR18595742	10001	3195	3116	2178	2178	OK
SRR18595743	17988	6164	5814	3635	3602	OK
SRR18595744	50624	14288	14039	9478	9470	OK
SRR18595745	3993	366	319	211	211	LOW_DEPTH
SRR18595746	35053	11762	11507	7847	7843	OK
SRR18595747	57289	18143	17670	13864	13786	OK
SRR18595748	42945	13879	13496	10945	10863	OK
SRR18595749	47562	26019	25885	23323	22987	OK
SRR18595750	20073	6235	6140	5241	5241	OK
SRR18595751	27404	8465	8362	7825	7792	OK
SRR18595752	25102	7318	7022	5548	5528	OK
SRR18595753	2624	723	689	496	496	LOW_DEPTH
SRR18595754	28611	6616	6476	5686	5317	OK
SRR18595755	10111	2492	2394	1895	1895	LOW_DEPTH
SRR18595756	3178	708	647	596	596	LOW_DEPTH
SRR18595757	7172	1904	1835	1124	1124	LOW_DEPTH
SRR18595758	9116	2364	2277	1884	1824	LOW_DEPTH
SRR18595759	20511	7008	6966	6061	6061	OK
SRR18595760	18419	4850	4776	4493	4491	OK
SRR18595761	30869	9504	9182	6945	6886	OK
SRR18595762	41286	10246	10032	7911	7878	OK
SRR18595763	26294	6922	6844	6218	6218	OK
SRR18595764	41930	11866	11529	9962	9785	OK
SRR18595765	10165	2949	2897	2613	2613	OK
SRR18595766	14391	4126	4051	3222	3218	OK
SRR18595767	7735	1878	1848	1670	1670	LOW_DEPTH
SRR18595768	11879	3356	3308	3030	3030	OK
SRR18595769	24249	6453	6420	3088	3088	OK
SRR18595770	37810	9628	9429	7286	7278	OK
SRR18595771	12801	3630	3565	2981	2981	OK
SRR18595772	25645	8720	8617	7642	7641	OK
SRR18595773	40437	11273	10762	8275	8215	OK
SRR18595774	20656	6679	6511	3847	3847	OK
SRR18595775	22327	5262	5055	4066	4041	OK
SRR18595776	12748	3890	3829	3510	3453	OK
SRR18595777	11867	3402	3247	2586	2586	OK
SRR18595778	33983	11659	11472	10852	10808	OK
SRR18595779	29538	9624	9204	8182	7768	OK
SRR18595780	4789	1576	1492	1339	1339	LOW_DEPTH
SRR18595781	23833	8595	8213	5805	5773	OK
SRR18595782	7448	2299	2244	1476	1476	LOW_DEPTH
SRR18595783	17937	2973	2912	2749	2749	OK
SRR18595784	11837	3733	3650	2964	2964	OK
SRR18595785	100000	37200	36311	25138	21810	OK
SRR18595786	61586	20565	19953	16173	15544	OK
SRR18595787	100000	31250	30101	16450	16140	OK
SRR18595788	84939	29195	29030	26543	26324	OK
SRR18595789	24910	8728	8572	7684	7684	OK
SRR18595790	13137	1940	1861	1269	1269	LOW_DEPTH
SRR18595791	76703	30255	30078	16428	16314	OK
SRR18595792	5196	1409	1348	967	967	LOW_DEPTH
SRR18595793	7897	2427	2345	1908	1908	LOW_DEPTH
SRR18595794	43093	15805	15668	14139	14077	OK
SRR18595795	83368	20257	19965	14647	14546	OK
SRR18595796	69112	24586	24489	24171	24049	OK
SRR18595797	19241	5679	5499	4532	4532	OK
SRR18595798	77871	27120	26780	20887	20628	OK
SRR18595799	54386	18214	18062	17130	17128	OK
SRR18595800	9508	2998	2873	2209	2209	OK
SRR18595801	65328	24046	22922	15773	15395	OK
SRR18595802	100000	30828	30595	26229	26173	OK
SRR18595803	27646	9162	9002	8486	8097	OK
SRR18595804	15436	4164	4090	3293	3290	OK
SRR18595805	67613	17745	17527	12530	12491	OK
SRR18595806	46138	14712	14606	13304	13122	OK
SRR18595807	9673	2486	2438	2271	2271	OK
SRR18595808	34827	9898	9651	7394	7348	OK
SRR18595809	29409	7622	7339	5945	5943	OK
SRR18595810	28824	7302	7178	5909	5881	OK
SRR18595811	6425	1609	1542	1148	1148	LOW_DEPTH
SRR18595812	33100	8356	7630	6077	5820	OK
SRR18595813	6432	1549	1504	1239	1239	LOW_DEPTH
SRR18595814	37263	12137	11717	9757	9690	OK
SRR18595815	26219	9152	9090	8932	8845	OK
SRR18595816	3952	1094	1017	823	823	LOW_DEPTH
SRR18595817	13822	7301	7220	6731	6731	OK
SRR18595818	68325	21502	20737	11294	7426	OK
SRR18595819	56034	20390	20157	8655	8625	OK
SRR18595820	27846	9523	9016	6793	6215	OK
SRR18595821	59727	20274	19443	11537	11210	OK
SRR18595822	60744	22225	21667	16119	15653	OK
SRR18595823	100000	29293	27935	11767	8217	OK
SRR18595824	71309	23979	23512	11547	6805	OK
SRR18595825	34378	11390	11250	8893	8890	OK
SRR18595826	72832	24358	22834	13935	13515	OK
SRR18595827	61413	21956	21772	16504	16150	OK
SRR18595828	60179	22661	21929	15135	12524	OK
SRR18595829	100000	30933	29805	16276	12847	OK
SRR18595830	82649	33809	33237	14403	14353	OK
SRR18595831	33339	11307	11115	6179	5917	OK
SRR18595832	75229	28886	27500	14337	12120	OK
SRR18595833	76272	27810	26867	11739	8223	OK
SRR18595834	100000	35200	34807	23453	23398	OK
SRR18595835	60531	11667	11534	11013	10958	OK
SRR18595836	12587	4171	4096	3485	3485	OK
SRR18595837	24885	7333	6499	4811	4721	OK
SRR18595838	11681	3276	3192	2132	2132	OK
SRR18595839	29063	7489	7119	6153	5553	OK
SRR18595840	18722	4288	4236	3709	3709	OK
SRR18595841	5147	701	600	223	223	LOW_DEPTH
SRR18595842	26493	8471	8299	6450	6450	OK
SRR18595843	32852	1398	1236	880	880	LOW_DEPTH
SRR18595844	29421	8118	7967	7839	7832	OK
SRR18595845	27908	6473	6262	5561	5538	OK
SRR18595846	25494	6666	6256	5576	5380	OK
SRR18595847	30403	8382	8133	6406	6266	OK
SRR18595848	32107	9356	8818	6488	6199	OK
SRR18595849	32554	9010	8775	8157	7879	OK
