	Taxon	genus
3b32ed0e7eeb5c90fe7673da1480c197	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	g__Streptococcus
599a73cad76351bcc6176f64e183b643	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus;s__	g__Haemophilus
1542e91c99d9766e4afa866f20f227e2	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__	g__Staphylococcus
dcbdf5fb83cba103562e6c0a0b5c8c31	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__	g__Prevotella
2f4a2b08eec8d8d5f66dc0d20552881f	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella;s__	g__Escherichia-Shigella
1a03eab87b42c9ce0c5101b738299f36	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Peptostreptococcus;s__	g__Peptostreptococcus
bba7962c72382d5f803e5df5497f9d83	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__	g__Neisseria
f662f77840121b3d51dc129643a2ba23	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__	g__Neisseria
efeea2f82257ac6f2f62fb04fcab5a48	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Kingella;s__	g__Kingella
f5c19a1ea2a3105e7d092a925264deb9	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Family_XI;g__Parvimonas;s__	g__Parvimonas
2db83dec883691136b5d9666fc0adb54	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Aggregatibacter;s__	g__Aggregatibacter
94ea0cf0f0fc7c8f21b14c876a6531e5	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__	g__Neisseria
b5d49db9d9ccb60a34050267bfcc36fe	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella;s__	g__Granulicatella
