genus	complete_pairs	median_tumor_relabund	median_normal_relabund	median_paired_clr_effect	wilcoxon_p	bh_fdr_q
Unclassified	56	0	0	0.101236	0.00408795	0.0388238
g__Abiotrophia	56	0	0	0.0649226	0.183649	0.223939
g__Acholeplasma	56	0	0	0.0745992	0.0689069	0.0986152
g__Achromobacter	56	0	0	0.0552958	0.263772	0.306027
g__Acidiferrimicrobium	56	0	0	0.0836352	0.0154076	0.0388238
g__Acidocella	56	0	0	0.0836352	0.0192279	0.0425506
g__Acidovorax	56	0	0	0.0836352	0.0228564	0.0462939
g__Acinetobacter	56	0	0	0.0912239	0.178329	0.218567
g__Actinobacillus	56	0	0	0.0580825	0.787788	0.811558
g__Actinomyces	56	0	0	-0.110756	0.0104274	0.0388238
g__Aeriscardovia	56	0	0	0.0836352	0.0339351	0.0623884
g__Aerococcus	56	0	0	0.0836352	0.012272	0.0388238
g__Aeromonas	56	0	0	0.0912239	0.00842022	0.0388238
g__Aggregatibacter	56	0	0	0.0062087	0.472866	0.523218
g__Akkermansia	56	0	0	0.0836352	0.015757	0.0388238
g__Alistipes	56	0	0	0.0836352	0.015757	0.0388238
g__Alloprevotella	56	0	0.00213146	-0.150058	0.00453026	0.0388238
g__Alloscardovia	56	0	0	0.0836352	0.015757	0.0388238
g__Alysiella	56	0	0	0.111517	0.00275662	0.0388238
g__Aminipila	56	0	0	0.0718125	0.189085	0.228239
g__Anaerobutyricum	56	0	0	0.0836352	0.015757	0.0388238
g__Anaerococcus	56	0	0	0.0745992	0.0552488	0.0810089
g__Anaeroglobus	56	0	0	0.0552958	0.601633	0.653592
g__Anaerostipes	56	0	0	0.0836352	0.015757	0.0388238
g__Anaerovorax	56	0	0	0.0745992	0.0439256	0.0724015
g__Atopobium	56	0	0	0.0912239	0.00612935	0.0388238
g__Azospirillum	56	0	0	0.0745992	0.053208	0.0784982
g__Bacillus	56	0	0	0.0836352	0.0147293	0.0388238
g__Bacteroides	56	0	0	0.0535189	0.781518	0.808584
g__Bergeyella	56	0.00015024	0	0.0062087	0.993492	0.993492
g__Bifidobacterium	56	0	0	0.0836352	0.0238515	0.0479035
