genus	complete_pairs	median_tumor_relabund	median_normal_relabund	median_paired_clr_effect	wilcoxon_p	bh_fdr_q
g__Bilophila	56	0	0	0.0836352	0.015757	0.0388238
g__Blautia	56	0	0	0.0836352	0.015757	0.0388238
g__Blvii28_wastewater-sludge_group	56	0	0	0.111517	0.00822004	0.0388238
g__Brachymonas	56	0	0	0.0745992	0.0502652	0.0755559
g__Bradyrhizobium	56	0	0	0.0745992	0.0398225	0.068968
g__Brevibacterium	56	0	0	0.0836352	0.015757	0.0388238
g__Brevundimonas	56	0	0	0.0836352	0.0223725	0.0457011
g__Brucella	56	0	0	0.0745992	0.0502652	0.0755559
g__Bryobacter	56	0	0	0.0836352	0.0154076	0.0388238
g__Bulleidia	56	0	0	0.0552958	0.133381	0.17047
g__Burkholderia-Caballeronia-Paraburkholderia	56	0	0	0.0836352	0.015757	0.0388238
g__Butyrivibrio	56	0	0	0.0836352	0.0332543	0.0623884
g__Campylobacter	56	0.0104748	0.00779967	0.342204	0.00883369	0.0388238
g__Candidatus_Cardinium	56	0	0	0.0745992	0.0406161	0.0693374
g__Candidatus_Saccharimonas	56	0	0	0.0319663	0.695398	0.728948
g__Capnocytophaga	56	0.018718	0.0155398	-0.0185043	0.641965	0.681909
g__Cardiobacterium	56	0	0	0.0062087	0.203194	0.240412
g__Catonella	56	0.00423803	0.00161017	0.579665	0.00107171	0.0182957
g__Caulobacter	56	0	0	0.0836352	0.015757	0.0388238
g__Christensenellaceae_R-7_group	56	0	0	0.0836352	0.0306469	0.0585969
g__Chryseobacterium	56	0	0	0.0912239	0.00453026	0.0388238
g__Cloacibacterium	56	0	0	0.0836352	0.0382748	0.0677606
g__Comamonas	56	0	0	-0.0380944	0.053208	0.0784982
g__Coprococcus	56	0	0	0.0836352	0.015757	0.0388238
g__Corynebacterium	56	0	0	-0.0319494	0.123149	0.159095
g__Coxiella	56	0	0	0.0912239	0.0099478	0.0388238
g__Cryptobacterium	56	0	0	0.0836352	0.0184035	0.0420188
g__Cupriavidus	56	0	0	0.0552958	0.365234	0.413701
g__Defluviitaleaceae_UCG-011	56	0	0	-0.062391	0.750389	0.779752
g__Deinococcus	56	0	0	0.0836352	0.015757	0.0388238
g__Desulfobulbus	56	0	0	0.0745992	0.0740343	0.104699
g__Desulfomicrobium	56	0	0	0.0552958	0.246739	0.287662
g__Desulfovibrio	56	0	0	0.0745992	0.0652559	0.0939527
g__Dialister	56	0.00141439	0	0.0893742	0.121178	0.15826
g__Dietzia	56	0	0	0.0745992	0.0375203	0.0669206
g__Dolosigranulum	56	0	0	0.0836352	0.015757	0.0388238
g__Dubosiella	56	0	0	0.0836352	0.0223725	0.0457011
g__Dyella	56	0	0	0.0767453	0.0439256	0.0724015
g__Eggerthia	56	0	0	0.0912239	0.00904716	0.0388238
g__Eikenella	56	0	0	0.0890778	0.108066	0.143488
g__Elizabethkingia	56	0	0	0.0649226	0.111693	0.147484
g__Enhydrobacter	56	0	0	0.0912239	0.0101851	0.0388238
g__Enterobacter	56	0	0	0.0890778	0.0319278	0.0605615
g__Enterocloster	56	0	0	0.0836352	0.015757	0.0388238
g__Enterococcus	56	0	0	0.0836352	0.015757	0.0388238
g__Erysipelotrichaceae_UCG-006	56	0	0	0.0649226	0.170565	0.210129
g__Erythrobacter	56	0	0	0.0912239	0.00783242	0.0388238
g__Escherichia-Shigella	56	0	0	0.0319663	0.630326	0.672535
g__F0058	56	0	0	-0.264529	0.000206056	0.0077474
g__F0332	56	0	0	0.0649226	0.115414	0.15156
g__Faecalibacterium	56	0	0	0.0836352	0.015757	0.0388238
g__Family_XIII_AD3011_group	56	0	0	0.0836352	0.0223725	0.0457011
g__Family_XIII_UCG-001	56	0	0	0.131243	0.00693405	0.0388238
g__Fannyhessea	56	0	0	0.0836352	0.0125579	0.0388238
g__Filifactor	56	0.00102749	0	0.196616	0.00926521	0.0388238
g__Finegoldia	56	0	0	0.0912239	0.0131473	0.0388238
g__Flavobacterium	56	0	0	0.0745992	0.344035	0.391545
g__Flexilinea	56	0	0	0.0836352	0.012272	0.0388238
g__Fluviicola	56	0	0	0.0745992	0.041423	0.069719
g__Fretibacterium	56	0	0	0.0257107	0.618779	0.666163
g__Fuscovulum	56	0	0	0.0745992	0.0390422	0.0686108
g__Fusobacterium	56	0.0594198	0.0245553	1.09545	0.00035318	0.0093789
g__GOUTA6	56	0	0	0.0836352	0.0188118	0.0420188
g__Gardnerella	56	0	0	0.0745992	0.0502652	0.0755559
g__Gemella	56	0.0122015	0.00924904	0.27223	0.148794	0.187167
g__Gemmiger	56	0	0	0.0836352	0.015757	0.0388238
g__Gordonia	56	0	0	0.0836352	0.0188118	0.0420188
g__Granulicatella	56	0.00178738	0.0127049	-1.44941	3.84395e-08	9.18705e-06
g__Haemophilus	56	0.00881734	0.0316438	-0.195998	0.123149	0.159095
g__Halomonas	56	0	0	0.0411789	0.624541	0.669351
g__Hornefia	56	0	0	0.0257107	0.83841	0.86
g__Howardella	56	0	0	0.0767453	0.0867148	0.119797
g__Hoylesella	56	0.00279728	0.00796697	-0.545541	0.00926521	0.0388238
g__Hyphomicrobium	56	0	0	0.0836352	0.015757	0.0388238
g__Incertae_Sedis	56	0.018484	0.0231885	0.171714	0.137653	0.174069
g__Insolitispirillum	56	0	0	0.0745992	0.04746	0.0755559
g__Intestinibacter	56	0	0	0.0836352	0.015757	0.0388238
g__Janibacter	56	0	0	0.0836352	0.0188118	0.0420188
g__Johnsonella	56	0.000594014	0	0.168711	0.028217	0.0552776
g__Kingella	56	0	0	0.0552958	0.84479	0.862841
g__Klebsiella	56	0	0	0.0745992	0.200312	0.239373
g__Lachnoanaerobaculum	56	0.0032659	0.00418376	0.104045	0.677402	0.713212
g__Lachnospira	56	0	0	0.0836352	0.015757	0.0388238
g__Lachnospiraceae_NK3A20_group	56	0	0	0.0745992	0.0439256	0.0724015
g__Lachnospiraceae_UCG-004	56	0	0	0.0836352	0.015757	0.0388238
g__Lacticaseibacillus	56	0	0	0.0580825	0.203194	0.240412
g__Lactobacillus	56	0	0	0.0912239	0.227336	0.26634
g__Lancefieldella	56	0	0	0.0180071	0.488089	0.537572
g__Lautropia	56	0	0	-0.110711	0.00904716	0.0388238
g__Lawsonella	56	0	0	0.0649226	0.168034	0.208084
g__Legionella	56	0	0	0.0912239	0.0406161	0.0693374
g__Leifsonia	56	0	0	0.0745992	0.04746	0.0755559
g__Lentimicrobium	56	0	0	0.228575	0.00568789	0.0388238
g__Leptotrichia	56	0	0	0.0773878	0.224211	0.263973
g__Leucobacter	56	0	0	0.0745992	0.0913121	0.124706
g__Ligilactobacillus	56	0	0	0.0319663	0.665505	0.703786
g__Limnohabitans	56	0	0	0.0745992	0.041423	0.069719
g__Limosilactobacillus	56	0	0	0.0745992	0.391725	0.435452
g__Listeria	56	0	0	0.0836352	0.015757	0.0388238
g__Luteimonas	56	0	0	0.0836352	0.015757	0.0388238
g__Lysinibacillus	56	0	0	0.0836352	0.0188118	0.0420188
g__Mediterraneibacter	56	0	0	0.0836352	0.015757	0.0388238
g__Megamonas	56	0	0	0.0912239	0.00612935	0.0388238
g__Megasphaera	56	0	0	-0.0879962	0.0502652	0.0755559
g__Mesomycoplasma	56	0	0	0.0912239	0.00842022	0.0388238
g__Methylophilus	56	0	0	0.0649226	0.129212	0.16603
g__Methylorubrum	56	0	0	0.0912239	0.00862474	0.0388238
g__Methyloversatilis	56	0	0	0.0836352	0.015757	0.0388238
g__Mobiluncus	56	0	0	0.0649226	0.0823062	0.114367
g__Mogibacterium	56	0	0	-0.114186	0.498382	0.546391
g__Moraxella	56	0	0	0.0745992	0.0502652	0.0755559
g__Morganella	56	0	0	0.0836352	0.0223725	0.0457011
g__Mycobacterium	56	0	0	0.0836352	0.0300232	0.0578673
g__Mycoplasma	56	0	0	0.116315	0.0977445	0.131983
g__Mycoplasmopsis	56	0	0	0.0912239	0.0101851	0.0388238
g__Neisseria	56	0.0115366	0.0607508	-1.54903	0.000480798	0.0114911
g__Neobacillus	56	0	0	0.0912239	0.00842022	0.0388238
g__Niabella	56	0	0	0.0836352	0.0188118	0.0420188
g__Nitrosomonas	56	0	0	0.0836352	0.0300232	0.0578673
g__Novosphingobium	56	0	0	0.0745992	0.0701606	0.0998117
g__Nubsella	56	0	0	0.0836352	0.0360493	0.0647804
g__Odoribacter	56	0	0	0.0257107	0.915549	0.923275
g__Olsenella	56	0	0	0.0649226	0.151103	0.189076
g__Opitutus	56	0	0	0.0836352	0.015757	0.0388238
g__Oribacterium	56	0.000378425	0.00287601	-0.427163	0.00822004	0.0388238
g__Ottowia	56	0	0	0.0745992	0.0502652	0.0755559
g__Parabacteroides	56	0	0	0.0836352	0.0223725	0.0457011
g__Paracoccus	56	0	0	0.0912239	0.012272	0.0388238
g__Parascardovia	56	0	0	0.0745992	0.0502652	0.0755559
g__Parasutterella	56	0	0	0.0836352	0.0223725	0.0457011
g__Parvimonas	56	0.0135305	0.00600052	0.574548	0.00464741	0.0388238
g__Paucibacter	56	0	0	0.0912239	0.00783242	0.0388238
g__Pelosinus	56	0	0	0.0745992	0.04746	0.0755559
g__Pelospora	56	0	0	0.0767453	0.0753637	0.105953
g__Peptoanaerobacter	56	0	0	0.174238	0.000139328	0.00665987
g__Peptococcus	56	0.00193724	0	0.309857	0.000954454	0.0180647
g__Peptoniphilus	56	0	0	0.101236	0.0200843	0.0440381
g__Peptostreptococcus	56	0.00861532	0.00576398	0.815421	0.0009826	0.0180647
g__Phaselicystis	56	0	0	0.0836352	0.015757	0.0388238
g__Phocaeicola	56	0	0	-0.0242329	0.200312	0.239373
g__Plesiomonas	56	0	0	0.0836352	0.0223725	0.0457011
g__Polynucleobacter	56	0	0	0.0912239	0.00842022	0.0388238
g__Porphyromonas	56	0.0230838	0.0393807	-0.139703	0.288953	0.333622
g__Prevotella	56	0.0232619	0.0425525	-0.325146	0.168034	0.208084
g__Prosthecobacter	56	0	0	0.0836352	0.015757	0.0388238
g__Proteiniphilum	56	0	0	0.0836352	0.0346277	0.0631758
g__Pseudaeromonas	56	0	0	0.0836352	0.0360493	0.0647804
g__Pseudoleptotrichia	56	0	0	0.0649226	0.378337	0.424519
g__Pseudolysobacter	56	0	0	0.0836352	0.0188118	0.0420188
g__Pseudomonas	56	0	0	0.131174	0.000612596	0.01331
g__Pseudoprevotella	56	0	0	0.0836352	0.015757	0.0388238
g__Pseudoramibacter	56	0	0	0.0912239	0.025955	0.0516938
g__Pseudoxanthomonas	56	0	0	0.0912239	0.0117175	0.0388238
g__Pyramidobacter	56	0	0	0.0745992	0.137653	0.174069
g__Ralstonia	56	0	0	0.0912239	0.0493151	0.0755559
g__Rhizorhabdus	56	0	0	0.0836352	0.0339351	0.0623884
g__Rhodanobacter	56	0	0	0.0745992	0.04746	0.0755559
g__Rhodoluna	56	0	0	0.0836352	0.015757	0.0388238
g__Rikenellaceae_RC9_gut_group	56	0	0	0.0649226	0.327654	0.374686
g__Romboutsia	56	0	0	0.0745992	0.0562933	0.0820373
g__Roseburia	56	0	0	0.101236	0.0067659	0.0388238
g__Roseimarinus	56	0	0	0.0836352	0.015757	0.0388238
g__Roseomonas	56	0	0	0.0745992	0.0398225	0.068968
g__Rothia	56	0	0.00376733	-0.774512	6.8725e-05	0.00410632
g__Ruminococcus	56	0	0	0.0836352	0.015757	0.0388238
g__Ruthenibacterium	56	0	0	0.0836352	0.015757	0.0388238
g__SH3-11	56	0	0	0.0836352	0.015757	0.0388238
g__Scardovia	56	0	0	0.0411789	0.61304	0.662971
g__Schaalia	56	0	0	-0.0769825	0.189085	0.228239
g__Schleiferilactobacillus	56	0	0	0.0745992	0.04746	0.0755559
g__Segatella	56	0.0023849	0.00625005	-0.520113	0.0168472	0.0410865
g__Selenomonas	56	0.00906824	0.00568872	-0.0768105	0.74421	0.776708
g__Serratia	56	0	0	0.0745992	0.0823062	0.114367
g__Simonsiella	56	0	0	0.0836352	0.015757	0.0388238
g__Skermanella	56	0	0	0.0836352	0.0188118	0.0420188
g__Sneathia	56	0	0	0.0745992	0.0928874	0.126137
g__Solobacterium	56	0.000361902	0.00139138	-0.0681859	0.38723	0.432468
g__Sphaerotilus	56	0	0	0.0836352	0.0339351	0.0623884
g__Sphingobium	56	0	0	0.0836352	0.015757	0.0388238
g__Sphingomonas	56	0	0	0.0745992	0.0617659	0.089467
g__Staphylococcus	56	0	0	0.0552958	0.960965	0.965003
g__Stenotrophomonas	56	0	0	0.0912239	0.00802414	0.0388238
g__Stomatobaculum	56	0	0.000935321	-0.1622	0.0209738	0.0455705
g__Streptobacillus	56	0	0	0.101236	0.00597888	0.0388238
g__Streptococcus	56	0.0387203	0.127898	-0.927056	1.37225e-06	0.000109322
g__Sutterella	56	0	0	0.0836352	0.015757	0.0388238
g__TM7a	56	0	0	0.0836352	0.0913121	0.124706
g__TM7x	56	0	0	-0.172407	0.000226911	0.0077474
g__Tannerella	56	0.000824763	0.00394177	-0.272568	0.108066	0.143488
g__Tepidimonas	56	0	0	0.0745992	0.053208	0.0784982
g__Thiomonas	56	0	0	0.0836352	0.0147293	0.0388238
g__Treponema	56	0.0105565	0.00342588	0.575866	0.00193722	0.0308664
g__Tsuneonella	56	0	0	0.0649226	0.104534	0.140357
g__UCG-002	56	0	0	0.0836352	0.015757	0.0388238
g__Variovorax	56	0	0	0.0745992	0.0502652	0.0755559
g__Veillonella	56	0.00207259	0.0354246	-2.0668	1.70714e-07	2.04004e-05
g__Vibrionimonas	56	0	0	0.0552958	0.307901	0.35379
g__Vulcaniibacterium	56	0	0	0.0912239	0.00783242	0.0388238
g__W5053	56	0	0	0.0392431	0.373937	0.421562
g__Wolinella	56	0	0	0.0767453	0.0265053	0.0523535
g__Xanthomonas	56	0	0	0.0836352	0.0188118	0.0420188
g__Xylanibacter	56	0	0	-0.0319494	0.503571	0.54956
g__Yersinia	56	0	0	0.0912239	0.00842022	0.0388238
g__[Eubacterium]_brachy_group	56	0	0	0.0223269	0.863989	0.874972
g__[Eubacterium]_saphenum_group	56	0	0	0.0411789	0.863989	0.874972
g__[Eubacterium]_sulci_group	56	0	0	-0.194104	0.000342334	0.0093789
g__[Eubacterium]_ventriosum_group	56	0	0	0.0836352	0.015757	0.0388238
g__[Eubacterium]_yurii_group	56	0	0	0.168711	0.00283122	0.0388238
