sample-id	input_reads	filtered_reads	denoised_reads	merged_reads	non_chimeric_reads
SRR18595833	76272	27810	26867	11739	8223
SRR18595834	100000	35200	34807	23453	23398
SRR18595835	60531	11667	11534	11013	10958
SRR18595836	12587	4171	4096	3485	3485
SRR18595837	24885	7333	6499	4811	4721
SRR18595838	11681	3276	3192	2132	2132
SRR18595839	29063	7489	7119	6153	5553
SRR18595840	18722	4288	4236	3709	3709
SRR18595841	5147	701	600	223	223
SRR18595842	26493	8471	8299	6450	6450
SRR18595843	32852	1398	1236	880	880
SRR18595844	29421	8118	7967	7839	7832
SRR18595845	27908	6473	6262	5561	5538
SRR18595846	25494	6666	6256	5576	5380
SRR18595847	30403	8382	8133	6406	6266
SRR18595848	32107	9356	8818	6488	6199
SRR18595849	32554	9010	8775	8157	7879
