genus	SRR18595688	SRR18595689	SRR18595690	SRR18595691	SRR18595692	SRR18595693	SRR18595694	SRR18595695	SRR18595696	SRR18595697	SRR18595698	SRR18595699	SRR18595700	SRR18595701	SRR18595702	SRR18595703	SRR18595704	SRR18595705	SRR18595706	SRR18595707	SRR18595708	SRR18595709	SRR18595710	SRR18595711	SRR18595712	SRR18595713	SRR18595714	SRR18595715	SRR18595716	SRR18595717	SRR18595718	SRR18595719	SRR18595720	SRR18595721	SRR18595722	SRR18595723	SRR18595724	SRR18595725	SRR18595726	SRR18595727	SRR18595728	SRR18595729	SRR18595730	SRR18595731	SRR18595732	SRR18595733	SRR18595734	SRR18595735	SRR18595736	SRR18595737	SRR18595738	SRR18595739	SRR18595740	SRR18595741	SRR18595742	SRR18595743	SRR18595744	SRR18595745	SRR18595746	SRR18595747	SRR18595748	SRR18595749	SRR18595750	SRR18595751	SRR18595752	SRR18595753	SRR18595754	SRR18595755	SRR18595756	SRR18595757	SRR18595758	SRR18595759	SRR18595760	SRR18595761	SRR18595762	SRR18595763	SRR18595764	SRR18595765	SRR18595766	SRR18595767	SRR18595768	SRR18595769	SRR18595770	SRR18595771	SRR18595772	SRR18595773	SRR18595774	SRR18595775	SRR18595776	SRR18595777	SRR18595778	SRR18595779	SRR18595780	SRR18595781	SRR18595782	SRR18595783	SRR18595784	SRR18595785	SRR18595786	SRR18595787	SRR18595788	SRR18595789	SRR18595790	SRR18595791	SRR18595792	SRR18595793	SRR18595794	SRR18595795	SRR18595796	SRR18595797	SRR18595798	SRR18595799	SRR18595800	SRR18595801	SRR18595802	SRR18595803	SRR18595804	SRR18595805	SRR18595806	SRR18595807	SRR18595808	SRR18595809	SRR18595810	SRR18595811	SRR18595812	SRR18595813	SRR18595814	SRR18595815	SRR18595816	SRR18595817	SRR18595818	SRR18595819	SRR18595820	SRR18595821	SRR18595822	SRR18595823	SRR18595824	SRR18595825	SRR18595826	SRR18595827	SRR18595828	SRR18595829	SRR18595830	SRR18595831	SRR18595832	SRR18595833	SRR18595834	SRR18595835	SRR18595836	SRR18595837	SRR18595838	SRR18595839	SRR18595840	SRR18595841	SRR18595842	SRR18595843	SRR18595844	SRR18595845	SRR18595846	SRR18595847	SRR18595848	SRR18595849
g__Lachnospiraceae_UCG-004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0047281324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Lacticaseibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027619709	0	0	0	0	0	0	0	0	0	0	0.0018814675	0	0	0	0	0	0.00082850041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010614345	0	0	0	0	0	0	0.01071723	0	0	0	0	0	0	0	0	0	0	0	0	0.023644962	0	0	0	0	0	0	0	0	0	0	0	0.010161759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Lactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0066006601	0	0	0	0	0.0036402789	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27730743	0	0	0	0	0	0	0	0	0	0	0.012699906	0	0.012790198	0	0	0	0.030930682	0	0.070237599	0	0.0018089725	0	0	0	0	0	0	0	0.0044652824	0	0	0.085879704	0	0	0	0	0	0	0.15430063	0	0	0	0	0	0	0	0	0	0	0	0	0.03746817	0	0	0	0	0	0	0	0	0	0	0	0.034909443	0	0.073154511	0	0	0	0	0	0.0039579468	0	0	0	0.022829006	0	0	0	0	0	0.01073493	0.00020659023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0098167539	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Lancefieldella	0.0013767783	0.015208648	0.013555787	0	0	0	0	0	0	0	0.00077807556	0.0037009623	0	0	0	0	0	0.0031665611	0	0.0047031905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003765227	0	0	0	0	0	0.0014214641	0.014989591	0.0054384772	0	0.017610662	0	0	0	0	0	0	0	0.011759172	0	0	0	0.0010211897	0	0	0	0.039808253	0	0	0	0.0047018996	0	0	0	0	0	0.016298281	0	0.010408733	0.015117401	0	0	0	0	0	0	0.022808464	0	0	0.0052387914	0.018735363	0	0	0	0	0	0	0	0	0	0	0	0.00012866701	0	0	0	0	0	0	0	0	0	0	0.015074263	0	0	0	0	0	0	0	0	0	0	0.01293573	0.0055630479	0.013603129	0.012019231	0.00051546392	0	0.017560169	0	0	0.0013436847	0	0	0.0030571199	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0032948224	0	0	0	0	0	0.0033240997	0	0	0	0	0	0	0	0.0038715922	0
g__Lautropia	0	0	0	0.0024400163	0	0.0094400343	0	0.040489773	0	0.0033157933	0.00034581136	0	0	0	0.006116208	0	0.026022305	0	0.0095403296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0050761421	0	0	0	0	0	0	0	0	0	0.00077459334	0.0013808687	0	0	0	0	0	0	0	0	0.0017408966	0	0	0	0.048353909	0	0	0.026142562	0	0	0	0	0	0	0	0.035795887	0	0	0	0.0046612803	0	0	0	0	0	0.0015704751	0.0023148148	0.004163414	0.0039633391	0.040544454	0.0088940449	0	0.011457261	0	0	0.055934516	0	0	0.0012838148	0	0.0045888627	0	0.03562912	0	0	0	0	0	0	0	0	0.0030588464	0.0020547141	0	0	0	0	0	0.0097025098	0	0	0.00068082789	0	0	0.055288462	0	0	0	0	0	0	0	0	0	0.001525074	0.040247876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0085872576	0	0	0	0	0	0	0.0041693393	0	0
g__Lawsonella	0	0	0	0	0	0	0	0	0	0.00093707201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0055420084	0	0	0	0	0	0	0	0.0011226044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00080590168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Legionella	0	0	0	0	0	0	0	0	0.009148487	0	0	0	0	0	0	0.00042194093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0021496131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0042987641	0	0	0	0.0037685657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Leifsonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00048553117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Lentimicrobium	0	0.0051533434	0	0	0	0	0	0	0	0.028832985	0.00095098124	0.018504811	0	0	0	0	0	0.068081064	0	0.045315876	0.011891103	0.021384929	0.0010639713	0.18154169	0	0	0.19047619	0	0	0.0027173913	0	0	0.12607236	0.16044067	0	0	0	0.22255609	0	0	0	0	0	0	0	0.10501727	0	0.29017477	0	0	0	0	0	0.0030584937	0.0098777046	0.15963354	0.022570937	0	0.0021700281	0.0016683592	0	0.0016572176	0	0	0.0032561505	0	0	0	0	0	0	0	0	0.00043579314	0.00076161462	0	0	0	0	0	0	0.041991195	0.0026106073	0	0.0045805523	0	0.0046838407	0	0	0	0	0	0	0	0	0	0	0.0010545621	0	0	0	0.0070136064	0	0	0	0	0	0	0	0.0086455331	0.0069430957	0	0	0.0027281585	0.0021110813	0	0.042906358	0.0068158127	0	0	0	0.0021915037	0	0	0.014948454	0	0.00082636091	0	0	0	0	0	0.041673371	0	0	0	0	0	0.11158035	0	0	0.20277107	0.037324387	0	0.02549505	0	0.23641421	0	0	0.092141495	0.0085227273	0.0046821538	0	0.10762332	0.10428305	0	0.29426051	0.040447815	0	0	0	0
g__Leptotrichia	0	0	0.0020855057	0	0	0	0	0	0	0.21271535	0.032592721	0	0	0	0	0	0	0	0.0047701648	0	0	0	0.0014629605	0.00083901416	0	0.0021359223	0	0	0	0	0	0	0	0	0	0	0	0	0.068204614	0.10841189	0	0	0	0	0	0	0	0.032821824	0.0043191057	0.045184611	0	0	0	0.0017841213	0	0	0	0	0.0019147307	0	0.12501151	0.004448321	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0030556449	0	0	0	0	0.002640264	0.20115137	0.0016488046	0	0	0.018153021	0.085349987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0017803426	0	0	0	0	0	0	0	0	0	0.0021435531	0	0	0	0	0	0	0.020969499	0	0.016663833	0	0	0	0.0093998554	0	0	0	0.027875034	0	0.043282381	0.003408989	0	0.023852988	0.037619398	0	0.0045195229	0	0	0	0	0.11767694	0.010561056	0.027848717	0	0	0	0.0057191273	0	0.0041419053	0	0	0	0	0	0.0012639942	0	0	0.0017744798	0
