run_accession	sample_accession	sample_alias	experiment_accession	experiment_title	library_name	scientific_name	library_layout	instrument_model	fastq_ftp	fastq_md5
SRR18236755	SAMN26448882	Human tumor tissue	SRX14378188	Illumina HiSeq 2500 sequencing: T3_Stage Tumor tissue_8	E8	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/055/SRR18236755/SRR18236755_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/055/SRR18236755/SRR18236755_2.fastq.gz	5193c57374e0aa01ac2cf87e8734f4f0;18934abea012b252cb429f2ebb5f3cc9
SRR18236758	SAMN26448882	Human tumor tissue	SRX14378185	Illumina HiSeq 2500 sequencing: T3_Stage Tumor tissue_5	E5	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/058/SRR18236758/SRR18236758_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/058/SRR18236758/SRR18236758_2.fastq.gz	c7681e0eb58c68e402714198737f8af1;ceb52039e210520808740bedf849f769
SRR18236764	SAMN26448882	Human tumor tissue	SRX14378179	Illumina HiSeq 2500 sequencing: T2_Stage Tumor tissue_15	D15	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/064/SRR18236764/SRR18236764_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/064/SRR18236764/SRR18236764_2.fastq.gz	596db5a6c6680e599e58d7515764aeb7;405e50079bc90f63b49ce9c4e95298d2
SRR18236765	SAMN26448882	Human tumor tissue	SRX14378178	Illumina HiSeq 2500 sequencing: T2_Stage Tumor tissue_14	D14	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/065/SRR18236765/SRR18236765_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/065/SRR18236765/SRR18236765_2.fastq.gz	d913dc0ea1d88c0764aa9aa5d6a37c80;6ed406fdaa3a4abd0b617f5710ea7723
SRR18236766	SAMN26448882	Human tumor tissue	SRX14378177	Illumina HiSeq 2500 sequencing: T2_Stage Tumor tissue_13	D13	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/066/SRR18236766/SRR18236766_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/066/SRR18236766/SRR18236766_2.fastq.gz	1187de97c24bc1a2f65ce42e4c5a26c3;7197d2c1462201ef90bf2e1ed67348b3
SRR18236767	SAMN26448882	Human tumor tissue	SRX14378176	Illumina HiSeq 2500 sequencing: T2_Stage Tumor tissue_12	D12	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/067/SRR18236767/SRR18236767_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/067/SRR18236767/SRR18236767_2.fastq.gz	cd21ff07ab862cc0937505d59b5c98da;7e91d0f9d15922d277f5dd2d1a25b275
SRR18236769	SAMN26448882	Human tumor tissue	SRX14378174	Illumina HiSeq 2500 sequencing: T2_Stage Tumor tissue_10	D10	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/069/SRR18236769/SRR18236769_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/069/SRR18236769/SRR18236769_2.fastq.gz	69bf0293973469acfb48361f4930af26;24123a5244b00ea1093f9027d0602262
SRR18236774	SAMN26448882	Human tumor tissue	SRX14378169	Illumina HiSeq 2500 sequencing: Tissue adjacent to a tumor from T1_stage_sample_4	A4	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/074/SRR18236774/SRR18236774_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/074/SRR18236774/SRR18236774_2.fastq.gz	0858f1fb53d314bbdcf062abaedadacf;f10ea984f5e318dbbd36bf6c10e712ae
SRR18236777	SAMN26448882	Human tumor tissue	SRX14378166	Illumina HiSeq 2500 sequencing: T2_Stage Tumor tissue_3	D3	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/077/SRR18236777/SRR18236777_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/077/SRR18236777/SRR18236777_2.fastq.gz	7ef09b555b5e8f8c18617e1b8944707b;945a88f7f5e8f3e29d4b8fb9b52193ad
SRR18236779	SAMN26448882	Human tumor tissue	SRX14378164	Illumina HiSeq 2500 sequencing: T2_Stage Tumor tissue_1	D1	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/079/SRR18236779/SRR18236779_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/079/SRR18236779/SRR18236779_2.fastq.gz	eddda9862d30aae9e9219ce9d20c8386;de236c475d8a6fac958e3dc98c0ec053
SRR18236783	SAMN26448882	Human tumor tissue	SRX14378160	Illumina HiSeq 2500 sequencing: T1_Stage Tumor tissue_12	B12	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/083/SRR18236783/SRR18236783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/083/SRR18236783/SRR18236783_2.fastq.gz	d5e43bbe18d39fc84a4c048e004eec67;005439daf75907e67e5978a5e80b9d49
SRR18236788	SAMN26448882	Human tumor tissue	SRX14378155	Illumina HiSeq 2500 sequencing: T1_Stage Tumor tissue_8	B8	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/088/SRR18236788/SRR18236788_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/088/SRR18236788/SRR18236788_2.fastq.gz	74aacf53bd5d5930af1a3bb4367fa5a2;cd3672365174de840d6ba2f556b5b778
SRR18236793	SAMN26448882	Human tumor tissue	SRX14378150	Illumina HiSeq 2500 sequencing: T1_Stage Tumor tissue_3	B3	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/093/SRR18236793/SRR18236793_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/093/SRR18236793/SRR18236793_2.fastq.gz	5092e545173ab61f8024a52507e1a609;d71fb919446181ad1b94638845691881
SRR18236797	SAMN26448882	Human tumor tissue	SRX14378146	Illumina HiSeq 2500 sequencing: Tissue adjacent to a tumor from T1_stage_sample_1	A1	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/097/SRR18236797/SRR18236797_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/097/SRR18236797/SRR18236797_2.fastq.gz	4762d25c80a1a7fd8777057541ca90a0;1a43324d3fb921592e2e64070ec799e1
SRR18236717	SAMN26448882	Human tumor tissue	SRX14378226	Illumina HiSeq 2500 sequencing: Precancer_2	P2	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/017/SRR18236717/SRR18236717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/017/SRR18236717/SRR18236717_2.fastq.gz	9e5a8b375b2f398951ec129d73b442ab;c852b234eab01cc44af24c16c01379c0
SRR18236720	SAMN26448882	Human tumor tissue	SRX14378223	Illumina HiSeq 2500 sequencing: T4_Stage Tumor tissue_15	Z15	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/020/SRR18236720/SRR18236720_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/020/SRR18236720/SRR18236720_2.fastq.gz	f44e0f5639d8ce8277b17fa4b73c14ea;174512b70b9db72e4289fff2ec3fb19e
SRR18236721	SAMN26448882	Human tumor tissue	SRX14378222	Illumina HiSeq 2500 sequencing: T4_Stage Tumor tissue_14	Z14	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/021/SRR18236721/SRR18236721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/021/SRR18236721/SRR18236721_2.fastq.gz	0602e4ac38b8d5b0200bdd14291e76df;7ed736aa1963d939ed72bedc0f5c195d
SRR18236723	SAMN26448882	Human tumor tissue	SRX14378220	Illumina HiSeq 2500 sequencing: T4_Stage Tumor tissue_12	Z12	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/023/SRR18236723/SRR18236723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/023/SRR18236723/SRR18236723_2.fastq.gz	ab2b28ccc2f4e8ace635ab8a7289fef1;6b950d85777b4492cf319edadb84133f
SRR18236724	SAMN26448882	Human tumor tissue	SRX14378219	Illumina HiSeq 2500 sequencing: T4_Stage Tumor tissue_11	Z11	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/024/SRR18236724/SRR18236724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/024/SRR18236724/SRR18236724_2.fastq.gz	ba77e5cc6065b334f652ef3bcb7a1923;f0a08a84296dd0472037548340c1eb36
SRR18236729	SAMN26448882	Human tumor tissue	SRX14378214	Illumina HiSeq 2500 sequencing: T4_Stage Tumor tissue_6	Z6	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/029/SRR18236729/SRR18236729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/029/SRR18236729/SRR18236729_2.fastq.gz	6bbebb2be8956370dd9d2e1d1adda1d3;347eb0444e2cd45d69f3df631a02642a
SRR18236735	SAMN26448882	Human tumor tissue	SRX14378208	Illumina HiSeq 2500 sequencing: T4_Stage Tumor tissue_1	Z1	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/035/SRR18236735/SRR18236735_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/035/SRR18236735/SRR18236735_2.fastq.gz	f91bd6500b8ffff990a042ca210154ec;59d1f6e35199dba65d1dd95af78d475d
SRR18236739	SAMN26448882	Human tumor tissue	SRX14378204	Illumina HiSeq 2500 sequencing: Tissue adjacent to a tumor from T4_stage_sample_7	Y7	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/039/SRR18236739/SRR18236739_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/039/SRR18236739/SRR18236739_2.fastq.gz	a71964dc08f63e66a507fcc68bcee621;a7cfd55d75d05914458678c0d35fabe6
SRR18236740	SAMN26448882	Human tumor tissue	SRX14378203	Illumina HiSeq 2500 sequencing: Tissue adjacent to a tumor from T4_stage_sample_6	Y6	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/040/SRR18236740/SRR18236740_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/040/SRR18236740/SRR18236740_2.fastq.gz	78fa46b2db0ac339258089e2114dea68;154f60b305ea55b9fc7cdfc91e8b5336
SRR18236742	SAMN26448882	Human tumor tissue	SRX14378201	Illumina HiSeq 2500 sequencing: Tissue adjacent to a tumor from T4_stage_sample_5	Y5	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/042/SRR18236742/SRR18236742_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/042/SRR18236742/SRR18236742_2.fastq.gz	e288ee87c5b4d6f65befc0f83cd0982f;2c0d150a91c9eb290cac73e9a5d2ecff
SRR18236743	SAMN26448882	Human tumor tissue	SRX14378200	Illumina HiSeq 2500 sequencing: Tissue adjacent to a tumor from T4_stage_sample_4	Y4	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/043/SRR18236743/SRR18236743_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/043/SRR18236743/SRR18236743_2.fastq.gz	1ab690a190d2162dda08160835e94362;0e199f973d7fb320621d02914ef2f6b0
SRR18236744	SAMN26448882	Human tumor tissue	SRX14378199	Illumina HiSeq 2500 sequencing: Tissue adjacent to a tumor from T4_stage_sample_3	Y3	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/044/SRR18236744/SRR18236744_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/044/SRR18236744/SRR18236744_2.fastq.gz	2d29ed3fc0cf17baf60c5205b57278fb;5fda52594b2799898e720d2ec4a31cc6
SRR18236745	SAMN26448882	Human tumor tissue	SRX14378198	Illumina HiSeq 2500 sequencing: Tissue adjacent to a tumor from T4_stage_sample_2	Y2	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/045/SRR18236745/SRR18236745_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/045/SRR18236745/SRR18236745_2.fastq.gz	984323acfc8ad36e7c049422a0edfb92;e2f0146298ab4a097e000808c94afcbe
SRR18236747	SAMN26448882	Human tumor tissue	SRX14378196	Illumina HiSeq 2500 sequencing: T3_Stage Tumor tissue_15	E15	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/047/SRR18236747/SRR18236747_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/047/SRR18236747/SRR18236747_2.fastq.gz	fe9e78ea0124c93e0cbe1c714ef36e55;519d30159ba2649f658c7d1480ff0040
SRR18236748	SAMN26448882	Human tumor tissue	SRX14378195	Illumina HiSeq 2500 sequencing: T3_Stage Tumor tissue_14	E14	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/048/SRR18236748/SRR18236748_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/048/SRR18236748/SRR18236748_2.fastq.gz	20456e11158d22ed003ea2f27d05a084;cf5e1c01a26b1314d9f6c1a2be825bfc
SRR18236752	SAMN26448882	Human tumor tissue	SRX14378191	Illumina HiSeq 2500 sequencing: Tissue adjacent to a tumor from T1_stage_sample_6	A6	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/052/SRR18236752/SRR18236752_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/052/SRR18236752/SRR18236752_2.fastq.gz	9c030af999b2367b88d449c6f9ca7729;fbd4014d834bd0a89857e7b6d9fef949
SRR18236753	SAMN26448882	Human tumor tissue	SRX14378190	Illumina HiSeq 2500 sequencing: T3_Stage Tumor tissue_10	E10	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/053/SRR18236753/SRR18236753_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/053/SRR18236753/SRR18236753_2.fastq.gz	04e5eaead13818cec91d89051244421b;f51c1e800c4eba30fca2bb616a1174a8
SRR18236756	SAMN26448882	Human tumor tissue	SRX14378187	Illumina HiSeq 2500 sequencing: T3_Stage Tumor tissue_7	E7	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/056/SRR18236756/SRR18236756_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/056/SRR18236756/SRR18236756_2.fastq.gz	04dbfbbb82062651b82457fe9a595770;7c84c4ad860bb8cb4cc61136d8994829
SRR18236757	SAMN26448882	Human tumor tissue	SRX14378186	Illumina HiSeq 2500 sequencing: T3_Stage Tumor tissue_6	E6	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/057/SRR18236757/SRR18236757_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/057/SRR18236757/SRR18236757_2.fastq.gz	67c3cac7706e8bb59638b6da5741d5a6;f247ccd2063569891fbf6ed848140792
SRR18236760	SAMN26448882	Human tumor tissue	SRX14378183	Illumina HiSeq 2500 sequencing: T3_Stage Tumor tissue_3	E3	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/060/SRR18236760/SRR18236760_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/060/SRR18236760/SRR18236760_2.fastq.gz	00b9627c68c1833762c90ab408a8418b;c39b938f8bf3d71e00c4b19891b7edde
SRR18236761	SAMN26448882	Human tumor tissue	SRX14378182	Illumina HiSeq 2500 sequencing: T3_Stage Tumor tissue_2	E2	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/061/SRR18236761/SRR18236761_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/061/SRR18236761/SRR18236761_2.fastq.gz	a003a8758e6ac5ff061a24d312e07ff1;5a901df04370ec3190fe88e1dea7eb0b
SRR18236763	SAMN26448882	Human tumor tissue	SRX14378180	Illumina HiSeq 2500 sequencing: Tissue adjacent to a tumor from T1_stage_sample_5	A5	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/063/SRR18236763/SRR18236763_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/063/SRR18236763/SRR18236763_2.fastq.gz	10d8cb223479a7b9f276b8d83175de23;9655ebe4a7795249626f77e3d5fba5d6
SRR18236771	SAMN26448882	Human tumor tissue	SRX14378172	Illumina HiSeq 2500 sequencing: T2_Stage Tumor tissue_8	D8	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/071/SRR18236771/SRR18236771_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/071/SRR18236771/SRR18236771_2.fastq.gz	4448cb70d550a301612c34b3f579027a;93bac69674080f2bbdeeaea970b8203e
SRR18236773	SAMN26448882	Human tumor tissue	SRX14378170	Illumina HiSeq 2500 sequencing: T2_Stage Tumor tissue_6	D6	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/073/SRR18236773/SRR18236773_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/073/SRR18236773/SRR18236773_2.fastq.gz	0c9dda62d2c28efc7a5d2c2176fee26c;33fd59921cb8ce7c2aa384a243c0bd21
SRR18236778	SAMN26448882	Human tumor tissue	SRX14378165	Illumina HiSeq 2500 sequencing: T2_Stage Tumor tissue_2	D2	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/078/SRR18236778/SRR18236778_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/078/SRR18236778/SRR18236778_2.fastq.gz	6ff1b5c12077b6c5bc0f889b4337c762;ab946aa3023d15ca05409e94e669c03d
SRR18236782	SAMN26448882	Human tumor tissue	SRX14378161	Illumina HiSeq 2500 sequencing: T1_Stage Tumor tissue_13	B13	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/082/SRR18236782/SRR18236782_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/082/SRR18236782/SRR18236782_2.fastq.gz	36a4f9b965ab5ff8ce94b97bc6e37420;474a01153cf696440826416f3abbbe80
SRR18236784	SAMN26448882	Human tumor tissue	SRX14378159	Illumina HiSeq 2500 sequencing: T1_Stage Tumor tissue_11	B11	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/084/SRR18236784/SRR18236784_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/084/SRR18236784/SRR18236784_2.fastq.gz	4816c93ca14a735da0de97808188b93f;6b342cba6a75b143248054b7fcb69b46
SRR18236786	SAMN26448882	Human tumor tissue	SRX14378157	Illumina HiSeq 2500 sequencing: T1_Stage Tumor tissue_10	B10	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/086/SRR18236786/SRR18236786_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/086/SRR18236786/SRR18236786_2.fastq.gz	12d0024be77505438527d4a5f607a95c;c70a3f5c0f8541384563936ec10479ab
SRR18236792	SAMN26448882	Human tumor tissue	SRX14378151	Illumina HiSeq 2500 sequencing: T1_Stage Tumor tissue_4	B4	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/092/SRR18236792/SRR18236792_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/092/SRR18236792/SRR18236792_2.fastq.gz	53f83f5cdeaab48c557ee61090b46035;6541611279fc97761dcc09e5574a4ce6
SRR18236796	SAMN26448882	Human tumor tissue	SRX14378147	Illumina HiSeq 2500 sequencing: Tissue adjacent to a tumor from T1_stage_sample_2	A2	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/096/SRR18236796/SRR18236796_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/096/SRR18236796/SRR18236796_2.fastq.gz	1b3437303d48d5367986b2c79394c2d3;55bc533f5417caa11ae672359f2a5cf8
