cohort	analysis_route	samples_processed	mean_raw_pairs	mean_pretrim_pairs	mean_valid_primer_pairs	mean_final_retained_pairs	mean_valid_fraction	samples_dada2	mean_input_reads	mean_non_chimeric_reads	low_depth_samples	complete_pairs	n_genera	n_genera_sig_q0.1
PRJNA666746	DADA2_ASV	100	974730.0	150000.0	112512.2	99757.6	0.7501	100	99757.6	38924.8	0	50	480	389
PRJNA822685	DADA2_ASV	162	41933.2	41933.2	34648.3	33825.1	0.7839	162	33825.1	7267.5	27	56	239	168
