run_accession	sample_accession	experiment_accession	study_accession	scientific_name	instrument_platform	instrument_model	library_layout	library_strategy	library_source	fastq_ftp	fastq_md5
SRR12750689	SAMN16326731	SRX9222703	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/089/SRR12750689/SRR12750689_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/089/SRR12750689/SRR12750689_2.fastq.gz	dbe5b98d6ada16c15270ba2f74fefc34;e3ce298d6dab6452158488956becc5fb
SRR12750690	SAMN16326730	SRX9222702	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/090/SRR12750690/SRR12750690_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/090/SRR12750690/SRR12750690_2.fastq.gz	20b56abe80c17cebb3c532721155abe5;6969a136cf88457df2b879c0136a16ac
SRR12750697	SAMN16326724	SRX9222695	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/097/SRR12750697/SRR12750697_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/097/SRR12750697/SRR12750697_2.fastq.gz	3a45a19dca5086ae058f5d2b1583c2f1;a10e00b246ff410302dc8aa7ca1b4d3d
SRR12750698	SAMN16326723	SRX9222694	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/098/SRR12750698/SRR12750698_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/098/SRR12750698/SRR12750698_2.fastq.gz	6f3c70807014a7ee57f022c1600c2cde;557d5edcf4a342cd908e97cadfd8bd0c
SRR12750705	SAMN16326717	SRX9222687	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/005/SRR12750705/SRR12750705_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/005/SRR12750705/SRR12750705_2.fastq.gz	fc717c8d92fa9ae8634efecb18324204;79769aa63d1161c3cbccf888c6a2dcb7
SRR12750706	SAMN16326716	SRX9222646	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/006/SRR12750706/SRR12750706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/006/SRR12750706/SRR12750706_2.fastq.gz	ddbc44fa7fc6c0b90aeffd5e3588a3a5;5065dbe1319765d5f22062e22441babf
SRR12750709	SAMN16326695	SRX9222683	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/009/SRR12750709/SRR12750709_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/009/SRR12750709/SRR12750709_2.fastq.gz	c43e89a836f248a5871e24e6c41f6d88;bfc61cd314097e07cd586fa45d496a8b
SRR12750713	SAMN16326691	SRX9222679	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/013/SRR12750713/SRR12750713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/013/SRR12750713/SRR12750713_2.fastq.gz	d6180f170528762f17dd56bf85f51058;6b1a0119b747ce261d8e520e7a2ce713
SRR12750715	SAMN16326689	SRX9222677	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/015/SRR12750715/SRR12750715_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/015/SRR12750715/SRR12750715_2.fastq.gz	a48c5f48b69aadaa14e98c65927e5bba;65a448332434fed2a9c3f04f7c7d2508
SRR12750717	SAMN16326688	SRX9222675	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/017/SRR12750717/SRR12750717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/017/SRR12750717/SRR12750717_2.fastq.gz	ead0e81af0277996580508afe175a8e3;d79724c849af512a20eea06e5c8256ee
SRR12750720	SAMN16326685	SRX9222672	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/020/SRR12750720/SRR12750720_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/020/SRR12750720/SRR12750720_2.fastq.gz	a5ae9d51804d3513b997b13032b96403;3cce6eee0117df83180692cf59df02a6
SRR12750722	SAMN16326683	SRX9222670	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/022/SRR12750722/SRR12750722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/022/SRR12750722/SRR12750722_2.fastq.gz	181ef27c7b128895696bac4faff4bb6c;e21cf8bc699044a757c0022f21e6f082
SRR12750726	SAMN16326679	SRX9222626	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/026/SRR12750726/SRR12750726_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/026/SRR12750726/SRR12750726_2.fastq.gz	77ef0637b76da162086d895e68b34422;eb94c42c76d89092e8f7f648ec680a52
SRR12750729	SAMN16326749	SRX9222663	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/029/SRR12750729/SRR12750729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/029/SRR12750729/SRR12750729_2.fastq.gz	b1ede21f102689c47dc51423b76363f9;7faa64f19499773a8d1d27002ed3ac97
SRR12750733	SAMN16326746	SRX9222659	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/033/SRR12750733/SRR12750733_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/033/SRR12750733/SRR12750733_2.fastq.gz	45dd82b8b9d6dc83e24347909206ddf2;b93a9ec682fff4475a1ab1a037f574fe
SRR12750736	SAMN16326743	SRX9222656	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/036/SRR12750736/SRR12750736_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/036/SRR12750736/SRR12750736_2.fastq.gz	b2bec0df89c8bd0b63b4d829702908c1;1c448aa8a836fc0b10ebd6fc037350d7
SRR12750738	SAMN16326741	SRX9222654	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/038/SRR12750738/SRR12750738_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/038/SRR12750738/SRR12750738_2.fastq.gz	5a0da0f59d579580ded172f708a99690;34183535af9335eff05b3dd01bc1c9f6
SRR12750739	SAMN16326740	SRX9222653	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/039/SRR12750739/SRR12750739_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/039/SRR12750739/SRR12750739_2.fastq.gz	796ba79ebb3809243b6eea60da6de576;21702284301914e6563c683408198fa9
SRR12750742	SAMN16326738	SRX9222650	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/042/SRR12750742/SRR12750742_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/042/SRR12750742/SRR12750742_2.fastq.gz	27a849ce23039713b760bbc77043e401;8f5247ea8f66cd7b566dc2e375799e8a
SRR12750751	SAMN16326711	SRX9222641	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/051/SRR12750751/SRR12750751_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/051/SRR12750751/SRR12750751_2.fastq.gz	7787428142df3b65e133eb7fee042336;fc6a945ad8e44ae03d3969dafa18213b
SRR12750752	SAMN16326710	SRX9222640	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/052/SRR12750752/SRR12750752_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/052/SRR12750752/SRR12750752_2.fastq.gz	8559e804b34235e7c65982b6aee21dcb;d549c421b98d013d0c75641336096faf
SRR12750754	SAMN16326673	SRX9222638	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/054/SRR12750754/SRR12750754_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/054/SRR12750754/SRR12750754_2.fastq.gz	062e7c0adb5acc74e6dddf8b48f40997;2a4a30a665cbdeff2f35d1ad1685d242
SRR12750756	SAMN16326707	SRX9222636	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/056/SRR12750756/SRR12750756_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/056/SRR12750756/SRR12750756_2.fastq.gz	47d6edf0d9b3eef596e65dcd7c0a8405;6e52a9de691881f9ab38c30b02e6407d
SRR12750758	SAMN16326705	SRX9222634	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/058/SRR12750758/SRR12750758_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/058/SRR12750758/SRR12750758_2.fastq.gz	82f82d87e41ac37bef20181ab08f52fd;37cbb92e37f18a472049c63b20edd15c
SRR12750760	SAMN16326703	SRX9222632	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/060/SRR12750760/SRR12750760_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/060/SRR12750760/SRR12750760_2.fastq.gz	99c750f3ed55a9a7440a1ccc671b5b47;dc3dcea4e53614176fd9e910c1745259
SRR12750762	SAMN16326701	SRX9222630	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/062/SRR12750762/SRR12750762_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/062/SRR12750762/SRR12750762_2.fastq.gz	21188721354f00248f90f19665847dba;b9a70972726e192ed9dd3d64d23a061e
SRR12750763	SAMN16326700	SRX9222629	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/063/SRR12750763/SRR12750763_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/063/SRR12750763/SRR12750763_2.fastq.gz	cbd24461da13bafba9aff7d2d873e551;f02168329df797b44bada5c78b57007c
SRR12750768	SAMN16326669	SRX9222624	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/068/SRR12750768/SRR12750768_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/068/SRR12750768/SRR12750768_2.fastq.gz	d942220e81ce62c297c5a556df2a38ae;34e5b8596dd7cd82b4c24ae39c770cdf
SRR12750672	SAMN16326765	SRX9222720	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/072/SRR12750672/SRR12750672_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/072/SRR12750672/SRR12750672_2.fastq.gz	bcb1778c7409c8ca33a4aa6b9af03fb1;ac6e0f87c272e4474764cc116e6e6c2a
SRR12750675	SAMN16326762	SRX9222717	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/075/SRR12750675/SRR12750675_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/075/SRR12750675/SRR12750675_2.fastq.gz	c861a2f9147a0b9dc6453cfceedf7239;673b699f830a7ccbafcb8804085ddd65
SRR12750679	SAMN16326678	SRX9222713	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/079/SRR12750679/SRR12750679_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/079/SRR12750679/SRR12750679_2.fastq.gz	fc448c643cb4c2cf6116471d376af95e;3436f30e6eb8394468a6580913b99dc7
SRR12750680	SAMN16326758	SRX9222712	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/080/SRR12750680/SRR12750680_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/080/SRR12750680/SRR12750680_2.fastq.gz	91d0dda344d615a785ff1113ceb3cacd;ee7158cdad82fb5357f826342db71c39
SRR12750688	SAMN16326732	SRX9222704	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/088/SRR12750688/SRR12750688_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/088/SRR12750688/SRR12750688_2.fastq.gz	5f140b1c3e31bc3058ed93f2e1a1f4b6;f6c56df21281346ed03f641e234381f7
SRR12750692	SAMN16326675	SRX9222700	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/092/SRR12750692/SRR12750692_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/092/SRR12750692/SRR12750692_2.fastq.gz	54d08157efa09c1cb6c80cbd50dbf9f6;479a9e553e7d392567515666509f2f9c
SRR12750694	SAMN16326727	SRX9222698	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/094/SRR12750694/SRR12750694_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/094/SRR12750694/SRR12750694_2.fastq.gz	ba1d228735d44594c5185bae89740572;daf0a3b112ae512fa6d5f6b743068348
SRR12750695	SAMN16326726	SRX9222697	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/095/SRR12750695/SRR12750695_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/095/SRR12750695/SRR12750695_2.fastq.gz	c114a18c6183a5fb199fc0274266cb69;021186cc1699522522939f579d4b4626
SRR12750699	SAMN16326722	SRX9222693	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/099/SRR12750699/SRR12750699_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/099/SRR12750699/SRR12750699_2.fastq.gz	720fb679354b3f0cf4fc31b182bffe44;32cb10c1649feffd9f40c9c42ebd04be
SRR12750702	SAMN16326719	SRX9222690	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/002/SRR12750702/SRR12750702_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/002/SRR12750702/SRR12750702_2.fastq.gz	043dfb329efee49a930171d10248b2e4;f0d68d2252dc21ea92957d21a451193b
SRR12750703	SAMN16326674	SRX9222689	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/003/SRR12750703/SRR12750703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/003/SRR12750703/SRR12750703_2.fastq.gz	7c6bbdf5fadb0ac6f9154e982428ff1b;ac99b7fcbf8c8ad1db78b5d1a862954d
SRR12750704	SAMN16326718	SRX9222688	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/004/SRR12750704/SRR12750704_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/004/SRR12750704/SRR12750704_2.fastq.gz	f4c0171fd3b4c147facb2fc916d76660;f0e4083a77f4bd2018b41b15d2e987d6
SRR12750707	SAMN16326697	SRX9222685	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/007/SRR12750707/SRR12750707_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/007/SRR12750707/SRR12750707_2.fastq.gz	dd9b33ad95413481dca34a65fc655dc4;5b8dae3b4b34f2c553c2d72de01164bc
SRR12750714	SAMN16326690	SRX9222678	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/014/SRR12750714/SRR12750714_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/014/SRR12750714/SRR12750714_2.fastq.gz	5ad7b0e8b97487232f6b6c850bf32c8a;fc304e3c2525c45968102309078be5ef
SRR12750721	SAMN16326684	SRX9222671	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/021/SRR12750721/SRR12750721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/021/SRR12750721/SRR12750721_2.fastq.gz	c4abc5400827c04a9a15f4860feeb7b9;4a07c190a88e33dc27b05f0ef574a61d
SRR12750723	SAMN16326682	SRX9222669	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/023/SRR12750723/SRR12750723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/023/SRR12750723/SRR12750723_2.fastq.gz	e4c5cfc8dc373bdc2377b69e10b281e6;6cd4dd3a17a9dae4c14ce059cc44721a
SRR12750725	SAMN16326680	SRX9222667	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/025/SRR12750725/SRR12750725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/025/SRR12750725/SRR12750725_2.fastq.gz	a1c6106fd5bcf625369892c9b52f7219;b28f8bfce00d8a487ce903fcca31babb
SRR12750728	SAMN16326750	SRX9222664	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/028/SRR12750728/SRR12750728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/028/SRR12750728/SRR12750728_2.fastq.gz	1de54cc3c624cd4d13d9c8f02a6315c2;83afee02a4a8d6c3bb90673b7013dcf3
SRR12750731	SAMN16326748	SRX9222661	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/031/SRR12750731/SRR12750731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/031/SRR12750731/SRR12750731_2.fastq.gz	682b3527bb1f0f972516476cae6d5ca0;5922028aa2cea90b671c8e156f3419db
SRR12750732	SAMN16326747	SRX9222660	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/032/SRR12750732/SRR12750732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/032/SRR12750732/SRR12750732_2.fastq.gz	4fc1d62acd62f471d8620ee874fe3f13;ce2e90d913e74e82684e7ce0166186eb
SRR12750734	SAMN16326745	SRX9222658	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/034/SRR12750734/SRR12750734_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/034/SRR12750734/SRR12750734_2.fastq.gz	dd4a398cf10681458ba25605c6533c17;17d92f06d5eaa4957a73e99e7639ba0e
SRR12750735	SAMN16326744	SRX9222657	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/035/SRR12750735/SRR12750735_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/035/SRR12750735/SRR12750735_2.fastq.gz	7d15ee0cc37fef939ce8a0327ae76d17;ef3d1776e2bc3511da7bb1ab285918a7
