run_accession	sample_accession	experiment_accession	study_accession	scientific_name	instrument_platform	instrument_model	library_layout	library_strategy	library_source	fastq_ftp	fastq_md5
SRR12750669	SAMN16326768	SRX9222723	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/069/SRR12750669/SRR12750669_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/069/SRR12750669/SRR12750669_2.fastq.gz	62de912cc5bb54f51ec0dd356ee7d770;54833bd0f8d0729e2ef9f78fa40f7085
SRR12750671	SAMN16326766	SRX9222721	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/071/SRR12750671/SRR12750671_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/071/SRR12750671/SRR12750671_2.fastq.gz	13b8446700b971b05fa4c58a679ee30e;9f3f3233e248bc0098d67d5b7370f860
SRR12750673	SAMN16326764	SRX9222719	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/073/SRR12750673/SRR12750673_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/073/SRR12750673/SRR12750673_2.fastq.gz	dfc0c72632071a5877d8521dfa1fe6d3;85e4bde774685c9495808068146aeca1
SRR12750674	SAMN16326763	SRX9222718	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/074/SRR12750674/SRR12750674_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/074/SRR12750674/SRR12750674_2.fastq.gz	564b610ab38eeb4062eef66aff4f223b;e950abd6c3701a955233458e944a13b8
SRR12750676	SAMN16326761	SRX9222716	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/076/SRR12750676/SRR12750676_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/076/SRR12750676/SRR12750676_2.fastq.gz	402d36446945e8f4d16fcec402893645;db94653a6701c5e129d50d7d5d5af82e
SRR12750677	SAMN16326760	SRX9222715	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/077/SRR12750677/SRR12750677_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/077/SRR12750677/SRR12750677_2.fastq.gz	d0e5a68fb831d29fc559c7651a529be5;59f194915d3df90796bbf230c0d8a79e
SRR12750682	SAMN16326756	SRX9222710	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/082/SRR12750682/SRR12750682_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/082/SRR12750682/SRR12750682_2.fastq.gz	67a4203f4417464eacaab28b585680db;a0915bbaefaa6e2e5f9bb234406db2f0
SRR12750683	SAMN16326755	SRX9222709	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/083/SRR12750683/SRR12750683_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/083/SRR12750683/SRR12750683_2.fastq.gz	6245c298e014fc653b2d73b8e1ae3301;e4a15dcd20813dc293ad3626c286c521
SRR12750685	SAMN16326753	SRX9222707	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/085/SRR12750685/SRR12750685_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/085/SRR12750685/SRR12750685_2.fastq.gz	9dd8e9f6e34d0b5b05d532e8dc780adf;f36d98050d624225a5ef97e37791869a
SRR12750687	SAMN16326733	SRX9222705	PRJNA666746	Homo sapiens	ILLUMINA	Illumina MiSeq	PAIRED	OTHER	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/087/SRR12750687/SRR12750687_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/087/SRR12750687/SRR12750687_2.fastq.gz	fad4d5316dbb4523006712e5b835c821;d2b30149755a590b25e0873a88d8fae8
