run_accession	sample_accession	sample_alias	scientific_name	library_layout	instrument_model
SRR12750698	SAMN16326723	S55	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750705	SAMN16326717	S49	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750706	SAMN16326716	S48	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750709	SAMN16326695	S27	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750713	SAMN16326691	S23	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750715	SAMN16326689	S21	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750717	SAMN16326688	S20	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750720	SAMN16326685	S17	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750722	SAMN16326683	S15	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750726	SAMN16326679	S11	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750729	SAMN16326749	S81	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750733	SAMN16326746	S78	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750736	SAMN16326743	S75	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750738	SAMN16326741	S73	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750739	SAMN16326740	S72	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750742	SAMN16326738	S70	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750751	SAMN16326711	S43	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750752	SAMN16326710	S42	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750754	SAMN16326673	S5	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750756	SAMN16326707	S39	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750758	SAMN16326705	S37	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750760	SAMN16326703	S35	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750762	SAMN16326701	S33	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750763	SAMN16326700	S32	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750768	SAMN16326669	S1	Homo sapiens	PAIRED	Illumina MiSeq
