genus	complete_pairs	median_tumor_relabund	median_normal_relabund	median_paired_clr_effect	wilcoxon_p	bh_fdr_q
g__Shewanella	20	3.75201e-05	7.56929e-05	-0.324374	0.728506	0.87359
g__Shuttleworthia	20	0	0	0.281792	0.0192337	0.155899
g__Simplicispira	20	0	0	0.208818	0.089695	0.278942
g__Skermanella	20	0	0	-0.00720961	0.570597	0.747587
g__Slackia	20	2.71493e-05	3.34079e-05	0.314691	0.245487	0.451123
g__Sneathia	20	0	0	0.208818	0.113987	0.298108
g__Sphaerochaeta	20	0	0	0.281792	0.08255	0.278942
g__Sphingobacterium	20	0	0	-0.0449487	0.956329	0.980584
g__Sphingobium	20	0	0	0.22504	0.153646	0.331923
g__Sphingomonas	20	3.22271e-05	4.15888e-05	-0.270457	0.430433	0.621493
g__Sphingopyxis	20	0	0	0.22504	0.132727	0.298108
g__Spirosoma	20	0	0	0.208818	0.123093	0.298108
g__Staphylococcus	20	8.62383e-05	0.000505835	-0.561473	0.329983	0.5276
g__Stenotrophomonas	20	0	6.07054e-06	-0.0962548	0.409098	0.60934
g__Streptococcus	20	0.0145032	0.0651617	-1.46703	0.0531693	0.24667
g__Streptomyces	20	0	1.51599e-05	-0.820289	0.0153122	0.155899
g__Sulfuricurvum	20	0	0	0.351297	0.08255	0.278942
g__Sutterella	20	0	0	-0.00720961	0.898317	0.94507
g__TG5	20	9.59251e-05	0.000144561	0.136916	0.621513	0.79229
g__Tannerella	20	6.72094e-05	0.000128617	0.30054	0.756166	0.891646
g__Tepidimonas	20	0	0	0.22504	0.132727	0.298108
g__Thermicanus	20	0	0	0.281792	0.0192337	0.155899
g__Thermus	20	0	0	0.335076	0.164957	0.345799
g__Treponema	20	0.00216923	0.00520307	0.84543	0.294252	0.492742
g__Trichococcus	20	0	0	0.367443	0.0266418	0.163905
g__Trueperella	20	0	0	0.0746094	0.388376	0.590917
g__Turicibacter	20	0	0	0.351297	0.0484409	0.22848
g__Vagococcus	20	0	1.26851e-05	-0.0962548	0.329983	0.5276
g__Varibaculum	20	0	0	0.420726	0.00485992	0.151246
g__Variovorax	20	0	0	0.0746094	0.230513	0.440778
g__Veillonella	20	0.000365665	0.00180033	-1.16888	0.0484409	0.22848
g__Vibrio	20	0	0	0.208818	0.08255	0.278942
g__Virgisporangium	20	0	0	0.114538	0.20245	0.395126
g__Vogesella	20	0	0	-0.00720961	0.701181	0.859023
g__WAL_1855D	20	0	0	0.0370821	0.277355	0.478607
g__Xylanimicrobium	20	0	0	0.131362	0.621513	0.79229
g__Zoogloea	20	0	0	0.0746094	0.34881	0.539417
g__[Eubacterium]	20	0	0	0.120988	0.674223	0.836864
g__[Prevotella]	20	0.00225703	0.00216261	-0.101625	0.840822	0.933148
g__[Ruminococcus]	20	0	0	-0.00720961	0.840822	0.933148
g__ph2	20	0	0	0.351297	0.0214844	0.155899
