genus	SRR18236708	SRR18236719	SRR18236725	SRR18236726	SRR18236727	SRR18236728	SRR18236729	SRR18236730	SRR18236731	SRR18236734	SRR18236735	SRR18236736	SRR18236737	SRR18236738	SRR18236739	SRR18236740	SRR18236741	SRR18236742	SRR18236743	SRR18236744	SRR18236745	SRR18236746	SRR18236752	SRR18236763	SRR18236774	SRR18236785	SRR18236786	SRR18236787	SRR18236788	SRR18236789	SRR18236790	SRR18236791	SRR18236792	SRR18236793	SRR18236794	SRR18236795	SRR18236796	SRR18236797	SRR18236732	SRR18236733
g__Thermicanus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8435559e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.271472e-05	0	0	0	0
g__Thermus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9766362e-05	5.4684652e-05	0	0	2.8905911e-05	0	0	0	3.9568701e-05	0	0	0	0	1.271472e-05	3.9236459e-05	0	0	0
g__Treponema	0.022184932	0.0064817215	1.5906343e-05	0.00062145675	0.0080176312	0.011887701	0.079856425	0.032849229	0.45525749	0	3.4993176e-05	0	0.0025910723	0.011824805	0.00010577533	0.008561487	5.2916352e-05	0.0236829	0.00026616148	0.0009770846	0.015190148	0	0.0076495819	0.010517681	0	0.0039244161	0.2342246	0.035062986	0.0024824896	0.0001479673	0.0082698585	0.0085157651	0.00032788583	0.0018559712	0.017589475	0.0010553217	0.0097502599	7.2846476e-05	0	0
g__Trichococcus	0	0	3.1812687e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9766362e-05	0	0	3.4576353e-05	0	0	0	0	0	1.3690941e-05	0	8.1881081e-05	0	0	0	0	0	0
g__Trueperella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0391529e-05	1.5656558e-05	0	0	0	0	1.8228217e-05	0	0	0	4.5477284e-05	0	0	0	0	0	0	0	0	0	0	0	0
g__Turicibacter	0	0	1.5906343e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3229088e-05	0	0	0	0	0	0	0	1.3031523e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Vagococcus	0	8.6422954e-05	7.9531717e-05	0	0	0	0	5.9889205e-05	0	0	0	0	0	0	0	9.1566706e-05	1.3229088e-05	0	9.3939346e-05	0.00014748447	1.808351e-05	0	1.9766362e-05	0	0	1.7288177e-05	0	0	0	0	0	0	0	1.3646847e-05	1.5662934e-05	1.271472e-05	1.9618229e-05	1.2141079e-05	0	0
g__Varibaculum	0	0	4.771903e-05	0	0	1.3648337e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7288177e-05	0	0	0	0	0	0	0	1.3646847e-05	4.6988801e-05	0	0	0	0	0
g__Variovorax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8228217e-05	0	1.7288177e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Veillonella	0.0009249227	0.017284591	0.00028631418	0.001572666	3.7998252e-05	6.8241685e-05	2.7824538e-05	0.0011678395	0	4.6629829e-05	5.8321961e-05	0	0.000141098	0	0.000158663	0.0057687025	0.15108942	0.072018095	0.081977736	0.0011983113	0.0072695709	1.1804424e-05	0.0014034117	0.0047940211	0.016589129	0.00084712065	1.4452956e-05	0.0012278867	0.0027484706	0.0010234405	0.0016816698	0.0042168097	6.9028595e-05	0.00049128649	0.0011120683	0.00044501519	0.0021972417	0.067358708	0	0.0039525692
