genus	SRR18236708	SRR18236719	SRR18236725	SRR18236726	SRR18236727	SRR18236728	SRR18236729	SRR18236730	SRR18236731	SRR18236734	SRR18236735	SRR18236736	SRR18236737	SRR18236738	SRR18236739	SRR18236740	SRR18236741	SRR18236742	SRR18236743	SRR18236744	SRR18236745	SRR18236746	SRR18236752	SRR18236763	SRR18236774	SRR18236785	SRR18236786	SRR18236787	SRR18236788	SRR18236789	SRR18236790	SRR18236791	SRR18236792	SRR18236793	SRR18236794	SRR18236795	SRR18236796	SRR18236797	SRR18236732	SRR18236733
g__Rhodococcus	1	1	0	1	0	4	0	0	0	4	0	0	4	0	3698	0	0	1	1	4	23	0	67	57	0	28	0	3	23	0	55	0	2	1	0	1	80	0	0	0
g__Rhodoplanes	0	8	0	0	2	0	0	0	0	0	0	0	0	0	23	0	0	0	0	1	11	0	0	0	0	0	0	5	3	0	0	0	1	0	0	0	1	0	0	0
g__Rickettsiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
g__Roseateles	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Roseomonas	0	3	0	0	1	0	0	0	0	2	0	0	0	0	256	1	0	0	1	3	18	0	0	0	0	0	0	0	0	1	1	0	0	0	0	12	2	0	0	0
g__Rothia	23	1351	96	3	0	3	0	3957	22	7	9	2	1372	41	76	55	1250	1985	6319	8555	1928	2	218	168	11879	64	1	184	88	9	160	16	5780	22	303	7921	389	6069	1	0
g__Rubellimicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0
g__Rubrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	2	0	4	0	0	0	0	2	0	0	0	0	0	2	0	0	0
g__Ruminococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	118	0	60	0	0	0	0	88	0	0	0	0	0	103	0	0	0
g__Rummeliibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
g__SHD-231	103	6	0	0	0	0	0	3	0	0	2	0	2	0	0	2	0	1	2	0	1	0	3	0	0	89	77	136	1	0	0	4	2	111	6	4	3	0	0	0
g__Saccharopolyspora	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	9	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	5	0	0	0
g__Salinicoccus	0	0	0	0	0	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
g__Salinisphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
g__Scardovia	0	3	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	3	0	5	13	0	29	51	0	18	0	12	1	0	28	1	2	0	1	0	24	0	0	0
g__Schwartzia	38	48	0	7	27	169	73	129	5	0	1	0	105	30	0	354	0	7	0	4	32	0	1	11	0	59	88	522	0	0	6	32	6	114	12	3	0	0	0	0
g__Sedimentibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
g__Sediminibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Selenomonas	2121	225	100	1894	938	1269	7162	1776	22988	11	0	0	1640	6343	28	1019	128	1051	24	68	822	1	198	566	1	267	13337	3949	228	303	223	1226	127	143	84	101	178	8	0	1
g__Serratia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
g__Sharpea	0	2	0	0	3	13	17	2	0	0	0	0	4	7	0	44	0	1	0	0	0	0	3	0	0	0	0	8	0	0	0	0	0	0	6	0	1	0	0	0
g__Shewanella	3	146	0	3	40	68	1	29	3	40	0	0	51	2	0	25	1	53	2	25	183	0	6	4	0	6	1	35	369	3	1	11	61	16	1	25	4	0	0	0
g__Shuttleworthia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g__Simplicispira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Skermanella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0
