sample-id	input_reads	filtered_reads	denoised_reads	merged_reads	non_chimeric_reads	depth_status
SRR18236708	75835	75835	75835	75835	75835	OK
SRR18236719	14942	14942	14942	14942	14942	OK
SRR18236725	63222	63222	63222	63222	63222	OK
SRR18236726	78937	78937	78937	78937	78937	OK
SRR18236727	79187	79187	79187	79187	79187	OK
SRR18236728	73523	73523	73523	73523	73523	OK
SRR18236729	71987	71987	71987	71987	71987	OK
SRR18236730	67400	67400	67400	67400	67400	OK
SRR18236731	82755	82755	82755	82755	82755	OK
SRR18236734	44338	44338	44338	44338	44338	OK
SRR18236735	85888	85888	85888	85888	85888	OK
SRR18236736	74630	74630	74630	74630	74630	OK
SRR18236737	78950	78950	78950	78950	78950	OK
SRR18236738	80923	80923	80923	80923	80923	OK
SRR18236739	57102	57102	57102	57102	57102	OK
SRR18236740	66356	66356	66356	66356	66356	OK
SRR18236741	75799	75799	75799	75799	75799	OK
SRR18236742	74551	74551	74551	74551	74551	OK
SRR18236743	64553	64553	64553	64553	64553	OK
SRR18236744	55041	55041	55041	55041	55041	OK
SRR18236745	56023	56023	56023	56023	56023	OK
SRR18236746	84817	84817	84817	84817	84817	OK
SRR18236752	51407	51407	51407	51407	51407	OK
SRR18236763	55746	55746	55746	55746	55746	OK
SRR18236774	77125	77125	77125	77125	77125	OK
SRR18236785	58684	58684	58684	58684	58684	OK
SRR18236786	69341	69341	69341	69341	69341	OK
SRR18236787	44621	44621	44621	44621	44621	OK
SRR18236788	12149	12149	12149	12149	12149	OK
SRR18236789	81206	81206	81206	81206	81206	OK
SRR18236790	51674	51674	51674	51674	51674	OK
SRR18236791	73263	73263	73263	73263	73263	OK
SRR18236792	58656	58656	58656	58656	58656	OK
SRR18236793	73545	73545	73545	73545	73545	OK
SRR18236794	64146	64146	64146	64146	64146	OK
SRR18236795	79219	79219	79219	79219	79219	OK
SRR18236796	52047	52047	52047	52047	52047	OK
SRR18236797	83171	83171	83171	83171	83171	OK
SRR18236732	35933	35933	35933	35933	35933	OK
SRR18236733	35073	35073	35073	35073	35073	OK
