	Taxon	genus
86bdfc79d631feb06fd35f4b6c1f15570d638f20	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__	g__Streptococcus
3d35ab28cfbb54ab92240a7a216d4ca2366a3586	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__	g__Fusobacterium
d507bdc26b92de6a806582e42f7b9ad06d196cfb	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas; s__diminuta	g__Brevundimonas
0cc22028562c625aa207dccccb1cfa14095e38a2	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__	g__Corynebacterium
940de95d37ce8efe81ea0bf92a5378c3f4c8fc77	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Capnocytophaga; s__	g__Capnocytophaga
ae80e01ade59247a843b7bd7333c1d7e68af8b79	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__	g__Enterococcus
69f6bb90bee693a7362e14ddbf77e4574b6172fa	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Peptostreptococcus; s__	g__Peptostreptococcus
9656adfa334236348b4ac83081b2ec56650e56e0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__	g__Acinetobacter
d3cff876162fdbb6a38d553460ae118342b6bece	k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__	g__Treponema
c79a433167336754fe51aca4c8a3b13d91feecf5	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__muciniphila	g__Akkermansia
ed4227406141d29c33f1b34caf17dd59c3d5ac98	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__	Unclassified
30ac1f279a86ca93631815e1dacb57f021ec3819	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Rothia; s__mucilaginosa	g__Rothia
8c0d98ecfbf3bf5a9690a5244559b7fb7e093518	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus; s__parainfluenzae	g__Haemophilus
520aa8e825f3735c7a8df5f37f6b566791c6ca83	k__Bacteria; p__Firmicutes; c__Bacilli; o__Gemellales; f__Gemellaceae; g__Gemella; s__	g__Gemella
5825dd219b7eb0579fb46776939a7998f1aba68a	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Capnocytophaga; s__	g__Capnocytophaga
20ff14790cc4cf529f1cd0175dbf75b4d83ace4d	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__	Unclassified
e5dc0ecf321bda020b52e9158e7beec791d6b0f9	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia; s__	g__Leptotrichia
4de6debe38110c624e43ede8f617b13044966ffc	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter; s__	g__Campylobacter
bf2ad8bdec660be469f427e81cd6415b28be9158	k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__	g__Treponema
2d591e89021fac274b98a9ca27e1b84f2c72bd75	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria; s__	g__Neisseria
e9a6a39c1d281678c78a21bb349d544a354365f9	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__epidermidis	g__Staphylococcus
b13b401d988b8aaed938c398c0dd7cfca6b9de67	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia; s__	g__Leptotrichia
4f4b70a73babe165a258d488250785e47aa8e23b	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales	Unclassified
5411b828b34b78eb96d40b1261e5ea556c35bb13	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Parvimonas; s__	g__Parvimonas
613280a5b4a5d9fdb9ce33e4da93602d8e3b49d4	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Selenomonas; s__	g__Selenomonas
41d3b39053b9dfc6cf2ba7e8bddf12d4335ee5ea	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Selenomonas; s__	g__Selenomonas
c3e794278839a80995380ba87eeb848839c4c93b	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter; s__	g__Pedobacter
64b3c191de64796a31e5ea0ff19d5b9e8a85b820	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Capnocytophaga; s__	g__Capnocytophaga
7793fcf1b315a7822be8aee782e314bc9d717e6e	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria; s__subflava	g__Neisseria
86dcb9081eb2d0997ff31b7231dfd166a1410184	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella; s__parvula	g__Veillonella
14e2f2430dbb216783f08bd011a02bbf774ef53d	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Brucellaceae; g__Ochrobactrum; s__intermedium	g__Ochrobactrum
c3a4b076316337a9f439026f6264b4e3418f4fb7	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Rothia; s__aeria	g__Rothia
20c7c5e05fca19da4946829c082cbba4b648bda2	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__	Unclassified
ffc00366b9529e6323af22d16da6edae5dcdd86f	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__	g__Streptococcus
18f37bf72415c041e0a78e88090806dfac5cfd56	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	Unclassified
e83e9d8816137fcf55cbf248f2eec1ae0b1fadc2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	Unclassified
e99cbd46b948b6ed495d57c4912a7c379371b319	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	g__Pseudomonas
224cd658d3a41b8dd3483254ec67168385279376	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Aggregatibacter; s__	g__Aggregatibacter
696994746e0d1af43d267915ab3eaca9fb546a69	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; s__endodontalis	g__Porphyromonas
4a9b77403f70df3f42af6c7f8bc60a43fbd8de8b	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	g__Bacteroides
16246d2cb6ada0898799bea9186e0f04d1b4d4c8	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	g__Prevotella
eec2e64435ecf47c6b6bd28910ebe63cc90d6ac7	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__; s__	Unclassified
926b8bfe57c22239ce75741a74807011684b88ae	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus; s__influenzae	g__Haemophilus
d7bed7dfe2e6e52c81aaf14e1567d0eaed5c8530	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__; s__	Unclassified
