sample	non_chimeric_reads	status	reason
SRR18236708	75835	included	
SRR18236719	14942	included	
SRR18236725	63222	included	
SRR18236726	78937	included	
SRR18236727	79187	included	
SRR18236728	73523	included	
SRR18236729	71987	included	
SRR18236730	67400	included	
SRR18236731	82755	included	
SRR18236734	44338	included	
SRR18236735	85888	included	
SRR18236736	74630	included	
SRR18236737	78950	included	
SRR18236738	80923	included	
SRR18236739	57102	included	
SRR18236740	66356	included	
SRR18236741	75799	included	
SRR18236742	74551	included	
SRR18236743	64553	included	
SRR18236744	55041	included	
SRR18236745	56023	included	
SRR18236746	84817	included	
SRR18236752	51407	included	
SRR18236763	55746	included	
SRR18236774	77125	included	
SRR18236785	58684	included	
SRR18236786	69341	included	
SRR18236787	44621	included	
SRR18236788	12149	included	
SRR18236789	81206	included	
SRR18236790	51674	included	
SRR18236791	73263	included	
SRR18236792	58656	included	
SRR18236793	73545	included	
SRR18236794	64146	included	
SRR18236795	79219	included	
SRR18236796	52047	included	
SRR18236797	83171	included	
SRR18236732	35933	included	
SRR18236733	35073	included	
